================================ Starting Log Protobuf =================================
Current Time: 0-0-0 0:0:0
Time (ms), Scaled. Acc x (mg), Scaled. Acc y (mg), Scaled. Acc z (mg), Gyr (DPS) x, Gyr (DPS) y, Gyr (DPS) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, Pressure (hPa), Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux Mode,N, E, D, u, v, w, q1, q2, q3, q4, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg)
2912,  00000.09,  00000.07, -00009.64, -00000.01,  00000.02, -00000.01, -00018.38,  00010.28,  00038.78,  00022.09, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.92, 0, 0, 0, 0, 0, 0,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3002,  00000.03,  00000.08, -00009.88,  00000.02,  00000.02, -00000.00, -00017.33,  00011.18,  00037.88,  00022.12, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.92, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3104,  00000.10,  00000.04, -00009.83, -00000.04, -00000.03, -00000.00, -00017.33,  00011.18,  00039.07,  00022.12, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.92, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3204,  00000.07,  00000.01, -00009.80, -00000.00, -00000.02,  00000.00, -00017.93,  00010.28,  00038.03,  00022.13, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.92, 0, 0, 0, 0, 0, 0, -00000.01,  00000.02, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3306,  00000.03,  00000.08, -00009.83, -00000.00, -00000.01,  00000.01, -00017.77,  00011.63,  00037.88,  00022.13, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.92, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3407,  00000.11,  00000.01, -00009.87, -00000.04,  00000.01, -00000.00, -00016.58,  00011.18,  00037.88,  00022.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.92, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3507,  00000.07,  00000.12, -00009.86,  00000.03, -00000.01,  00000.02, -00017.33,  00010.43,  00038.63,  00022.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.92, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3609, -00000.02,  00000.08, -00009.80,  00000.03,  00000.02, -00000.00, -00017.33,  00010.88,  00038.18,  00022.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.91, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3710,  00000.04, -00000.01, -00009.84,  00000.02,  00000.00, -00000.03, -00016.73,  00011.03,  00038.78,  00022.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.92, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3811,  00000.03,  00000.07, -00009.79,  00000.02,  00000.03, -00000.01, -00016.58,  00010.88,  00037.88,  00022.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.91, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3912,  00000.06,  00000.12, -00009.81,  00000.01,  00000.02, -00000.04, -00017.48,  00011.33,  00038.78,  00022.15, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.91, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
4013,  00000.14,  00000.11, -00009.75,  00000.04, -00000.01,  00000.06, -00017.48,  00010.28,  00039.22,  00022.15, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.91, 0, 0, 0, 0, 0, 0, -00000.01,  00000.02, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
4113,  00000.11, -00000.01, -00009.78,  00000.01, -00000.00, -00000.00, -00016.27,  00010.58,  00037.28,  00022.15, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.91, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
4225,  00000.04,  00000.15, -00009.81, -00000.01,  00000.01,  00000.00, -00018.08,  00011.93,  00037.88,  00022.15, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.91, 0, 0, 0, 0, 0, 0, -00000.01,  00000.02, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
4315,  00000.03,  00000.15, -00009.74, -00000.04, -00000.01, -00000.08, -00017.93,  00010.28,  00038.47,  00022.15, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.91, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.04,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
4417,  00000.10,  00000.11, -00009.82, -00000.02, -00000.00, -00000.02, -00016.58,  00011.18,  00036.68,  00022.15, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.91, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
4506, -00000.01,  00000.04, -00009.83,  00000.01, -00000.02, -00000.03, -00017.77,  00011.63,  00038.63,  00022.16, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.91, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
4618, -00000.07,  00000.06, -00009.86, -00000.03, -00000.03,  00000.02, -00017.48,  00011.03,  00037.72,  00022.16, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.91, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
4719,  00000.15,  00000.05, -00009.80, -00000.01,  00000.04, -00000.05, -00018.38,  00010.28,  00037.72,  00022.17, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.91, 0, 0, 0, 0, 0, 0, -00000.01,  00000.02, -00000.04,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
4820,  00000.04,  00000.03, -00009.71,  00000.00, -00000.02,  00000.03, -00016.88,  00011.18,  00037.88,  00022.17, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.91, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
4921,  00000.00,  00000.09, -00009.78,  00000.02,  00000.01,  00000.02, -00018.98,  00011.18,  00038.63,  00022.17, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.91, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
5023,  00000.16,  00000.04, -00009.82,  00000.02,  00000.02, -00000.01, -00017.93,  00010.58,  00037.72,  00022.17, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.91, 0, 0, 0, 0, 0, 0, -00000.01,  00000.02, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
5123,  00000.06,  00000.09, -00009.82,  00000.01, -00000.00,  00000.01, -00017.33,  00009.68,  00038.18,  00022.17, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.91, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
5224,  00000.12,  00000.11, -00009.96, -00000.00, -00000.04, -00000.05, -00016.88,  00011.18,  00037.88,  00022.17, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.91, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
5325,  00000.07,  00000.09, -00009.78, -00000.02,  00000.00,  00000.02, -00019.58,  00011.33,  00038.47,  00022.18, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.91, 0, 0, 0, 0, 0, 0, -00000.01,  00000.02, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
5538,  00000.02,  00000.01, -00009.69,  00000.01, -00000.01, -00000.00, -00018.68,  00010.58,  00038.47,  00022.16, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.91, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.04,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
5629,  00000.08,  00000.13, -00009.80,  00000.02, -00000.03, -00000.01, -00017.33,  00010.88,  00037.88,  00022.16, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.90, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
5730,  00000.11,  00000.05, -00009.80, -00000.02, -00000.03, -00000.03, -00017.93,  00011.33,  00037.72,  00022.17, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.90, 0, 0, 0, 0, 0, 0, -00000.01,  00000.02, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
5831,  00000.09,  00000.05, -00009.97,  00000.01,  00000.01, -00000.00, -00017.93,  00011.03,  00038.03,  00022.17, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.90, 0, 0, 0, 0, 0, 0, -00000.01,  00000.02, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
5932,  00000.06,  00000.05, -00009.81,  00000.01, -00000.02,  00000.03, -00018.68,  00010.58,  00038.03,  00022.16, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.90, 0, 0, 0, 0, 0, 0, -00000.01,  00000.02, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
6033,  00000.02,  00000.13, -00009.80, -00000.01,  00000.02, -00000.05, -00018.38,  00011.03,  00037.28,  00022.16, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.90, 0, 0, 0, 0, 0, 0, -00000.01,  00000.02, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
6134, -00000.03,  00000.10, -00009.93,  00000.00, -00000.03,  00000.02, -00018.08,  00010.43,  00038.18,  00022.17, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.90, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
6235,  00000.00,  00000.06, -00009.88, -00000.00, -00000.04,  00000.01, -00017.33,  00010.88,  00039.07,  00022.17, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.90, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
6335, -00000.05,  00000.06, -00009.79, -00000.02,  00000.03, -00000.03, -00017.48,  00011.33,  00037.72,  00022.17, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.90, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
6437,  00000.03,  00000.11, -00009.86, -00000.01,  00000.01,  00000.04, -00018.68,  00010.58,  00037.72,  00022.17, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.90, 0, 0, 0, 0, 0, 0, -00000.01,  00000.02, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
6526, -00000.00,  00000.00, -00009.97, -00000.01, -00000.02, -00000.03, -00017.18,  00011.78,  00036.97,  00022.17, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.90, 0, 0, 0, 0, 0, 0, -00000.00,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
6638,  00000.11,  00000.05, -00009.87,  00000.02,  00000.01, -00000.02, -00017.33,  00011.93,  00037.13,  00022.17, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.90, 0, 0, 0, 0, 0, 0, -00000.00,  00000.02, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
