================================ Starting Log Protobuf =================================
Current Time: 0-0-0 0:0:0
Time (ms), Scaled. Acc x (mg), Scaled. Acc y (mg), Scaled. Acc z (mg), Gyr (DPS) x, Gyr (DPS) y, Gyr (DPS) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, Pressure (hPa), Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux Mode,N, E, D, u, v, w, q1, q2, q3, q4, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg)
2895,  00000.03,  00000.14, -00009.84,  00000.03,  00000.00,  00000.04, -00017.77,  00010.13,  00039.07,  00023.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.92, 0, 0, 0, 0, 0, 0, -00000.54, -00000.82, -00000.01,  00000.19,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
2986,  00000.16,  00000.15, -00009.70, -00000.04, -00000.02, -00000.04, -00016.58,  00011.63,  00037.43,  00023.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.91, 0, 0, 0, 0, 0, 0, -00000.01,  00000.02, -00000.02,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3087,  00000.16,  00000.10, -00009.84,  00000.05, -00000.02,  00000.01, -00017.93,  00010.58,  00038.47,  00023.12, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.91, 0, 0, 0, 0, 0, 0, -00000.01,  00000.02, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3188,  00000.05,  00000.08, -00009.76, -00000.02, -00000.01, -00000.01, -00017.77,  00010.13,  00037.88,  00023.12, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.91, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3289,  00000.11,  00000.07, -00009.76, -00000.01,  00000.01, -00000.01, -00017.93,  00011.78,  00038.47,  00023.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.91, 0, 0, 0, 0, 0, 0, -00000.01,  00000.02, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3390,  00000.01,  00000.15, -00009.79, -00000.00,  00000.02, -00000.00, -00017.48,  00012.08,  00038.03,  00023.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.91, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.02,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3491,  00000.01,  00000.08, -00009.87, -00000.01,  00000.01, -00000.00, -00016.73,  00010.58,  00038.78,  00023.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.91, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3592,  00000.02,  00000.11, -00009.76, -00000.03,  00000.04, -00000.02, -00016.27,  00009.83,  00037.28,  00023.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.91, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3693,  00000.03,  00000.12, -00009.83, -00000.01, -00000.02,  00000.03, -00017.48,  00009.83,  00037.72,  00023.15, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.91, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3794,  00000.08,  00000.19, -00009.88,  00000.01, -00000.02, -00000.06, -00016.58,  00011.18,  00037.43,  00023.15, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.91, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3894,  00000.06,  00000.11, -00009.89, -00000.03, -00000.02, -00000.01, -00017.18,  00010.58,  00037.72,  00023.15, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.91, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3995,  00000.08,  00000.20, -00009.84, -00000.00,  00000.02,  00000.02, -00017.18,  00010.58,  00038.78,  00023.15, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.91, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
4097,  00000.05,  00000.18, -00009.82,  00000.02,  00000.00,  00000.02, -00017.93,  00010.58,  00036.97,  00023.16, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.91, 0, 0, 0, 0, 0, 0, -00000.01,  00000.02, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
4198, -00000.11,  00000.25, -00009.92,  00000.00,  00000.01, -00000.00, -00016.88,  00009.68,  00036.68,  00023.16, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.91, 0, 0, 0, 0, 0, 0, -00000.02,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
4298,  00000.07,  00000.08, -00009.84,  00000.00,  00000.02,  00000.03, -00018.68,  00011.78,  00037.28,  00023.16, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.91, 0, 0, 0, 0, 0, 0, -00000.01,  00000.02, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
4399,  00000.00,  00000.11, -00009.86,  00000.02, -00000.03,  00000.02, -00018.38,  00012.53,  00038.03,  00023.16, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.92, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
4500, -00000.02,  00000.16, -00009.74, -00000.02,  00000.01, -00000.02, -00016.13,  00011.18,  00038.18,  00023.17, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.92, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.02,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
4591,  00000.12,  00000.12, -00009.86,  00000.02, -00000.01, -00000.00, -00017.48,  00011.33,  00038.47,  00023.17, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.91, 0, 0, 0, 0, 0, 0, -00000.01,  00000.02, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
4702, -00000.04,  00000.11, -00009.80,  00000.03, -00000.03, -00000.05, -00016.73,  00011.78,  00036.97,  00023.17, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.91, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
4804, -00000.09,  00000.11, -00009.86, -00000.03,  00000.04, -00000.04, -00017.33,  00011.63,  00036.68,  00023.17, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.92, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
4893,  00000.18,  00000.09, -00009.88, -00000.04, -00000.00, -00000.03, -00015.68,  00010.88,  00037.13,  00023.17, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.92, 0, 0, 0, 0, 0, 0, -00000.01,  00000.02, -00000.02,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
5006,  00000.16,  00000.13, -00009.87, -00000.03, -00000.02, -00000.01, -00017.77,  00010.88,  00038.18,  00023.17, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1010.91, 0, 0, 0, 0, 0, 0, -00000.01,  00000.02, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
