================================ Starting Log Protobuf =================================
Current Time: 0-0-0 0:0:0
Time (ms), Scaled. Acc x (mg), Scaled. Acc y (mg), Scaled. Acc z (mg), Gyr (DPS) x, Gyr (DPS) y, Gyr (DPS) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, Pressure (hPa), Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux Mode,N, E, D, u, v, w, q1, q2, q3, q4, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg)
2885,  00000.01,  00000.09, -00009.87,  00000.03,  00000.02,  00000.04, -00015.52,  00011.85,  00031.95,  00022.69, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.37, 0, 0, 0, 0, 0, 0,  00000.19,  00000.38,  00000.88, -00000.19,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
2975, -00000.14,  00000.12, -00009.81,  00000.02, -00000.03, -00000.01, -00017.17,  00011.85,  00031.65,  00022.69, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.37, 0, 0, 0, 0, 0, 0, -00000.00,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3075,  00000.00,  00000.11, -00009.81,  00000.01,  00000.04,  00000.04, -00015.83,  00012.30,  00032.55,  00022.72, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.37, 0, 0, 0, 0, 0, 0, -00000.00,  00000.01, -00000.02,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3177,  00000.00,  00000.16, -00009.76,  00000.02, -00000.01,  00000.01, -00016.42,  00013.65,  00032.70,  00022.72, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.37, 0, 0, 0, 0, 0, 0, -00000.00,  00000.01, -00000.02,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3277,  00000.02,  00000.16, -00009.98, -00000.01,  00000.01,  00000.02, -00016.42,  00011.85,  00031.95,  00022.72, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.37, 0, 0, 0, 0, 0, 0, -00000.00,  00000.01, -00000.02,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3378,  00000.02,  00000.21, -00009.82, -00000.00, -00000.01,  00000.04, -00015.83,  00012.00,  00031.80,  00022.72, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.37, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01, -00000.02,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3479, -00000.06,  00000.07, -00009.81, -00000.03,  00000.01, -00000.00, -00015.83,  00011.25,  00032.55,  00022.73, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.37, 0, 0, 0, 0, 0, 0, -00000.00,  00000.01, -00000.02,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3580, -00000.09,  00000.10, -00009.88, -00000.03,  00000.07, -00000.00, -00017.17,  00011.85,  00032.70,  00022.73, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.37, 0, 0, 0, 0, 0, 0, -00000.00,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3682, -00000.05,  00000.04, -00009.73, -00000.00,  00000.00,  00000.02, -00016.58,  00013.05,  00031.80,  00022.73, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.37, 0, 0, 0, 0, 0, 0,  00000.00,  00000.01, -00000.02,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3782, -00000.04,  00000.13, -00009.92,  00000.03,  00000.05, -00000.01, -00015.98,  00014.40,  00032.40,  00022.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.37, 0, 0, 0, 0, 0, 0,  00000.00,  00000.01, -00000.01,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3884, -00000.07,  00000.08, -00009.81,  00000.02,  00000.02,  00000.02, -00015.52,  00013.65,  00032.70,  00022.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.37, 0, 0, 0, 0, 0, 0,  00000.00,  00000.01, -00000.01,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3984,  00000.07,  00000.07, -00009.89, -00000.02, -00000.03,  00000.01, -00017.63,  00014.10,  00033.15,  00022.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.37, 0, 0, 0, 0, 0, 0,  00000.00,  00000.02, -00000.02,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
4086,  00000.02,  00000.11, -00009.87, -00000.03,  00000.05, -00000.01, -00015.83,  00012.75,  00033.00,  00022.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.37, 0, 0, 0, 0, 0, 0, -00000.00,  00000.01, -00000.02,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
4187,  00000.06,  00000.15, -00009.80,  00000.03,  00000.03, -00000.02, -00016.42,  00012.90,  00032.70,  00022.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.37, 0, 0, 0, 0, 0, 0, -00000.00,  00000.02, -00000.02,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
