================================ Starting Log Protobuf =================================
Current Time: 0-0-0 0:0:0
Time (ms), Scaled. Acc x (mg), Scaled. Acc y (mg), Scaled. Acc z (mg), Gyr (DPS) x, Gyr (DPS) y, Gyr (DPS) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, Pressure (hPa), Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux Mode,N, E, D, u, v, w, q1, q2, q3, q4, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg)
2904, -00000.09,  00000.29, -00009.96,  00000.19, -00000.03,  00000.00, -00016.58,  00012.75,  00032.25,  00023.79, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.30, 0, 0, 0, 0, 0, 0,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
2994,  00000.05,  00000.18, -00009.79,  00000.01, -00000.01,  00000.01, -00018.82,  00012.15,  00032.40,  00023.82, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.30, 0, 0, 0, 0, 0, 0, -00000.00,  00000.02, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3096,  00000.12,  00000.57, -00009.60, -00000.14,  00000.02, -00000.11, -00015.52,  00011.10,  00033.45,  00023.82, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.30, 0, 0, 0, 0, 0, 0, -00000.02,  00000.02, -00000.02,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3196,  00000.15,  00000.25, -00009.78,  00000.15,  00000.10, -00000.01, -00015.83,  00010.80,  00033.75,  00023.82, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.30, 0, 0, 0, 0, 0, 0, -00000.01,  00000.02, -00000.02,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3297,  00000.25, -00000.17, -00009.93,  00000.11,  00000.10,  00000.24, -00017.02,  00010.05,  00033.75,  00023.83, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.30, 0, 0, 0, 0, 0, 0, -00000.00,  00000.02, -00000.02,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3398, -00000.02,  00000.47, -00009.72,  00000.07,  00000.08,  00000.49, -00015.98,  00012.15,  00032.40,  00023.83, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.30, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01,  00000.00,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3499,  00000.04,  00000.31, -000010.00,  00000.05, -00000.07,  00001.15, -00014.77,  00015.60,  00033.45,  00023.84, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.30, 0, 0, 0, 0, 0, 0, -00000.00,  00000.01,  00000.04,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3600,  00000.46,  00000.07, -00009.55,  00000.01,  00000.05,  00001.74, -00011.92,  00016.65,  00033.45,  00023.84, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.30, 0, 0, 0, 0, 0, 0,  00000.00,  00000.03,  00000.08,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3701,  00000.14,  00000.22, -00009.88,  00000.01,  00000.05,  00001.39, -00008.77,  00018.90,  00033.15,  00023.85, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.30, 0, 0, 0, 0, 0, 0,  00000.01,  00000.01,  00000.09,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3803,  00000.07, -00000.25, -00009.34,  00000.04, -00000.11,  00001.34, -00006.38,  00018.15,  00030.90,  00023.85, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.30, 0, 0, 0, 0, 0, 0,  00000.02,  00000.00,  00000.09,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
