================================ Starting Log Protobuf =================================
Current Time: 0-0-0 0:0:0
Time (ms), Scaled. Acc x (mg), Scaled. Acc y (mg), Scaled. Acc z (mg), Gyr (DPS) x, Gyr (DPS) y, Gyr (DPS) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, Pressure (hPa), Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux Mode,N, E, D, u, v, w, q1, q2, q3, q4, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg)
2885,  00000.84,  00004.34, -00009.62, -00001.98, -00000.04,  00000.38, -00016.42, -00004.65,  00034.65,  00022.89, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.34, 0, 0, 0, 0, 0, 0, -00000.41,  00000.24,  00000.78,  00000.41,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
2976,  00000.01,  00007.53, -00007.73, -00002.14, -00000.17,  00000.62, -00017.92, -00011.10,  00033.15,  00022.89, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.34, 0, 0, 0, 0, 0, 0, -00000.33,  00000.01,  00000.00,  00000.94,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3076,  00000.82,  00008.20, -00006.25, -00001.95, -00000.09,  00000.37, -00020.02, -00017.10,  00028.95,  00022.91, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.34, 0, 0, 0, 0, 0, 0, -00000.38,  00000.05, -00000.02,  00000.92,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3177,  00001.32,  00008.27, -00003.00, -00001.60,  00000.17, -00000.01, -00020.02, -00021.90,  00024.75,  00022.91, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.34, 0, 0, 0, 0, 0, 0, -00000.45,  00000.09, -00000.05,  00000.89,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3278,  00001.57,  00009.31, -00002.12, -00001.03,  00000.11, -00000.01, -00020.93, -00025.20,  00021.90,  00022.92, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.34, 0, 0, 0, 0, 0, 0, -00000.49,  00000.11, -00000.06,  00000.86,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3379,  00001.22,  00009.96, -00000.89, -00001.33,  00000.10, -00000.04, -00021.52, -00027.15,  00016.05,  00022.92, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.34, 0, 0, 0, 0, 0, 0, -00000.55,  00000.11, -00000.06,  00000.83,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3480,  00001.20,  00010.20, -00000.06, -00001.43, -00000.15, -00000.09, -00021.52, -00029.85,  00012.60,  00022.92, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.34, 0, 0, 0, 0, 0, 0, -00000.58,  00000.11, -00000.07,  00000.80,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3582,  00001.53,  00009.65,  00000.17, -00000.44,  00000.06, -00000.22, -00021.52, -00030.90,  00008.40,  00022.92, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.34, 0, 0, 0, 0, 0, 0, -00000.56,  00000.14, -00000.10,  00000.81,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3682,  00001.32,  00009.35,  00001.02, -00000.09,  00000.16, -00000.04, -00021.52, -00031.35,  00010.05,  00022.93, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.34, 0, 0, 0, 0, 0, 0, -00000.56,  00000.13, -00000.11,  00000.81,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3784,  00001.34,  00009.59,  00000.50,  00000.04,  00000.06, -00000.02, -00021.52, -00032.40,  00010.05,  00022.93, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.34, 0, 0, 0, 0, 0, 0, -00000.56,  00000.13, -00000.11,  00000.81,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
