================================ Starting Log Protobuf =================================
Current Time: 0-0-0 0:0:0
Time (ms), Scaled. Acc x (mg), Scaled. Acc y (mg), Scaled. Acc z (mg), Gyr (DPS) x, Gyr (DPS) y, Gyr (DPS) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, Pressure (hPa), Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux Mode,N, E, D, u, v, w, q1, q2, q3, q4, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg)
2880,  00000.01,  00000.18, -00009.62, -00000.01,  00000.06,  00000.01, -00019.57,  00011.40,  00034.35,  00022.83, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.35, 0, 0, 0, 0, 0, 0,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
2971, -00000.01,  00000.15, -00009.82, -00000.01,  00000.02,  00000.02, -00017.92,  00012.60,  00033.15,  00022.83, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.35, 0, 0, 0, 0, 0, 0, -00000.00,  00000.02, -00000.02,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3072, -00000.04,  00000.18, -00009.74,  00000.03,  00000.01,  00000.00, -00018.82,  00011.40,  00032.70,  00022.86, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.35, 0, 0, 0, 0, 0, 0, -00000.01,  00000.02, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3173,  00000.01,  00000.16, -00009.81, -00000.01, -00000.01,  00000.01, -00019.13,  00011.40,  00032.70,  00022.86, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.35, 0, 0, 0, 0, 0, 0, -00000.01,  00000.02, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3273, -00000.04,  00000.17, -00009.70,  00000.02, -00000.02,  00000.00, -00018.52,  00010.05,  00033.30,  00022.86, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.35, 0, 0, 0, 0, 0, 0, -00000.01,  00000.02, -00000.04,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3375,  00000.06,  00000.11, -00009.77,  00000.01, -00000.01,  00000.00, -00017.92,  00011.85,  00032.70,  00022.86, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.35, 0, 0, 0, 0, 0, 0, -00000.00,  00000.02, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3475, -00000.06,  00000.06, -00009.82,  00000.01,  00000.02,  00000.02, -00020.02,  00010.35,  00031.65,  00022.87, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.35, 0, 0, 0, 0, 0, 0, -00000.00,  00000.02, -00000.04,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3577,  00000.10,  00000.19, -00009.85, -00000.03,  00000.00, -00000.03, -00018.82,  00011.85,  00033.15,  00022.87, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.35, 0, 0, 0, 0, 0, 0, -00000.01,  00000.02, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3677,  00000.10,  00000.20, -00009.90,  00000.01, -00000.00,  00000.01, -00018.82,  00011.85,  00032.70,  00022.88, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.35, 0, 0, 0, 0, 0, 0, -00000.01,  00000.02, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3778, -00000.08,  00000.03, -00009.91,  00000.03,  00000.01, -00000.01, -00017.63,  00010.65,  00031.65,  00022.88, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.35, 0, 0, 0, 0, 0, 0, -00000.00,  00000.01, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
3879, -00000.05,  00000.15, -00009.79,  00000.00,  00000.03,  00000.01, -00017.77,  00010.05,  00032.25,  00022.88, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1020.35, 0, 0, 0, 0, 0, 0, -00000.01,  00000.02, -00000.03,  00001.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, 0, 0, 0, 0
