================================ Starting Log Protobuf =================================
Current Time: 0-0-0 0:0:0
Time (ms), Acc x (m/s^2), Acc y (m/s^2), Acc z (m/s^2), Gyr (rad/s) x, Gyr (rad/s) y, Gyr (rad/s) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, rawGyr (deg/s) x, rawGyr (deg/s) y, rawGyr (deg/s) z, rawMag (uT) x, rawMag (uT) y, rawMag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, N_GPS, E_GPS, D_GPS, Pressure (hPa), Alt_baro, Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux Mode, N_est, E_est, D_est, u_est, v_est, w_est, q1_est, q2_est, q3_est, q4_est, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg)
2.8750000, 0.1245410, -0.0670605, -9.8004198, -0.0140559, -0.0167871, -0.0027312, 11.2499990, -26.1000023, -11.6250010, -0.7328244, 2.6030533, 0.4961832, -3.3000002, -45.9000015, -1.9500000, 6.0155602, 42.3646545, -71.0678864, -46.3370018, 0.6240000, 4.9101171, 0.00, 8.00, 0.0000000, 0.0000000, 0.0000000, 1020.1286011, 0.0154563, 0, 0, 0, 0, 0, 0, -0.6265386, 0.5715476, 0.5292557, 0.0259030, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
2.9760001, 0.1389111, -0.0766406, -9.9153805, 0.0131233, -0.0009326, 0.0225827, 11.2499990, -24.6000023, -12.3750010, 0.8244275, 1.6946565, -0.9541985, -3.3000002, -44.4000015, -2.7000000, 6.0386562, 42.3646507, -71.0678787, -45.3970032, 0.5020000, 4.8978553, 0.00, 8.00, 0.0000000, 0.7518185, 0.2861073, 1020.1314087, 0.0383915, 0, 0, 0, 0, 0, 0, -0.0753639, -0.0192613, -0.0689638, 0.9945819, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.0769999, 0.1389111, -0.0766406, -9.7525196, -0.0067282, -0.0155881, 0.0345735, 11.8499994, -26.2500038, -11.9250011, -0.3129771, 2.5343511, -1.6412214, -2.7000000, -46.0500031, -2.2500000, 6.0386562, 42.3646507, -71.0678711, -45.0150032, 0.4400000, 4.8774314, 0.00, 8.00, 0.0000000, 1.4218558, 0.4819374, 1020.1306152, 0.0319098, 0, 0, 0, 0, 0, 0, -0.0818399, -0.0217487, -0.0730174, 0.9937292, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.1780000, 0.1245410, -0.1245410, -9.8052101, -0.0005995, 0.0109250, -0.0682810, 10.6499996, -25.5000038, -11.9250011, 0.0381679, 1.0152671, 4.2519083, -3.9000001, -45.3000031, -2.2500000, 6.0609055, 42.3646469, -71.0678711, -45.0750008, 0.2970000, 4.8774314, 0.00, 8.00, 0.0000000, 0.5778223, 1.3541578, 1020.1333618, 0.0543465, 0, 0, 0, 0, 0, 0, -0.0768588, -0.0184570, -0.0825963, 0.9934435, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.2790000, 0.0622705, 0.0191602, -9.8243704, -0.0075276, -0.0137228, -0.0148553, 12.4499989, -26.1000023, -11.3250008, -0.3587786, 2.4274809, 1.1908396, -2.1000001, -45.9000015, -1.6500001, 6.0609055, 42.3646507, -71.0678635, -44.2710037, 0.2230000, 4.8774314, 0.00, 9.00, 0.0000000, 2.0918932, 0.6777676, 1020.1333618, 0.0543465, 0, 0, 0, 0, 0, 0, -0.0852190, -0.0262084, -0.0728360, 0.9933507, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.3800001, 0.0766406, -0.1437012, -9.8147898, 0.0180528, -0.0051960, 0.0129900, 11.3999996, -25.5000038, -12.6750011, 1.1068702, 1.9389313, -0.4045801, -3.1500001, -45.3000031, -3.0000000, 6.0609055, 42.3646507, -71.0678635, -44.0980034, 0.1590000, 4.8774314, 0.00, 8.00, 0.0000000, 2.0114505, 0.7680448, 1020.1333618, 0.0543465, 0, 0, 0, 0, 0, 0, -0.0755860, -0.0222738, -0.0745262, 0.9941008, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.4809999, 0.0574805, -0.1149609, -9.8100004, -0.0013989, -0.0347734, 0.0072611, 11.5499992, -25.6500015, -12.3750010, -0.0076336, 3.6335878, -0.0763359, -3.0000000, -45.4500008, -2.7000000, 6.0620322, 42.3646469, -71.0678635, -43.9500008, 0.1580000, 4.8774314, 0.00, 8.00, 0.0000000, 1.7516575, 1.2041550, 1020.1335449, 0.0558422, 0, 0, 0, 0, 0, 0, -0.0778719, -0.0239973, -0.0744452, 0.9938903, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.5820000, 0.0191602, -0.0191602, -9.9058008, 0.0036639, -0.0130567, -0.0027312, 11.5499992, -26.8500023, -12.0750008, 0.2824427, 2.3893130, 0.4961832, -3.0000000, -46.6500015, -2.4000001, 6.0620322, 42.3646469, -71.0678635, -43.1970024, 0.1120000, 4.8774314, 0.00, 8.00, 0.0000000, 2.0141275, 1.1291535, 1020.1315918, 0.0398873, 0, 0, 0, 0, 0, 0, -0.0849668, -0.0254209, -0.0796303, 0.9928713, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.6830001, 0.1341211, -0.0910107, -9.8243704, 0.0203178, -0.0150551, -0.0019319, 11.8499994, -26.2500038, -11.4750013, 1.2366412, 2.5038168, 0.4503817, -2.7000000, -46.0500031, -1.8000001, 6.0682230, 42.3646469, -71.0678635, -42.6780014, 0.1410000, 4.8774314, 0.00, 8.00, 0.0000000, 2.3557017, 0.7833204, 1020.1323242, 0.0458704, 0, 0, 0, 0, 0, 0, -0.0809953, -0.0220345, -0.0751872, 0.9936302, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.7839999, 0.1437012, -0.0143701, -9.8962212, -0.0035306, 0.0109250, -0.0009992, 11.2499990, -25.6500015, -11.6250010, -0.1297710, 1.0152671, 0.3969466, -3.3000002, -45.4500008, -1.9500000, 6.0682230, 42.3646469, -71.0678635, -42.5840034, 0.1190000, 4.8774314, 0.00, 9.00, 0.0000000, 2.3557017, 0.7833204, 1020.1327515, 0.0493605, 0, 0, 0, 0, 0, 0, -0.0817430, -0.0194739, -0.0745505, 0.9936705, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
