================================ Starting Log Protobuf =================================
Current Time: 0-0-0 0:0:0
Time (ms), Acc x (m/s^2), Acc y (m/s^2), Acc z (m/s^2), Gyr (rad/s) x, Gyr (rad/s) y, Gyr (rad/s) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, rawGyr (deg/s) x, rawGyr (deg/s) y, rawGyr (deg/s) z, rawMag (uT) x, rawMag (uT) y, rawMag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, N_GPS, E_GPS, D_GPS, Pressure (hPa), Alt_baro, Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux Mode, N_est, E_est, D_est, u_est, v_est, w_est, q1_est, q2_est, q3_est, q4_est, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg)
2.8800001, -0.0766406, 0.2059717, -9.9393311, 0.0225827, -0.0051960, 0.0241815, -13.2000027, -4.3500023, 42.8250046, 1.3664122, 1.9389313, -1.0458015, -27.7500019, -24.1500015, 52.5000038, 22.4006100, 42.3651237, -71.0686951, -19.1290016, 0.0000000, 0.0000000, 0.00, 0.00, 0.0000000, 0.0000000, 0.0000000, 1016.1423340, 0.0180197, 0, 0, 0, 0, 0, 0, 0.0619409, 0.0512183, 0.9905771, -0.1108920, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
2.9809999, 0.0526904, 0.1580713, -9.8674803, 0.0031309, 0.0029311, 0.0043300, -15.0000019, -4.9500027, 43.7249985, 0.2519084, 1.4732825, 0.0916031, -29.5500011, -24.7500019, 53.4000015, 22.4206066, 42.3651237, -71.0686951, -19.1290016, 0.0000000, 0.0000000, 0.00, 0.00, 0.0000000, 0.0000000, 0.0000000, 1016.1447754, 0.0380416, 0, 0, 0, 0, 0, 0, -0.0578951, 0.0027144, -0.0769845, 0.9953462, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.0820000, -0.0431104, 0.2826123, -9.8579006, -0.0324418, 0.0027979, 0.0237818, -13.0500011, -3.7500019, 41.4749985, -1.7862595, 1.4809160, -1.0229008, -27.6000004, -23.5500011, 51.1500015, 22.4206066, 42.3651237, -71.0686951, -19.1290016, 0.0000000, 0.0000000, 0.00, 0.00, 0.0000000, 0.0000000, 0.0000000, 1016.1420898, 0.0160175, 0, 0, 0, 0, 0, 0, -0.0578819, -0.0026721, -0.0649615, 0.9962041, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.1830001, -0.0335303, 0.1389111, -9.7429399, -0.0029977, 0.0273124, 0.0164541, -13.6500015, -4.6500015, 42.8250046, -0.0992366, 0.0763359, -0.6030535, -28.2000008, -24.4500008, 52.5000038, 22.4352512, 42.3651237, -71.0686951, -19.1290016, 0.0000000, 0.0000000, 0.00, 0.00, 0.0000000, 0.0000000, 0.0000000, 1016.1439209, 0.0310339, 0, 0, 0, 0, 0, 0, -0.0562594, -0.0021603, -0.0720919, 0.9958076, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.2839999, -0.0574805, 0.1484912, -9.7860498, 0.0033974, -0.0053292, -0.0123239, -13.8000011, -4.5000019, 41.4749985, 0.2671756, 1.9465649, 1.0458015, -28.3500004, -24.3000011, 51.1500015, 22.4352512, 42.3651237, -71.0686951, -19.1290016, 0.0000000, 0.0000000, 0.00, 0.00, 0.0000000, 0.0000000, 0.0000000, 1016.1434937, 0.0275301, 0, 0, 0, 0, 0, 0, -0.0551151, -0.0020458, -0.0738098, 0.9957461, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.3850000, -0.0335303, 0.2299219, -9.8579006, -0.0243147, 0.0266462, -0.0139227, -14.1000023, -4.3500023, 42.8250046, -1.3206106, 0.1145038, 1.1374046, -28.6500015, -24.1500015, 52.5000038, 22.4428558, 42.3651237, -71.0686951, -19.1290016, 0.0000000, 0.0000000, 0.00, 0.00, 0.0000000, 0.0000000, 0.0000000, 1016.1444702, 0.0355389, 0, 0, 0, 0, 0, 0, -0.0581834, -0.0010547, -0.0727363, 0.9956521, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.6359999, -0.0431104, 0.2778223, -9.8387403, 0.0127236, 0.0093262, 0.0552243, -12.6000023, -3.9000015, 41.6250000, 0.8015267, 1.1068702, -2.8244274, -27.1500015, -23.7000008, 51.3000031, 22.4532738, 42.3651237, -71.0686951, -19.1290016, 0.0000000, 0.0000000, 0.00, 0.00, 0.0000000, 0.0000000, 0.0000000, 1016.1441650, 0.0330361, 0, 0, 0, 0, 0, 0, -0.0582405, -0.0040706, -0.0639911, 0.9962413, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.7370000, 0.1341211, 0.2011816, -9.7956295, -0.0011325, 0.0001332, 0.0121907, -12.6000023, -3.7500019, 42.6750031, 0.0076336, 1.6335878, -0.3587786, -27.1500015, -23.5500011, 52.3500023, 22.4532738, 42.3651237, -71.0686951, -19.1290016, 0.0000000, 0.0000000, 0.00, 0.00, 0.0000000, 0.0000000, 0.0000000, 1016.1425781, 0.0200219, 0, 0, 0, 0, 0, 0, -0.0561507, 0.0015008, -0.0631496, 0.9964221, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.8380001, 0.0239502, 0.1676514, -9.8387403, -0.0271126, -0.0153216, 0.0183193, -13.8000011, -4.2000008, 42.6750031, -1.4809160, 2.5190840, -0.7099237, -28.3500004, -24.0000000, 52.3500023, 22.4521465, 42.3651237, -71.0686951, -19.1290016, 0.0000000, 0.0000000, 0.00, 0.00, 0.0000000, 0.0000000, 0.0000000, 1016.1425171, 0.0195214, 0, 0, 0, 0, 0, 0, -0.0561353, 0.0000515, -0.0698404, 0.9959775, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.9389999, -0.0047900, 0.0431104, -9.7860498, -0.0040636, 0.0179862, -0.0252473, -12.9000015, -4.6500015, 41.6250000, -0.1603053, 0.6106870, 1.7862595, -27.4500008, -24.4500008, 51.3000031, 22.4521465, 42.3651237, -71.0686951, -19.1290016, 0.0000000, 0.0000000, 0.00, 0.00, 0.0000000, 0.0000000, 0.0000000, 1016.1412354, 0.0090099, 0, 0, 0, 0, 0, 0, -0.0524501, -0.0021600, -0.0724587, 0.9959890, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
