================================ Starting Log Protobuf =================================
Current Time: 0-0-0 0:0:0
Time (ms), Acc x (m/s^2), Acc y (m/s^2), Acc z (m/s^2), Gyr (rad/s) x, Gyr (rad/s) y, Gyr (rad/s) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, rawGyr (deg/s) x, rawGyr (deg/s) y, rawGyr (deg/s) z, rawMag (uT) x, rawMag (uT) y, rawMag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, N_GPS, E_GPS, D_GPS, Pressure (hPa), Alt_baro, Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux Mode, N_est, E_est, D_est, u_est, v_est, w_est, q1_est, q2_est, q3_est, q4_est, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg)
11326, -0.3448828, 0.0814307, -9.1537647, -0.0033974, -0.0015988, 0.0091263, -13.2000027, -5.1000023, 43.2750015, -0.1221374, 1.7328244, -0.1832061, -27.7500019, -24.9000015, 52.9500008, 22.7182827, 42.3651581, -71.0688095, 25.9170017, 0.0400000, 3.3974817, 0.00, 3.00, 0.0000000, 0.0000000, 0.0000000, 1018.2904663, 0.0099898, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
11361, 0.1916016, 0.3017725, -10.2027836, -0.0007328, 0.0514273, -0.0199181, -15.0000019, -4.2000008, 43.7249985, 0.0305344, -1.3053435, 1.4809160, -29.5500011, -24.0000000, 53.4000015, 22.7182827, 42.3651581, -71.0688095, 25.6180019, 0.0640000, 3.3974817, 0.00, 3.00, 0.0000000, 0.0804340, -0.0902767, 1018.2907715, 0.0124873, 0, 0, 0, 0, 0, 0, -0.0601264, 0.0077037, -0.0703758, 0.9956770, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
11400, 0.3257227, 0.1676514, -10.1165628, -0.0099257, -0.0118576, 0.0441662, -15.0000019, -4.2000008, 43.7249985, -0.4961832, 2.3206108, -2.1908398, -29.5500011, -24.0000000, 53.4000015, 22.7182827, 42.3651581, -71.0688095, 25.6180019, 0.0640000, 3.3974817, 0.00, 3.00, 0.0000000, 0.0804340, -0.0902767, 1018.2907715, 0.0124873, 0, 0, 0, 0, 0, 0, -0.0563154, 0.0119654, -0.0698060, 0.9958979, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
11413, 0.3353028, 0.2107617, -9.9824419, 0.0008660, 0.0135896, 0.0121907, -13.8000011, -4.9500027, 44.1750031, 0.1221374, 0.8625954, -0.3587786, -28.3500004, -24.7500019, 53.8500023, 22.7182827, 42.3651581, -71.0688095, 25.6180019, 0.0640000, 3.3974817, 0.00, 3.00, 0.0000000, 0.0804340, -0.0902767, 1018.2907715, 0.0124873, 0, 0, 0, 0, 0, 0, -0.0603077, 0.0095963, -0.0684594, 0.9957832, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
11430, 0.1963916, 0.1820215, -10.1788340, -0.0248476, -0.0191853, -0.0108583, -13.5000019, -3.4500008, 41.1750031, -1.3511450, 2.7404580, 0.9618320, -28.0500011, -23.2500000, 50.8500023, 22.7182827, 42.3651581, -71.0688095, 25.6180019, 0.0640000, 3.3974817, 0.00, 3.00, 0.0000000, 0.0804340, -0.0902767, 1018.2907715, 0.0124873, 0, 0, 0, 0, 0, 0, -0.0532069, 0.0063487, -0.0640394, 0.9965077, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
11445, 0.1197510, 0.1101709, -10.0159721, 0.0029977, -0.0318423, 0.0561570, -13.5000019, -2.7000008, 42.9749985, 0.2442748, 3.4656489, -2.8778627, -28.0500011, -22.5000000, 52.6500015, 22.7182827, 42.3651581, -71.0688095, 25.6180019, 0.0640000, 3.3974817, 0.00, 3.00, 0.0000000, 0.0804340, -0.0902767, 1018.2907715, 0.0124873, 0, 0, 0, 0, 0, 0, -0.0501912, 0.0027079, -0.0624764, 0.9967800, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
11461, -0.0670605, 0.1628613, -9.8579006, 0.0341738, -0.0126570, 0.0381707, -14.1000023, -4.6500015, 42.8250046, 2.0305343, 2.3664122, -1.8473282, -28.6500015, -24.4500008, 52.5000038, 22.7182827, 42.3651581, -71.0688095, 25.6180019, 0.0640000, 3.3974817, 0.00, 3.00, 0.0000000, 0.0804340, -0.0902767, 1018.2907715, 0.0124873, 0, 0, 0, 0, 0, 0, -0.0567361, -0.0025089, -0.0730430, 0.9957105, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
11506, -0.2586621, 0.0862207, -9.4651175, 0.0311095, -0.0078606, -0.0337741, -14.1000023, -3.9000015, 42.5250015, 1.8549619, 2.0916030, 2.2748091, -28.6500015, -23.7000008, 52.2000008, 22.7278633, 42.3651581, -71.0688095, 25.6180019, 0.0640000, 3.3974817, 0.00, 3.00, 0.0000000, 0.0804340, -0.0902767, 1018.2920532, 0.0229766, 0, 0, 0, 0, 0, 0, -0.0522310, -0.0088263, -0.0740438, 0.9958472, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
11523, -0.3400928, 0.0910107, -9.4938574, -0.0024648, -0.0608867, 0.0243147, -13.5000019, -3.7500019, 42.6750031, -0.0687023, 5.1297708, -1.0534351, -28.0500011, -23.5500011, 52.3500023, 22.7278633, 42.3651581, -71.0688095, 25.6180019, 0.0640000, 3.3974817, 0.00, 3.00, 0.0000000, 0.0804340, -0.0902767, 1018.2920532, 0.0229766, 0, 0, 0, 0, 0, 0, -0.0521490, -0.0129447, -0.0718652, 0.9959660, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
11536, -0.4167334, 0.1916016, -9.5992384, -0.0195184, 0.0329081, -0.0153882, -15.0000019, -4.2000008, 42.2249985, -1.0458015, -0.2442748, 1.2213740, -29.5500011, -24.0000000, 51.9000015, 22.7278633, 42.3651581, -71.0688095, 25.6180019, 0.0640000, 3.3974817, 0.00, 3.00, 0.0000000, 0.0804340, -0.0902767, 1018.2920532, 0.0229766, 0, 0, 0, 0, 0, 0, -0.0557439, -0.0120289, -0.0782686, 0.9952999, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
