================================ Starting Log Protobuf =================================
Current Time: 0-0-0 0:0:0
Time (ms), Acc x (m/s^2), Acc y (m/s^2), Acc z (m/s^2), Gyr (rad/s) x, Gyr (rad/s) y, Gyr (rad/s) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, rawGyr (deg/s) x, rawGyr (deg/s) y, rawGyr (deg/s) z, rawMag (uT) x, rawMag (uT) y, rawMag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, N_GPS, E_GPS, D_GPS, Pressure (hPa), Alt_baro, Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux Mode, N_est, E_est, D_est, u_est, v_est, w_est, q1_est, q2_est, q3_est, q4_est, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg)
2.8580000, -0.0191602, 0.1628613, -9.8818502, 0.0103254, -0.0266462, 0.0435000, -16.0500011, -0.9000015, 42.5250015, 0.6641222, 3.1679389, -2.1526718, -30.6000004, -20.7000008, 52.2000008, 21.5554504, 42.3649483, -71.0682983, -117.1110077, 0.0000000, 0.0000000, 0.00, 0.00, 0.0000000, 0.0000000, 0.0000000, 1017.3551636, 0.0549948, 0, 0, 0, 0, 0, 0, -0.0988076, -0.1147120, 0.9826171, 0.1074327, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
2.9590001, 0.1293311, 0.2155517, -10.0207615, 0.0365720, 0.0425008, -0.0391034, -13.2000027, -2.8500023, 42.5250015, 2.1679389, -0.7938932, 2.5801528, -27.7500019, -22.6500015, 52.2000008, 21.5554504, 42.3649483, -71.0682983, -117.1110077, 0.0000000, 0.0000000, 0.00, 0.00, 0.0000000, 0.0000000, 0.0000000, 1017.3499756, 0.0124988, 0, 0, 0, 0, 0, 0, -0.0531264, 0.0029601, -0.0640934, 0.9965244, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.0599999, 0.1101709, 0.1101709, -9.7716799, 0.0341738, 0.0067948, -0.0047297, -16.2000027, -1.9500008, 42.2249985, 2.0305343, 1.2519084, 0.6106870, -30.7500019, -21.7500000, 51.9000015, 21.5782585, 42.3649483, -71.0682983, -117.1110077, 0.0000000, 0.0000000, 0.00, 0.00, 0.0000000, 0.0000000, 0.0000000, 1017.3527832, 0.0354967, 0, 0, 0, 0, 0, 0, -0.0469820, 0.0084620, -0.0709699, 0.9963354, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.1610000, 0.1053809, 0.1963916, -9.8195801, -0.0156547, 0.0035972, -0.0303101, -14.4000015, -1.6500015, 41.3250046, -0.8244275, 1.4351145, 2.0763359, -28.9500008, -21.4500008, 51.0000038, 21.5782585, 42.3649483, -71.0682983, -117.1110077, 0.0000000, 0.0000000, 0.00, 0.00, 0.0000000, 0.0000000, 0.0000000, 1017.3505249, 0.0169984, 0, 0, 0, 0, 0, 0, -0.0489865, 0.0054331, -0.0639775, 0.9967335, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.2620001, 0.1724414, 0.2874023, -9.8483200, -0.0179196, 0.0101256, 0.0375046, -14.4000015, -2.1000023, 42.5250015, -0.9541985, 1.0610687, -1.8091604, -28.9500008, -21.9000015, 52.2000008, 21.5875492, 42.3649483, -71.0682983, -117.1110077, 0.0000000, 0.0000000, 0.00, 0.00, 0.0000000, 0.0000000, 0.0000000, 1017.3516235, 0.0259976, 0, 0, 0, 0, 0, 0, -0.0541929, 0.0070364, -0.0605792, 0.9966663, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.4070001, 0.0526904, 0.1149609, -9.8674803, 0.0029977, 0.0034640, -0.0276455, -14.8500023, -3.1500015, 40.8750000, 0.2442748, 1.4427481, 1.9236641, -29.4000015, -22.9500008, 50.5500031, 21.5929012, 42.3649483, -71.0682983, -117.1110077, 0.0000000, 0.0000000, 0.00, 0.00, 0.0000000, 0.0000000, 0.0000000, 1017.3519287, 0.0284973, 0, 0, 0, 0, 0, 0, -0.0497029, 0.0043981, -0.0740739, 0.9960037, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.5079999, -0.0622705, 0.2107617, -9.8818502, -0.0040636, 0.0023982, 0.0161876, -14.2500019, -1.9500008, 41.1750031, -0.1603053, 1.5038168, -0.5877863, -28.8000011, -21.7500000, 50.8500023, 21.5929012, 42.3649483, -71.0682983, -117.1110077, 0.0000000, 0.0000000, 0.00, 0.00, 0.0000000, 0.0000000, 0.0000000, 1017.3511963, 0.0224979, 0, 0, 0, 0, 0, 0, -0.0500111, -0.0005276, -0.0638968, 0.9967024, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.6090000, 0.1005908, 0.0958008, -9.8531103, 0.0056623, 0.0269127, 0.0381707, -13.5000019, -2.2500019, 42.2249985, 0.3969466, 0.0992366, -1.8473282, -28.0500011, -22.0500011, 51.9000015, 21.5931816, 42.3649483, -71.0682983, -117.1110077, 0.0000000, 0.0000000, 0.00, 0.00, 0.0000000, 0.0000000, 0.0000000, 1017.3511963, 0.0224979, 0, 0, 0, 0, 0, 0, -0.0481715, 0.0027952, -0.0608943, 0.9969773, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.7100000, 0.0143701, 0.2155517, -9.8579006, 0.0087266, -0.0051960, 0.0239150, -14.2500019, -3.0000019, 39.9749985, 0.5725191, 1.9389313, -1.0305344, -28.8000011, -22.8000011, 49.6500015, 21.5931816, 42.3649483, -71.0682983, -117.1110077, 0.0000000, 0.0000000, 0.00, 0.00, 0.0000000, 0.0000000, 0.0000000, 1017.3515625, 0.0254976, 0, 0, 0, 0, 0, 0, -0.0522502, 0.0025826, -0.0668146, 0.9963930, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.8110001, 0.0766406, 0.2107617, -9.9680710, -0.0099257, -0.0201179, 0.0212504, -15.0000019, -1.9500008, 42.2249985, -0.4961832, 2.7938931, -0.8778626, -29.5500011, -21.7500000, 51.9000015, 21.5965595, 42.3649483, -71.0682983, -117.1110077, 0.0000000, 0.0000000, 0.00, 0.00, 0.0000000, 0.0000000, 0.0000000, 1017.3519287, 0.0284973, 0, 0, 0, 0, 0, 0, -0.0507568, 0.0048790, -0.0645645, 0.9966099, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
