================================ Starting Log Protobuf =================================
Current Time: 2021-11-9 22:0:51
Time (ms), Acc x (m/s^2), Acc y (m/s^2), Acc z (m/s^2), Gyr (rad/s) x, Gyr (rad/s) y, Gyr (rad/s) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, rawGyr (deg/s) x, rawGyr (deg/s) y, rawGyr (deg/s) z, rawMag (uT) x, rawMag (uT) y, rawMag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, N_GPS, E_GPS, D_GPS, Pressure (hPa), Alt_baro, Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux Mode, N_est, E_est, D_est, u_est, v_est, w_est, q1_est, q2_est, q3_est, q4_est, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg)
3.4470000, -0.2730322, 0.1820215, -9.7812595, 0.0240482, 0.0377044, -0.0060620, -3.4500008, 8.2499990, 36.2249985, 1.4503816, -0.5190840, 0.6870229, -18.0000000, -11.5500002, 45.9000015, 13.7459307, 42.3646584, -71.0677032, -6.4700003, 0.0200000, 4.1084218, 0.00, 8.00, 4.4898529, -0.7611730, -1.5499876, 1015.7041626, 0.0355543, 0, 0, 0, 0, 0, 0, -0.2163800, 0.2443541, 0.9451411, -0.0133799, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.5480001, -0.2011816, 0.1724414, -9.8914309, -0.0432335, -0.0050628, -0.0233821, -5.5500011, 8.3999987, 36.3750000, -2.4045801, 1.9312977, 1.6793894, -20.1000004, -11.4000006, 46.0500031, 13.7459307, 42.3646660, -71.0677261, -8.3970003, 0.0470000, 4.1084218, 0.00, 8.00, 6.1419983, -2.4956987, -3.0999751, 1015.7025757, 0.0225344, 0, 0, 0, 0, 0, 0, -0.0194201, -0.0185868, -0.0003285, 0.9996386, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.6489999, -0.2203418, 0.2251318, -9.7764702, 0.0025980, -0.0370383, -0.0016654, -4.6500015, 9.2999992, 37.2750015, 0.2213740, 3.7633588, 0.4351145, -19.2000008, -10.5000000, 46.9500008, 13.7515717, 42.3646736, -71.0677338, -9.7480001, 0.0560000, 4.1084218, 0.00, 8.00, 7.4014230, -3.0852892, -3.3860824, 1015.7033081, 0.0285436, 0, 0, 0, 0, 0, 0, -0.0191454, -0.0217012, 0.0073489, 0.9995542, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.7500000, -0.2299219, 0.1389111, -9.8531103, -0.0005995, 0.0045299, -0.0223162, -4.8000011, 8.8499985, 37.1250000, 0.0381679, 1.3816794, 1.6183206, -19.3500004, -10.9500008, 46.8000031, 13.7515717, 42.3646774, -71.0677414, -10.7610006, 0.0690000, 4.1084218, 0.00, 8.00, 9.1618500, -3.5944352, -3.7624664, 1015.7020874, 0.0185283, 0, 0, 0, 0, 0, 0, -0.0174419, -0.0214557, 0.0032719, 0.9996123, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.8510001, -0.3688330, 0.1053809, -9.8387403, 0.0060620, -0.0198515, 0.0228492, -5.5500011, 9.1499987, 37.1250000, 0.4198473, 2.7786260, -0.9694657, -20.1000004, -10.6500006, 46.8000031, 13.7456512, 42.3646812, -71.0677414, -11.6630001, 0.0670000, 4.1084218, 0.00, 8.00, 9.5456915, -3.1724172, -4.1985765, 1015.7014160, 0.0130199, 0, 0, 0, 0, 0, 0, -0.0152880, -0.0247568, 0.0020054, 0.9995745, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.9519999, -0.2586621, 0.2299219, -9.8770609, -0.0301769, 0.0129234, 0.0037971, -4.3500023, 8.3999987, 36.0749969, -1.6564885, 0.9007633, 0.1221374, -18.9000015, -11.4000006, 45.7500000, 13.7456512, 42.3646851, -71.0677490, -12.4240007, 0.0850000, 4.1084218, 0.00, 8.00, 10.3602161, -4.0060143, -4.5749612, 1015.7017822, 0.0160245, 0, 0, 0, 0, 0, 0, -0.0211436, -0.0226083, 0.0050895, 0.9995078, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
4.0530000, -0.2203418, 0.1197510, -9.8195801, -0.0385704, -0.0105253, 0.0225827, -4.0500011, 8.3999987, 36.8249969, -2.1374047, 2.2442749, -0.9541985, -18.6000004, -11.4000006, 46.5000000, 13.7493105, 42.3646889, -71.0677490, -12.7900009, 0.0070000, 4.1084218, 0.00, 8.00, 11.3622217, -3.8451252, -4.7555156, 1015.7022705, 0.0200306, 0, 0, 0, 0, 0, 0, -0.0183400, -0.0226918, 0.0062390, 0.9995548, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
4.1539998, -0.2969824, 0.2586621, -9.7094088, 0.0293775, -0.0446325, 0.0111248, -3.7500019, 8.5499992, 36.2249985, 1.7557251, 4.1984735, -0.2977099, -18.3000011, -11.2500000, 45.9000015, 13.7493105, 42.3646927, -71.0677567, -13.1980009, 0.0310000, 4.1084218, 0.00, 8.00, 11.0295277, -4.4162564, -5.2069016, 1015.7030640, 0.0265405, 0, 0, 0, 0, 0, 0, -0.0213493, -0.0257802, 0.0079518, 0.9994080, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
4.2550001, -0.3400928, 0.2107617, -9.8914309, 0.0091263, 0.0078606, 0.0163208, -4.8000011, 8.8499985, 36.0749969, 0.5954198, 1.1908396, -0.5954198, -19.3500004, -10.9500008, 45.7500000, 13.7490311, 42.3646927, -71.0677567, -13.5620003, 0.0510000, 4.1084218, 0.00, 9.00, 11.6476936, -4.6773858, -4.9513454, 1015.7029419, 0.0255390, 0, 0, 0, 0, 0, 0, -0.0188460, -0.0243978, 0.0046287, 0.9995140, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
4.3559999, -0.2490820, 0.2442920, -9.8722706, 0.0032642, 0.0121240, -0.0072611, -4.3500023, 7.6499987, 36.8249969, 0.2595420, 0.9465649, 0.7557252, -18.9000015, -12.1500006, 46.5000000, 13.7490311, 42.3646927, -71.0677567, -13.8960009, 0.0260000, 4.1084218, 0.00, 9.00, 11.6476936, -4.6773858, -4.9513454, 1015.7041626, 0.0355543, 0, 0, 0, 0, 0, 0, -0.0238886, -0.0228625, 0.0020510, 0.9994510, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
