================================ Starting Log Protobuf =================================
Current Time: 2021-11-9 22:12:6
Time (ms), Acc x (m/s^2), Acc y (m/s^2), Acc z (m/s^2), Gyr (rad/s) x, Gyr (rad/s) y, Gyr (rad/s) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, rawGyr (deg/s) x, rawGyr (deg/s) y, rawGyr (deg/s) z, rawMag (uT) x, rawMag (uT) y, rawMag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, N_GPS, E_GPS, D_GPS, Pressure (hPa), Alt_baro, Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux Mode, N_est, E_est, D_est, u_est, v_est, w_est, q1_est, q2_est, q3_est, q4_est, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg)
3.4519999, -1.2645704, 0.0958008, -9.8579006, -0.0129900, -0.0050628, -0.0123239, -0.1500015, 8.5499992, 33.5250015, -0.6717557, 1.9312977, 1.0458015, -14.7000008, -11.2500000, 43.2000008, 10.3548708, 42.3647308, -71.0676727, -15.8050003, 0.0120000, 3.3761888, 0.00, 9.00, 0.3141750, -2.4570067, 1.8041720, 1015.7829590, 0.0210304, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.5530000, -1.2358301, 0.0143701, -9.8052101, -0.0128568, -0.0031975, 0.0056623, -0.1500015, 8.8499985, 32.1750031, -0.6641222, 1.8244275, 0.0152672, -14.7000008, -10.9500008, 41.8500023, 10.3548708, 42.3647232, -71.0676727, -17.0410004, 0.0470000, 3.3761888, 0.00, 9.00, 1.0495017, -3.0597081, 2.4055629, 1015.7829590, 0.0210304, 0, 0, 0, 0, 0, 0, -0.0094761, -0.0632800, 0.0093172, 0.9979073, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.6540000, -1.2454102, 0.0095801, -9.8674803, 0.0017986, 0.0033308, 0.0224495, -0.4500017, 9.1499987, 32.6250000, 0.1755725, 1.4503816, -0.9465649, -15.0000010, -10.6500006, 42.3000031, 10.3647213, 42.3647156, -71.0676727, -18.2770004, 0.0140000, 3.3761888, 0.00, 8.00, 2.0191522, -4.3455553, 3.6986210, 1015.7841187, 0.0305442, 0, 0, 0, 0, 0, 0, -0.0086808, -0.0629169, 0.0099301, 0.9979316, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.7550001, -1.3028907, 0.0239502, -9.7764702, -0.0247144, -0.0263798, 0.0415015, -1.0500011, 8.9999990, 32.0250015, -1.3435115, 3.1526718, -2.0381680, -15.6000004, -10.8000002, 41.7000008, 10.3647213, 42.3647156, -71.0676804, -18.8220005, 0.0240000, 3.3761888, 0.00, 8.00, 2.6604128, -4.6740174, 3.1569591, 1015.7829590, 0.0210304, 0, 0, 0, 0, 0, 0, -0.0091067, -0.0637680, 0.0077500, 0.9978931, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.8559999, -1.3699512, 0.0862207, -9.8147898, 0.0096593, 0.0071945, 0.0941279, -0.0000010, 9.1499987, 32.9250031, 0.6259542, 1.2290076, -5.0534353, -14.5500002, -10.6500006, 42.6000023, 10.3647213, 42.3647118, -71.0676804, -19.0040016, 0.0230000, 3.3761888, 0.00, 9.00, 2.2765718, -5.0960345, 3.5930700, 1015.7825928, 0.0180261, 0, 0, 0, 0, 0, 0, -0.0111745, -0.0681476, 0.0143800, 0.9975091, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.9570000, -1.2454102, 0.1341211, -9.6662989, 0.0161876, 0.0436998, -0.0325750, -0.7500010, 8.0999985, 34.4250031, 1.0000000, -0.8625954, 2.2061069, -15.3000002, -11.7000008, 44.1000023, 10.3790855, 42.3647118, -71.0676880, -19.4880009, 0.0180000, 3.3761888, 0.00, 9.00, 3.0349941, -5.7660694, 3.3972421, 1015.7843628, 0.0325471, 0, 0, 0, 0, 0, 0, -0.0167006, -0.0633982, 0.0041110, 0.9978401, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
4.0580001, -1.3651612, 0.1005908, -9.7860498, -0.0039303, 0.0095927, -0.0283116, -1.0500011, 10.0499992, 33.2249985, -0.1526718, 1.0916030, 1.9618320, -15.6000004, -9.7500000, 42.9000015, 10.3790855, 42.3647041, -71.0676880, -20.0290012, 0.0210000, 3.3761888, 0.00, 9.00, 2.6231019, -6.1063051, 3.9236298, 1015.7855225, 0.0420609, 0, 0, 0, 0, 0, 0, -0.0094547, -0.0659460, 0.0086830, 0.9977406, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
4.1589999, -1.2837305, 0.0718506, -9.7573099, -0.0071279, -0.0331746, -0.0236485, 0.1499987, 9.2999992, 33.9749985, -0.3358779, 3.5419848, 1.6946565, -14.4000006, -10.5000000, 43.6500015, 10.3810587, 42.3647003, -71.0676956, -20.3160019, 0.0130000, 3.3761888, 0.00, 8.00, 2.6369386, -7.6877079, 3.8028045, 1015.7857666, 0.0440638, 0, 0, 0, 0, 0, 0, -0.0114344, -0.0667033, 0.0107866, 0.9976491, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
4.2600002, -1.2597804, 0.2155517, -9.7668896, -0.0008660, 0.0151884, 0.0341738, -1.2000017, 11.0999985, 32.6250000, 0.0229008, 0.7709923, -1.6183206, -15.7500010, -8.7000008, 42.3000031, 10.3810587, 42.3646965, -71.0676956, -20.6060009, 0.0350000, 3.3761888, 0.00, 8.00, 2.6369386, -7.6877079, 3.8028045, 1015.7846069, 0.0345500, 0, 0, 0, 0, 0, 0, -0.0099244, -0.0611847, 0.0171204, 0.9979303, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
4.3610001, -1.2693604, 0.0574805, -9.7620993, -0.0316424, -0.0043966, -0.0233821, -1.8000011, 8.2499990, 32.7750015, -1.7404580, 1.8931298, 1.6793894, -16.3500004, -11.5500002, 42.4500008, 10.3771114, 42.3646965, -71.0677032, -21.0190010, 0.0340000, 3.3761888, 0.00, 8.00, 2.7541006, -8.0292807, 4.1486382, 1015.7841187, 0.0305442, 0, 0, 0, 0, 0, 0, -0.0127899, -0.0614723, 0.0001528, 0.9980268, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
