================================ Starting Log Protobuf =================================
Current Time: 2021-11-11 2:23:1
Time (ms), Acc x (m/s^2), Acc y (m/s^2), Acc z (m/s^2), Gyr (rad/s) x, Gyr (rad/s) y, Gyr (rad/s) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, rawGyr (deg/s) x, rawGyr (deg/s) y, rawGyr (deg/s) z, rawMag (uT) x, rawMag (uT) y, rawMag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, N_GPS, E_GPS, D_GPS, Pressure (hPa), Alt_baro, Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux Mode, N_est, E_est, D_est, u_est, v_est, w_est, q1_est, q2_est, q3_est, q4_est, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg)
27.2779999, 0.3400928, -0.4311035, -9.6519289, 0.0401692, 0.0238484, -0.0000666, -14.1000023, 12.8999996, 32.1750031, 2.3740458, 0.2748092, 0.3435115, -28.6500015, -6.9000001, 41.8500023, 16.4270210, 42.3646774, -71.0678253, -20.6660004, 0.0180000, 0.0000000, 0.00, 7.00, 0.1171612, -0.3415738, 0.3458332, 1022.8038940, 0.0929936, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
27.3789997, 0.2251318, -0.4502637, -9.7237797, 0.0085934, 0.0579556, -0.0047297, -13.2000027, 13.6499996, 32.6250000, 0.5648855, -1.6793894, 0.6106870, -27.7500019, -6.1500001, 42.3000031, 16.4335003, 42.3646774, -71.0678253, -20.7880001, 0.0240000, 0.0000000, 0.00, 7.00, 0.7353253, -0.6027044, 0.6013893, 1022.8046875, 0.0994584, 0, 0, 0, 0, 0, 0, 0.0188424, 0.0149293, -0.0089275, 0.9996712, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
27.4799995, 0.0910107, -0.3688330, -9.9010105, -0.0215168, -0.0534257, 0.0161876, -12.4500027, 11.8499985, 32.1750031, -1.1603054, 4.7022901, -0.5877863, -27.0000019, -7.9500003, 41.8500023, 16.4335003, 42.3646774, -71.0678253, -20.7880001, 0.0240000, 0.0000000, 0.00, 7.00, 0.7353253, -0.6027044, 0.6013893, 1022.8058472, 0.1089069, 0, 0, 0, 0, 0, 0, 0.0112833, 0.0079044, -0.0127923, 0.9998233, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
27.5809994, 0.3209326, -0.4023633, -9.8339500, 0.0049962, 0.0211838, -0.0187190, -12.9000015, 11.3999987, 32.1750031, 0.3587786, 0.4274809, 1.4122137, -27.4500008, -8.4000006, 41.8500023, 16.4267406, 42.3646736, -71.0678253, -20.9770012, 0.0310000, 0.0000000, 0.00, 7.00, 0.2343224, -0.6831475, 0.6916664, 1022.8050537, 0.1024421, 0, 0, 0, 0, 0, 0, 0.0114086, 0.0171652, -0.0154168, 0.9996687, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
27.6819992, 0.2826123, -0.4885840, -10.0159721, -0.0045965, -0.0251807, 0.0216501, -15.3000011, 14.0999985, 31.1250019, -0.1908397, 3.0839694, -0.9007633, -29.8500004, -5.7000003, 40.8000031, 16.4267406, 42.3646736, -71.0678253, -21.0680008, 0.0060000, 0.0000000, 0.00, 7.00, 0.2343224, -0.6831475, 0.6916664, 1022.8065796, 0.1148744, 0, 0, 0, 0, 0, 0, 0.0221143, 0.0213527, -0.0135868, 0.9994351, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
27.7830009, 0.3209326, -0.3305127, -9.7668896, 0.0786730, 0.0195850, -0.0248476, -13.6500015, 13.3499985, 32.6250000, 4.5801525, 0.5190840, 1.7633588, -28.2000008, -6.4500003, 42.3000031, 16.4180088, 42.3646736, -71.0678253, -21.1630001, 0.0160000, 0.0000000, 0.00, 7.00, 0.2343224, -0.6831475, 0.6916664, 1022.8055420, 0.1064205, 0, 0, 0, 0, 0, 0, 0.0147690, 0.0187373, -0.0105077, 0.9996601, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
27.8840008, 0.0095801, -0.4119433, -9.8483200, -0.0632182, 0.0107917, -0.0275123, -13.0500011, 14.2499990, 30.5249996, -3.5496182, 1.0229008, 1.9160305, -27.6000004, -5.5500002, 40.2000008, 16.4180088, 42.3646736, -71.0678253, -21.3070011, 0.0220000, 0.0000000, 0.00, 7.00, 0.8524865, -0.9442782, 0.9472225, 1022.8059082, 0.1094042, 0, 0, 0, 0, 0, 0, 0.0204050, 0.0082372, -0.0090271, 0.9997171, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
27.9850006, 0.2586621, -0.4502637, -9.8387403, 0.0552243, 0.0090597, 0.0301769, -13.6500015, 13.3499985, 31.1250019, 3.2366412, 1.1221374, -1.3893130, -28.2000008, -6.4500003, 40.8000031, 16.4180088, 42.3646736, -71.0678253, -21.4270020, 0.0360000, 0.0000000, 0.00, 7.00, 0.8524865, -0.9442782, 0.9472225, 1022.8059082, 0.1094042, 0, 0, 0, 0, 0, 0, 0.0194290, 0.0175086, -0.0101068, 0.9996068, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
28.0860004, 0.1868115, -0.6993458, -9.6183987, 0.0333744, 0.0278453, 0.0147220, -14.4000015, 12.8999996, 30.6750011, 1.9847329, 0.0458015, -0.5038168, -28.9500008, -6.9000001, 40.3500023, 16.4180088, 42.3646736, -71.0678253, -21.5470009, 0.0070000, 0.0000000, 0.00, 7.00, 0.8524865, -0.9442782, 0.9472225, 1022.8093872, 0.1377499, 0, 0, 0, 0, 0, 0, 0.0270789, 0.0168217, -0.0182139, 0.9993258, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
28.1870003, 0.1676514, -0.5029541, -9.7668896, -0.0860008, -0.0122573, 0.0339073, -13.2000027, 15.5999985, 30.6750011, -4.8549619, 2.3435113, -1.6030535, -27.7500019, -4.2000003, 40.3500023, 16.4123764, 42.3646774, -71.0678253, -21.6200008, 0.0160000, 0.0000000, 0.00, 7.00, 1.2643795, -0.6040425, 0.4208350, 1022.8086548, 0.1317823, 0, 0, 0, 0, 0, 0, 0.0263757, 0.0140158, -0.0013844, 0.9995528, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
