================================ Starting Log Protobuf =================================
Current Time: 2021-11-11 2:32:9
Time (ms), Acc x (m/s^2), Acc y (m/s^2), Acc z (m/s^2), Gyr (rad/s) x, Gyr (rad/s) y, Gyr (rad/s) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, rawGyr (deg/s) x, rawGyr (deg/s) y, rawGyr (deg/s) z, rawMag (uT) x, rawMag (uT) y, rawMag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, N_GPS, E_GPS, D_GPS, Pressure (hPa), Alt_baro, Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux Mode, N_est, E_est, D_est, u_est, v_est, w_est, q1_est, q2_est, q3_est, q4_est, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg)
9.5000000, -1.0298584, -0.0958008, -9.6806688, -0.0172534, 0.0227825, -0.0185858, -6.9750004, 5.9999990, 36.3000031, -0.9160305, 0.3358779, 1.4045801, -21.6000004, -6.3000002, 43.6500015, 8.3539066, 42.3646965, -71.0677872, -18.2220001, 0.0250000, 3.8820391, 0.00, 8.00, 0.0000000, 0.0000000, 0.0000000, 1022.8784180, 0.0034808, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
9.6009998, -1.1256592, -0.1484912, -9.7285690, -0.0140559, 0.0023982, -0.0233821, -6.0750008, 6.2999992, 38.0999985, -0.7328244, 1.5038168, 1.6793894, -20.7000008, -6.0000000, 45.4500008, 8.3510942, 42.3646965, -71.0677872, -18.2410011, 0.0230000, 3.8820391, 0.00, 9.00, 0.0000000, 0.0000000, 0.0000000, 1022.8781128, 0.0009945, 0, 0, 0, 0, 0, 0, -0.0145838, -0.0509460, -0.0224091, 0.9983435, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
9.7019997, -1.0202783, -0.1724414, -9.8100004, 0.0083270, -0.0013323, -0.0267129, -7.7250004, 5.5499988, 37.3499985, 0.5496183, 1.7175573, 1.8702290, -22.3500004, -6.7500005, 44.7000008, 8.3510942, 42.3646965, -71.0677872, -18.2700005, 0.0530000, 3.8820391, 0.00, 9.00, 0.6181643, -0.2611301, 0.2555563, 1022.8773193, -0.0054698, 0, 0, 0, 0, 0, 0, -0.0149312, -0.0436205, -0.0302596, 0.9984782, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
9.8030005, -0.9148974, 0.0335303, -9.7381496, 0.0007328, -0.0251807, -0.0139227, -7.5750008, 5.0999990, 37.5000000, 0.1145038, 3.0839694, 1.1374046, -22.2000008, -7.2000003, 44.8500023, 8.3510942, 42.3646965, -71.0677872, -18.2700005, 0.0530000, 3.8820391, 0.00, 9.00, 0.6181643, -0.2611301, 0.2555563, 1022.8773193, -0.0054698, 0, 0, 0, 0, 0, 0, -0.0231321, -0.0405081, -0.0276114, 0.9985297, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
9.9040003, -0.9388477, -0.0191602, -9.9010105, -0.0047297, 0.0091930, -0.0093928, -8.4750004, 6.2999992, 37.8000031, -0.1984733, 1.1145039, 0.8778626, -23.1000004, -6.0000000, 45.1500015, 8.3510942, 42.3646965, -71.0677872, -18.3110008, 0.0160000, 3.8820391, 0.00, 9.00, 0.6181643, -0.2611301, 0.2555563, 1022.8792725, 0.0104423, 0, 0, 0, 0, 0, 0, -0.0182602, -0.0389509, -0.0267956, 0.9987149, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
10.0050001, -1.1160791, -0.1197510, -9.8483200, 0.0125904, 0.0398361, 0.0039303, -7.7250004, 7.0499992, 38.5500031, 0.7938932, -0.6412213, 0.1145038, -22.3500004, -5.2500000, 45.9000015, 8.3485537, 42.3646965, -71.0677872, -18.3260002, 0.0040000, 3.8820391, 0.00, 9.00, 0.6181643, -0.2611301, 0.2555563, 1022.8789673, 0.0079560, 0, 0, 0, 0, 0, 0, -0.0133435, -0.0467172, -0.0236127, 0.9985399, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
10.1059999, -1.0825489, -0.0622705, -9.7046194, 0.0433668, 0.0145222, -0.0660161, -7.2750015, 6.7499990, 37.3499985, 2.5572519, 0.8091603, 4.1221375, -21.9000015, -5.5500002, 44.7000008, 8.3485537, 42.3646965, -71.0677872, -18.3350010, 0.0330000, 3.8820391, 0.00, 9.00, 0.6181643, -0.2611301, 0.2555563, 1022.8774414, -0.0044753, 0, 0, 0, 0, 0, 0, -0.0149022, -0.0464197, -0.0255039, 0.9984852, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
10.2069998, -0.9819580, -0.0191602, -9.8243704, -0.0092596, -0.0005329, -0.0307098, -6.9750004, 5.9999990, 37.3499985, -0.4580153, 1.6717557, 2.0992367, -21.6000004, -6.3000002, 44.7000008, 8.3575735, 42.3646965, -71.0677872, -18.3450012, 0.0290000, 3.8820391, 0.00, 9.00, 0.6181643, -0.2611301, 0.2555563, 1022.8785400, 0.0044753, 0, 0, 0, 0, 0, 0, -0.0189766, -0.0435615, -0.0241847, 0.9985777, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
10.3079996, -0.9819580, -0.0335303, -9.7525196, -0.0159211, 0.0155881, 0.0352397, -6.0750008, 5.9999990, 37.3499985, -0.8396947, 0.7480916, -1.6793894, -20.7000008, -6.3000002, 44.7000008, 8.3575735, 42.3646965, -71.0677872, -18.3600006, 0.0460000, 3.8820391, 0.00, 9.00, 0.6181643, -0.2611301, 0.2555563, 1022.8789063, 0.0074588, 0, 0, 0, 0, 0, 0, -0.0187632, -0.0453104, -0.0181879, 0.9986311, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
10.4090004, -1.0250684, -0.0574805, -9.7716799, -0.0077940, 0.0071945, 0.0099257, -6.5250015, 7.0499992, 37.8000031, -0.3740458, 1.2290076, -0.2290076, -21.1500015, -5.2500000, 45.1500015, 8.3454628, 42.3646965, -71.0677872, -18.3750000, 0.0160000, 3.8820391, 0.00, 9.00, 0.6181643, -0.2611301, 0.2555563, 1022.8774414, -0.0044753, 0, 0, 0, 0, 0, 0, -0.0152942, -0.0459838, -0.0177497, 0.9986674, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
