================================ Starting Log Protobuf =================================
Current Time: 2021-11-11 2:28:53
Time (ms), Acc x (m/s^2), Acc y (m/s^2), Acc z (m/s^2), Gyr (rad/s) x, Gyr (rad/s) y, Gyr (rad/s) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, rawGyr (deg/s) x, rawGyr (deg/s) y, rawGyr (deg/s) z, rawMag (uT) x, rawMag (uT) y, rawMag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, N_GPS, E_GPS, D_GPS, Pressure (hPa), Alt_baro, Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux Mode, N_est, E_est, D_est, u_est, v_est, w_est, q1_est, q2_est, q3_est, q4_est, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg)
3.4130001, -1.3076807, -0.0910107, -9.8291607, 0.0005995, -0.0413017, -0.0124571, -6.3750000, 6.8999991, 37.9500046, 0.1068702, 4.0076337, 1.0534351, -21.0000000, -5.4000001, 45.3000031, 9.8566713, 42.3647156, -71.0676880, 14.6160011, 0.0070000, 4.6902514, 0.00, 8.00, 6.1855721, -4.1637931, 1.0208564, 1022.8148193, 0.0532094, 0, 0, 0, 0, 0, 0, -0.3766430, 0.5974203, -0.6895132, 0.1606252, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.5139999, -1.1400293, 0.0095801, -9.8195801, 0.0189855, 0.0034640, -0.0349732, -6.6750011, 5.0999990, 38.4000015, 1.1603054, 1.4427481, 2.3435113, -21.3000011, -7.2000003, 45.7500000, 9.8566713, 42.3647156, -71.0677032, 11.5230007, 0.0070000, 4.6902514, 0.00, 8.00, 8.4657955, -6.1883454, 1.1403122, 1022.8156128, 0.0596741, 0, 0, 0, 0, 0, 0, -0.0227106, -0.0502927, -0.0278849, 0.9980869, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.6150000, -1.1831397, 0.0622705, -9.7812595, -0.0016654, -0.0603537, -0.0004663, -5.9250011, 6.5999990, 39.4500046, -0.0229008, 5.0992365, 0.3664122, -20.5500011, -5.7000003, 46.8000031, 9.8541384, 42.3647156, -71.0677032, 9.0870008, 0.0330000, 4.6902514, 0.00, 8.00, 10.8493433, -6.9730687, 1.7264279, 1022.8153076, 0.0571877, 0, 0, 0, 0, 0, 0, -0.0214735, -0.0539913, -0.0182368, 0.9981439, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.7160001, -1.1735595, -0.0383203, -9.7141991, 0.0091263, 0.0285115, -0.0089931, -6.5250015, 5.9999990, 39.5999985, 0.5954198, 0.0076336, 0.8549618, -21.1500015, -6.3000002, 46.9500008, 9.8541384, 42.3647156, -71.0677185, 6.7510004, 0.0290000, 4.6902514, 0.00, 8.00, 12.6236086, -9.0636177, 1.2292193, 1022.8137207, 0.0442583, 0, 0, 0, 0, 0, 0, -0.0196799, -0.0521546, -0.0235850, 0.9981665, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.8169999, -1.2214600, -0.0574805, -9.7046194, 0.0127236, 0.0211838, 0.0433668, -6.0750008, 6.2999992, 38.5500031, 0.8015267, 0.4274809, -2.1450381, -20.7000008, -6.0000000, 45.9000015, 9.8552656, 42.3647156, -71.0677261, 4.7030001, 0.0190000, 4.6902514, 0.00, 8.00, 14.7635736, -10.6792641, 1.8000605, 1022.8139038, 0.0457501, 0, 0, 0, 0, 0, 0, -0.0175172, -0.0541281, -0.0193273, 0.9981933, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.9180000, -1.2454102, 0.0383203, -9.7189894, -0.0172534, -0.0090597, -0.0657496, -6.6750011, 6.5999990, 37.9500046, -0.9160305, 2.1603053, 4.1068702, -21.3000011, -5.7000003, 45.3000031, 9.8552656, 42.3647156, -71.0677338, 2.6050000, 0.0320000, 4.6902514, 0.00, 8.00, 16.1682129, -11.6922083, 1.7695112, 1022.8115845, 0.0268533, 0, 0, 0, 0, 0, 0, -0.0194564, -0.0535757, -0.0245094, 0.9980733, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
4.0190001, -1.2454102, -0.1197510, -9.7764702, -0.0157879, -0.0145222, 0.0040635, -6.9750004, 7.0499992, 38.0999985, -0.8320611, 2.4732823, 0.1068702, -21.6000004, -5.2500000, 45.4500008, 9.8563919, 42.3647156, -71.0677414, 0.7200000, 0.0050000, 4.6902514, 0.00, 8.00, 18.1629639, -12.8845005, 2.0847960, 1022.8117065, 0.0278479, 0, 0, 0, 0, 0, 0, -0.0132585, -0.0529587, -0.0224631, 0.9982560, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
4.1199999, -1.1256592, -0.0047900, -9.8435307, 0.0152550, -0.0110582, -0.0184525, -6.5250015, 6.2999992, 37.3499985, 0.9465649, 2.2748091, 1.3969465, -21.1500015, -6.0000000, 44.7000008, 9.8563919, 42.3647156, -71.0677414, -0.9150000, 0.0090000, 4.6902514, 0.00, 8.00, 19.3992939, -13.4067574, 2.5959094, 1022.8132935, 0.0407773, 0, 0, 0, 0, 0, 0, -0.0183746, -0.0493838, -0.0223113, 0.9983616, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
4.2210002, -1.2310400, -0.1101709, -9.6902494, -0.0101922, 0.0335743, -0.0088599, -7.5750008, 5.8499990, 39.1500015, -0.5114504, -0.2824427, 0.8473282, -22.2000008, -6.4500003, 46.5000000, 9.8577976, 42.3647156, -71.0677490, -2.3110001, 0.0150000, 4.6902514, 0.00, 9.00, 20.3309822, -14.5819283, 2.5653598, 1022.8134155, 0.0417719, 0, 0, 0, 0, 0, 0, -0.0173308, -0.0517737, -0.0290533, 0.9980857, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
4.3220000, -1.2358301, -0.0431104, -9.8291607, -0.0169870, 0.0241149, -0.0009992, -5.1750011, 6.8999991, 37.2000046, -0.9007633, 0.2595420, 0.3969466, -19.8000011, -5.4000001, 44.5500031, 9.8577976, 42.3647156, -71.0677567, -3.6460001, 0.0290000, 4.6902514, 0.00, 9.00, 21.5904064, -15.1715183, 2.2792547, 1022.8138428, 0.0452529, 0, 0, 0, 0, 0, 0, -0.0157664, -0.0554839, -0.0161001, 0.9982053, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
