================================ Starting Log Protobuf =================================
Current Time: 2021-11-11 2:34:35
Time (ms), Acc x (m/s^2), Acc y (m/s^2), Acc z (m/s^2), Gyr (rad/s) x, Gyr (rad/s) y, Gyr (rad/s) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, rawGyr (deg/s) x, rawGyr (deg/s) y, rawGyr (deg/s) z, rawMag (uT) x, rawMag (uT) y, rawMag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, N_GPS, E_GPS, D_GPS, Pressure (hPa), Alt_baro, Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux Mode, N_est, E_est, D_est, u_est, v_est, w_est, q1_est, q2_est, q3_est, q4_est, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg)
4.5929999, -1.0298584, -0.2155517, -9.6998291, -0.0065949, 0.0077274, 0.0448323, -7.8750000, 6.1499991, 38.4000015, -0.3053435, 1.1984733, -2.2290077, -22.5000000, -6.1500001, 45.7500000, 7.3397713, 42.3646584, -71.0678101, -17.9800014, 0.0170000, 0.0000000, 0.00, 8.00, 0.4779077, 0.1477752, 0.7069417, 1022.8582153, -0.0024863, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
4.6939998, -0.9532177, -0.2538721, -9.7764702, 0.0061953, 0.0115911, 0.0213836, -7.5750008, 5.3999991, 38.4000015, 0.4274809, 0.9770992, -0.8854962, -22.2000008, -6.9000001, 45.7500000, 7.3293538, 42.3646584, -71.0678101, -18.2440014, 0.0540000, 0.0000000, 0.00, 8.00, 0.4779077, 0.1477752, 0.7069417, 1022.8569336, -0.0129288, 0, 0, 0, 0, 0, 0, -0.0136379, -0.0421868, -0.0282005, 0.9986185, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
4.7950001, -0.9340576, -0.1580713, -9.8243704, 0.0466976, 0.0189188, 0.0648170, -6.9750004, 5.9999990, 37.8000031, 2.7480917, 0.5572519, -3.3740458, -21.6000004, -6.3000002, 45.1500015, 7.3293538, 42.3646584, -71.0678101, -18.4880009, 0.0540000, 0.0000000, 0.00, 8.00, 0.4779077, 0.1477752, 0.7069417, 1022.8577271, -0.0064644, 0, 0, 0, 0, 0, 0, -0.0145139, -0.0420621, -0.0208291, 0.9987924, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
4.8959999, -1.0538086, -0.2011816, -9.8339500, 0.0153882, 0.0343737, -0.0413683, -7.5750008, 3.8999987, 37.2000046, 0.9541985, -0.3282443, 2.7099237, -22.2000008, -8.4000006, 44.5500031, 7.3248482, 42.3646584, -71.0678101, -18.8990002, 0.0320000, 0.0000000, 0.00, 8.00, 1.1241232, -0.1951365, 0.8722206, 1022.8571777, -0.0109397, 0, 0, 0, 0, 0, 0, -0.0181811, -0.0450822, -0.0370697, 0.9981297, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
4.9970002, -1.0442286, -0.3113526, -9.7956295, 0.0225827, 0.0334410, -0.0320421, -7.2750015, 5.9999990, 37.8000031, 1.3664122, -0.2748092, 2.1755726, -21.9000015, -6.3000002, 45.1500015, 7.3248482, 42.3646584, -71.0678101, -19.2200012, 0.0500000, 0.0000000, 0.00, 8.00, 1.1241232, -0.1951365, 0.8722206, 1022.8568115, -0.0139233, 0, 0, 0, 0, 0, 0, -0.0094711, -0.0454633, -0.0289136, 0.9985026, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
5.0980000, -0.9580078, -0.2730322, -9.6854591, 0.0259135, 0.0193185, -0.0159211, -8.7750015, 5.3999991, 36.4500046, 1.5572519, 0.5343512, 1.2519084, -23.4000015, -6.9000001, 43.8000031, 7.3237214, 42.3646584, -71.0678101, -19.5040016, 0.0210000, 0.0000000, 0.00, 8.00, 1.7422873, -0.4562672, 1.1277765, 1022.8566284, -0.0154151, 0, 0, 0, 0, 0, 0, -0.0110881, -0.0389337, -0.0344369, 0.9985867, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
5.1989999, -1.0442286, -0.1676514, -9.7333593, -0.0039303, -0.0062619, -0.0028645, -8.3250008, 5.3999991, 37.5000000, -0.1526718, 2.0000000, 0.5038168, -22.9500008, -6.9000001, 44.8500023, 7.3237214, 42.3646584, -71.0678101, -19.6340008, 0.0550000, 0.0000000, 0.00, 8.00, 1.7422873, -0.4562672, 1.1277765, 1022.8570557, -0.0119342, 0, 0, 0, 0, 0, 0, -0.0155783, -0.0433721, -0.0319796, 0.9984255, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
5.3000002, -1.1208692, -0.1820215, -9.8100004, 0.0021983, 0.0050628, -0.0299104, -8.1750011, 4.7999988, 37.8000031, 0.1984733, 1.3511450, 2.0534351, -22.8000011, -7.5000005, 45.1500015, 7.3248482, 42.3646584, -71.0678101, -19.8210011, 0.0660000, 0.0000000, 0.00, 8.00, 2.2432902, -0.3758240, 1.0374994, 1022.8571777, -0.0109397, 0, 0, 0, 0, 0, 0, -0.0168049, -0.0464635, -0.0357543, 0.9981385, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
5.4010000, -0.9101074, -0.1916016, -9.7573099, 0.0155214, -0.0291776, 0.0572228, -7.2750015, 4.7999988, 36.5999985, 0.9618320, 3.3129771, -2.9389312, -21.9000015, -7.5000005, 43.9500008, 7.3248482, 42.3646584, -71.0678101, -20.0480003, 0.0400000, 0.0000000, 0.00, 8.00, 2.2432902, -0.3758240, 1.0374994, 1022.8563843, -0.0174041, 0, 0, 0, 0, 0, 0, -0.0160429, -0.0407205, -0.0268401, 0.9986811, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
5.5019999, -1.0633887, -0.2538721, -9.7812595, -0.0108583, 0.0638178, -0.0019319, -7.8750000, 6.1499991, 36.7500000, -0.5496183, -2.0152671, 0.4503817, -22.5000000, -6.1500001, 44.1000023, 7.3183689, 42.3646584, -71.0678101, -20.2970009, 0.0540000, 0.0000000, 0.00, 8.00, 2.3604515, -0.7173978, 1.3833325, 1022.8556519, -0.0233712, 0, 0, 0, 0, 0, 0, -0.0102595, -0.0438590, -0.0286088, 0.9985753, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
5.6030002, -0.9484277, -0.2826123, -9.8004198, 0.0045965, 0.0194518, -0.0084602, -8.4750004, 5.5499988, 37.3499985, 0.3358779, 0.5267175, 0.8244275, -23.1000004, -6.7500005, 44.7000008, 7.3183689, 42.3646584, -71.0678101, -20.6280003, 0.0240000, 0.0000000, 0.00, 8.00, 2.3604515, -0.7173978, 1.3833325, 1022.8552246, -0.0268520, 0, 0, 0, 0, 0, 0, -0.0113517, -0.0395381, -0.0324036, 0.9986280, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
5.7040000, -0.9388477, -0.2059717, -9.7525196, -0.0101922, -0.0077274, 0.0153882, -7.5750008, 5.3999991, 36.4500046, -0.5114504, 2.0839694, -0.5419847, -22.2000008, -6.9000001, 43.8000031, 7.3110428, 42.3646584, -71.0678101, -20.8820019, 0.0510000, 0.0000000, 0.00, 8.00, 3.0066669, -1.0603096, 1.5486113, 1022.8543091, -0.0343109, 0, 0, 0, 0, 0, 0, -0.0139015, -0.0407582, -0.0279775, 0.9986805, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
5.8049998, -1.1208692, -0.2538721, -9.7525196, 0.0357726, -0.0009326, -0.0814709, -8.9250011, 5.2499990, 37.0500031, 2.1221373, 1.6946565, 5.0076337, -23.5500011, -7.0500002, 44.4000015, 7.3110428, 42.3646584, -71.0678101, -21.0750008, 0.0220000, 0.0000000, 0.00, 8.00, 3.0066669, -1.0603096, 1.5486113, 1022.8558350, -0.0218794, 0, 0, 0, 0, 0, 0, -0.0122576, -0.0447609, -0.0398762, 0.9981263, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
5.9060001, -0.9963281, -0.3257227, -9.8722706, 0.0009992, 0.0166539, 0.0164541, -8.9250011, 5.9999990, 37.3499985, 0.1297710, 0.6870229, -0.6030535, -23.5500011, -6.3000002, 44.7000008, 7.3093572, 42.3646584, -71.0678101, -21.1980019, 0.0360000, 0.0000000, 0.00, 7.00, 3.0066669, -1.0603096, 1.5486113, 1022.8556519, -0.0233712, 0, 0, 0, 0, 0, 0, -0.0087213, -0.0400780, -0.0320914, 0.9986430, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
6.0070000, -1.1591895, -0.2299219, -9.8722706, 0.0261799, -0.0301103, 0.0287113, -8.3250008, 5.8499990, 38.4000015, 1.5725191, 3.3664122, -1.3053435, -22.9500008, -6.4500003, 45.7500000, 7.3093572, 42.3646584, -71.0678101, -21.1830006, 0.0440000, 0.0000000, 0.00, 7.00, 3.0066669, -1.0603096, 1.5486113, 1022.8544312, -0.0333164, 0, 0, 0, 0, 0, 0, -0.0127605, -0.0477303, -0.0307210, 0.9983062, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
6.1079998, -0.9627978, -0.2011816, -9.6998291, -0.0009992, -0.0398361, 0.0123239, -6.5250015, 5.9999990, 37.8000031, 0.0152672, 3.9236641, -0.3664122, -21.1500015, -6.3000002, 45.1500015, 7.3073840, 42.3646584, -71.0678101, -21.1830006, 0.0440000, 0.0000000, 0.00, 7.00, 3.0066669, -1.0603096, 1.5486113, 1022.8542480, -0.0348082, 0, 0, 0, 0, 0, 0, -0.0135426, -0.0447380, -0.0224999, 0.9986535, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
6.2090001, -0.9627978, -0.2107617, -9.7285690, 0.0180528, 0.0018652, 0.0084602, -8.3250008, 3.5999985, 36.0000000, 1.1068702, 1.5343511, -0.1450382, -22.9500008, -8.7000008, 43.3500023, 7.3073840, 42.3646622, -71.0678024, -21.1510010, 0.0070000, 0.0000000, 0.00, 8.00, 3.2222009, -0.1476055, 1.6541640, 1022.8546143, -0.0318246, 0, 0, 0, 0, 0, 0, -0.0178342, -0.0401302, -0.0378543, 0.9983179, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
6.3829999, -1.0059083, -0.2251318, -9.8770609, 0.0036639, 0.0313093, -0.0425674, -8.3250008, 4.6499991, 37.2000046, 0.2824427, -0.1526718, 2.7786260, -22.9500008, -7.6500001, 44.5500031, 7.3059778, 42.3646622, -71.0678024, -21.0880013, 0.0240000, 0.0000000, 0.00, 8.00, 3.2222009, -0.1476055, 1.6541640, 1022.8532715, -0.0427643, 0, 0, 0, 0, 0, 0, -0.0153022, -0.0418128, -0.0391432, 0.9982411, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
6.4840002, -0.9292676, -0.2442920, -9.8147898, -0.0139227, 0.0183859, 0.0229824, -8.3250008, 5.3999991, 37.9500046, -0.7251908, 0.5877863, -0.9770992, -22.9500008, -6.9000001, 45.3000031, 7.3093572, 42.3646622, -71.0678024, -21.0990009, 0.0290000, 0.0000000, 0.00, 8.00, 3.2222009, -0.1476055, 1.6541640, 1022.8536987, -0.0392835, 0, 0, 0, 0, 0, 0, -0.0136782, -0.0394198, -0.0303460, 0.9986681, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
6.5850000, -0.9148974, -0.1676514, -9.7812595, 0.0056623, 0.0421011, -0.0037971, -9.0750008, 6.1499991, 37.9500046, 0.3969466, -0.7709923, 0.5572519, -23.7000008, -6.1500001, 45.3000031, 7.3093572, 42.3646622, -71.0678024, -21.0430012, 0.0060000, 0.0000000, 0.00, 7.00, 3.2222009, -0.1476055, 1.6541640, 1022.8548584, -0.0298356, 0, 0, 0, 0, 0, 0, -0.0137830, -0.0370444, -0.0304040, 0.9987559, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
6.6859999, -1.0585986, -0.2634521, -9.8052101, -0.0249809, -0.0099923, -0.0489625, -8.1750011, 5.5499988, 37.3499985, -1.3587786, 2.2137403, 3.1450381, -22.8000011, -6.7500005, 44.7000008, 7.3076634, 42.3646622, -71.0678024, -21.0670013, 0.0180000, 0.0000000, 0.00, 7.00, 3.2222009, -0.1476055, 1.6541640, 1022.8546753, -0.0313274, 0, 0, 0, 0, 0, 0, -0.0121450, -0.0441771, -0.0341479, 0.9983661, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
