================================ Starting Log Protobuf =================================
Current Time: 2021-11-11 18:9:29
Time (ms), Acc x (m/s^2), Acc y (m/s^2), Acc z (m/s^2), Gyr (rad/s) x, Gyr (rad/s) y, Gyr (rad/s) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, rawGyr (deg/s) x, rawGyr (deg/s) y, rawGyr (deg/s) z, rawMag (uT) x, rawMag (uT) y, rawMag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, N_GPS, E_GPS, D_GPS, Pressure (hPa), Alt_baro, Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux Mode, N_est, E_est, D_est, u_est, v_est, w_est, q1_est, q2_est, q3_est, q4_est, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg)
2.1830001, -0.4550537, -0.0718506, -9.8435307, -0.0053959, -0.0097259, -0.0181861, -1.5750012, 8.6999989, 47.5500031, -0.2366412, 2.1984732, 1.3816794, -2.4000001, -16.0500011, 50.4000015, 9.3922644, 42.3647728, -71.0677185, -34.5500031, 0.0680000, 3.4071646, 0.00, 9.00, -3.4792366, 3.9791021, -1.3972418, 1027.3698730, -0.0108917, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
2.2839999, -0.3257227, 0.0095801, -9.7285690, 0.0036639, -0.0174533, -0.0654832, -1.5750012, 8.6999989, 48.3000031, 0.2824427, 2.6412213, 4.0916033, -2.4000001, -16.0500011, 51.1500015, 9.3922644, 42.3647652, -71.0677032, -31.3390007, 0.0610000, 3.4071646, 0.00, 9.00, -6.6954484, 5.6503119, -0.1028158, 1027.3652344, -0.0485174, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
2.3850000, -0.3257227, -0.0574805, -9.7620993, -0.0120574, -0.0362389, -0.0596210, -3.0750012, 9.7499990, 47.2500000, -0.6183206, 3.7175572, 3.7557251, -3.9000001, -15.0000010, 50.1000023, 9.4018431, 42.3647614, -71.0677032, -28.4940014, 0.1350000, 3.4071646, 0.00, 9.00, -9.8143215, 7.0377398, -1.2903233, 1027.3664551, -0.0386159, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
2.4860001, -0.3927832, 0.0000000, -9.8195801, 0.0662825, 0.0097259, 0.0245812, -1.2750013, 8.5499992, 48.1500015, 3.8702290, 1.0839695, -1.0687023, -2.1000001, -16.2000008, 51.0000038, 9.4018431, 42.3647575, -71.0676880, -24.9040012, 0.1850000, 3.4071646, 0.00, 9.00, -12.6235962, 9.0636330, -1.2292268, 1027.3614502, -0.0792121, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
2.5869999, -0.3257227, -0.0574805, -9.8483200, 0.0217833, 0.0342404, 0.0537588, -2.7750013, 9.4499998, 48.0000000, 1.3206106, -0.3206107, -2.7404580, -3.6000001, -15.3000002, 50.8500023, 9.4057817, 42.3647575, -71.0676804, -22.3630009, 0.1810000, 3.4071646, 0.00, 9.00, -14.7355080, 10.5974998, -1.8903461, 1027.3618164, -0.0762416, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
2.6880000, -0.2778223, -0.0143701, -9.7716799, -0.0413683, 0.0223828, 0.0113913, -1.5750012, 9.4499998, 47.2500000, -2.2977099, 0.3587786, -0.3129771, -2.4000001, -15.3000002, 50.1000023, 9.4057817, 42.3647499, -71.0676727, -21.2220001, 0.1770000, 3.4071646, 0.00, 9.00, -16.4348774, 10.9286385, -0.9875760, 1027.3695068, -0.0138621, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
2.7890000, -0.2874023, -0.0526904, -9.9058008, -0.0047297, 0.0174533, 0.0497619, -2.4750013, 8.5499992, 48.1500015, -0.1984733, 0.6412213, -2.5114503, -3.3000002, -16.2000008, 51.0000038, 9.4055023, 42.3647461, -71.0676651, -19.4850006, 0.1600000, 3.4071646, 0.00, 10.00, -18.1672516, 11.3560057, -0.7014709, 1027.3695068, -0.0138621, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
2.8900001, -0.2682422, 0.0670605, -9.7860498, -0.0229824, -0.0005329, 0.0172534, -2.1750011, 8.5499992, 46.9500046, -1.2442749, 1.6717557, -0.6488550, -3.0000000, -16.2000008, 49.8000031, 9.4055023, 42.3647423, -71.0676651, -18.2290001, 0.1960000, 3.4071646, 0.00, 10.00, -19.4316330, 11.9600458, -1.1223075, 1027.3707275, -0.0039606, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
2.9909999, -0.4167334, -0.0862207, -9.8531103, -0.0213836, 0.0085268, -0.0283116, -2.9250014, 8.0999985, 48.1500015, -1.1526718, 1.1526718, 1.9618320, -3.7500002, -16.6500015, 51.0000038, 9.4063492, 42.3647385, -71.0676651, -18.4420013, 0.1710000, 3.4071646, 0.00, 9.00, -19.1973095, 11.2768993, -0.4306398, 1027.3707275, -0.0039606, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.0920000, -0.2490820, 0.0000000, -9.9393311, -0.0201845, -0.0102588, -0.0024648, -2.9250014, 9.2999992, 48.9000015, -1.0839695, 2.2290077, 0.4809160, -3.7500002, -15.4500008, 51.7500038, 9.4063492, 42.3647346, -71.0676651, -17.2020016, 0.1690000, 3.4071646, 0.00, 10.00, -20.4897423, 11.9627199, -0.7611997, 1027.3684082, -0.0227735, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
