================================ Starting Log Protobuf =================================
Current Time: 2021-11-11 18:6:31
Time (ms), Acc x (m/s^2), Acc y (m/s^2), Acc z (m/s^2), Gyr (rad/s) x, Gyr (rad/s) y, Gyr (rad/s) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, rawGyr (deg/s) x, rawGyr (deg/s) y, rawGyr (deg/s) z, rawMag (uT) x, rawMag (uT) y, rawMag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, N_GPS, E_GPS, D_GPS, Pressure (hPa), Alt_baro, Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux Mode, N_est, E_est, D_est, u_est, v_est, w_est, q1_est, q2_est, q3_est, q4_est, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg)
2.1930001, -0.1963916, -0.1916016, -9.7860498, -0.0131233, 0.0219832, 0.0035306, 0.9749988, 8.5499992, 47.4000015, -0.6793893, 0.3816794, 0.1374046, 0.1500000, -16.2000008, 50.2500038, 9.5147753, 42.3645859, -71.0678940, -35.3820000, 0.0510000, 4.2857685, 0.00, 10.00, -9.8046350, 11.6328802, -1.8152813, 1027.3627930, -0.0049508, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
2.2939999, -0.2778223, -0.2347119, -9.8962212, 0.0199181, 0.0018652, 0.0209839, -0.9750012, 10.3499994, 47.4000015, 1.2137405, 1.5343511, -0.8625954, -1.8000001, -14.4000006, 50.2500038, 9.5147753, 42.3646049, -71.0678558, -29.2040005, 0.0480000, 4.2857685, 0.00, 10.00, -13.4148464, 17.5349789, -3.4375021, 1027.3604736, -0.0237638, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
2.3950000, -0.2921924, -0.3400928, -9.8195801, 0.0247144, 0.0728775, -0.0068614, -1.1250012, 8.6999989, 48.0000000, 1.4885496, -2.5343511, 0.7328244, -1.9500000, -16.0500011, 50.8500023, 9.5268869, 42.3646278, -71.0678177, -25.3280010, 0.0290000, 4.2857685, 0.00, 10.00, -15.1375589, 22.5574474, -3.6763940, 1027.3619385, -0.0118819, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
2.4960001, -0.1724414, -0.3592530, -9.9010105, 0.0153882, 0.0010659, -0.0203178, -0.0750012, 9.2999992, 46.9500046, 0.9541985, 1.5801526, 1.5038168, -0.9000000, -15.4500008, 49.8000031, 9.5268869, 42.3646507, -71.0677795, -20.8130016, 0.0860000, 4.2857685, 0.00, 10.00, -17.6286049, 28.2788563, -5.1333370, 1027.3604736, -0.0237638, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
2.5969999, -0.2011816, -0.3017725, -9.7333593, 0.0108583, 0.0353063, -0.0327083, -0.9750012, 7.7999992, 47.4000015, 0.6946565, -0.3816794, 2.2137403, -1.8000001, -16.9500008, 50.2500038, 9.5206871, 42.3646698, -71.0677414, -15.4650011, 0.1110000, 4.2857685, 0.00, 10.00, -21.1166992, 33.8249283, -5.7027836, 1027.3597412, -0.0297048, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
2.6980000, -0.0910107, -0.2203418, -10.0111818, 0.0027312, -0.0125237, -0.0879992, -0.0750012, 8.5499992, 46.6500015, 0.2290076, 2.3587787, 5.3816795, -0.9000000, -16.2000008, 49.5000038, 9.5206871, 42.3646851, -71.0677109, -10.8180008, 0.0520000, 4.2857685, 0.00, 10.00, -24.2351742, 38.2933998, -6.7388940, 1027.3616943, -0.0138622, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
2.7990000, -0.0526904, -0.2251318, -10.0111818, 0.1608767, 0.0640842, 0.0168537, 0.0749989, 9.4499998, 46.8000031, 9.2900763, -2.0305343, -0.6259542, -0.7500000, -15.3000002, 49.6500015, 9.5265989, 42.3646965, -71.0676880, -6.9920001, 0.0020000, 4.2857685, 0.00, 10.00, -26.6183243, 42.1591606, -7.1736188, 1027.3623047, -0.0089114, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
2.9000001, -1.0873389, 0.7520362, -9.9010105, 0.0760084, 0.0435666, -0.0297772, -0.6750011, 9.7499990, 47.2500000, 4.4274807, -0.8549618, 2.0458016, -1.5000000, -15.0000010, 50.1000023, 9.5265989, 42.3646965, -71.0676880, -7.7930002, 0.0140000, 4.2857685, 0.00, 9.00, -26.0001602, 41.8980255, -6.9180632, 1027.3596191, -0.0306949, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.0009999, -0.5029541, -0.0526904, -9.9489117, 0.1438231, 0.2087733, -0.2073744, -0.5250012, 9.5999994, 46.9500046, 8.3129768, -10.3206110, 12.2213745, -1.3500000, -15.1500006, 49.8000031, 9.5347719, 42.3646965, -71.0676956, -8.1670008, 0.0350000, 4.2857685, 0.00, 9.00, -26.2206535, 40.9997749, -7.7305593, 1027.3605957, -0.0227736, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
3.1020000, 0.5316944, -1.2741505, -8.7370310, 0.0927956, 0.2101057, -0.3511309, -1.2750013, 9.2999992, 45.1500015, 5.3893127, -10.3969469, 20.4580154, -2.1000001, -15.4500008, 48.0000000, 9.5347719, 42.3646927, -71.0677032, -8.8230000, 0.0120000, 4.2857685, 0.00, 9.00, -25.3681679, 40.0554924, -6.7833414, 1027.3609619, -0.0198032, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
