================================ Starting Log Version 1 =================================
Current Time: 2021-11-15 21:33:29
Time (ms), Acc x (m/s^2), Acc y (m/s^2), Acc z (m/s^2), Gyr (rad/s) x, Gyr (rad/s) y, Gyr (rad/s) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, rawGyr (deg/s) x, rawGyr (deg/s) y, rawGyr (deg/s) z, rawMag (uT) x, rawMag (uT) y, rawMag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, N_GPS, E_GPS, D_GPS, VN_GPS, VE_GPS, VD_GPS, Pressure (hPa), Alt_baro, Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux Mode, N_est, E_est, D_est, u_est, v_est, w_est, q1_est, q2_est, q3_est, q4_est, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg)
5.6250000, -0.2107617, -0.1149609, -9.7908401, 0.0133897, 0.0035972, -0.0147221, -21.9749985, 1.6499996, 45.2249985, 0.8396947, 1.4351145, 1.1832061, -40.3500023, -13.5000010, 48.1500015, 5.5207391, 42.3644104, -71.0704193, -16.6550007, 0.0950000, 5.0869446, 0.00, 9.00, -1.2973595, 0.7003436, -1.0374861, -0.0790000, 0.0530000, -0.0070000, 1005.4275513, 0.0080941, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
5.7259998, -0.1820215, 0.0047900, -9.9584913, -0.0013989, 0.0162542, 0.0024648, -21.9749985, 1.6499996, 47.1750031, -0.0076336, 0.7099237, 0.1984733, -40.3500023, -13.5000010, 50.1000023, 5.5122952, 42.3644104, -71.0704269, -16.1330013, 0.0460000, 5.0869446, 0.00, 10.00, -1.6581296, 0.2110151, -1.3985989, -0.0060000, 0.0450000, -0.0170000, 1005.4265747, 0.0000000, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
5.8270001, -0.0766406, -0.0670605, -10.0111818, 0.0255138, 0.0082603, 0.0300436, -22.4249992, 0.6000004, 46.7249985, 1.5343511, 1.1679389, -1.3816794, -40.8000031, -14.5500002, 49.6500015, 5.5122952, 42.3644142, -71.0704346, -15.6420012, 0.1480000, 5.0869446, 0.00, 10.00, -2.1129577, -0.0040542, -2.9027603, 0.0220000, 0.1470000, 0.0840000, 1005.4261475, -0.0035412, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
5.9280000, -0.2490820, 0.0095801, -9.8818502, -0.0092596, -0.0166539, -0.0179196, -23.1749992, 1.3500004, 45.6750031, -0.4580153, 2.5954199, 1.3664122, -41.5500031, -13.8000002, 48.6000023, 5.5179272, 42.3644180, -71.0704346, -15.0080004, 0.0670000, 5.0869446, 0.00, 10.00, -2.2301049, 0.3375290, -3.2485890, -0.0510000, 0.0430000, -0.0150000, 1005.4268188, 0.0020235, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
6.0289998, -0.3065625, -0.1628613, -9.6615086, -0.0113913, 0.0095927, 0.0600207, -21.9749985, 1.6499996, 45.9749985, -0.5801527, 1.0916030, -3.0992367, -40.3500023, -13.5000010, 48.9000015, 5.5179272, 42.3644180, -71.0704422, -14.3650007, 0.0220000, 5.0869446, 0.00, 10.00, -2.3472521, 0.6791122, -3.5944176, -0.0140000, 0.0170000, 0.0520000, 1005.4271851, 0.0050588, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
6.1300001, -0.2395020, -0.0335303, -9.8147898, -0.0554908, 0.0279786, -0.0533591, -22.4249992, 1.3500004, 45.2249985, -3.1068702, 0.0381679, 3.3969467, -40.8000031, -13.8000002, 48.1500015, 5.5179272, 42.3644180, -71.0704422, -13.8340006, 0.0880000, 5.0869446, 0.00, 10.00, -2.8763056, 0.6804720, -3.4138613, -0.0100000, 0.0870000, 0.0490000, 1005.4271851, 0.0050588, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
6.2309999, -0.2059717, 0.1245410, -9.9393311, -0.0063285, -0.0001332, -0.0207175, -23.4749985, 1.1999998, 46.1250000, -0.2900763, 1.6488550, 1.5267175, -41.8500023, -13.9500008, 49.0500031, 5.5179272, 42.3644180, -71.0704422, -13.4030008, 0.0600000, 5.0869446, 0.00, 10.00, -3.4944587, 0.9416336, -3.6694117, -0.0320000, 0.0510000, 0.0010000, 1005.4252930, -0.0106235, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
6.3319998, -0.2586621, -0.1293311, -10.0207615, 0.0159211, 0.0343737, -0.0353729, -21.2249985, 1.6499996, 46.4250031, 0.9847328, -0.3282443, 2.3664122, -39.6000023, -13.5000010, 49.3500023, 5.5159540, 42.3644180, -71.0704422, -12.9500008, 0.0440000, 5.0869446, 0.00, 11.00, -4.1126122, 1.2027951, -3.9249620, -0.0430000, 0.0070000, 0.0440000, 1005.4250488, -0.0126470, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
6.4330001, -0.3736231, -0.1197510, -10.1836233, 0.0788063, -0.1075176, 0.0405689, -21.2249985, 2.8500004, 46.4250031, 4.5877862, 7.8015265, -1.9847329, -39.6000023, -12.3000002, 49.3500023, 5.5159540, 42.3644218, -71.0704422, -12.6020002, 0.0620000, 5.0869446, 0.00, 11.00, -3.8459003, 1.9663831, -4.7068977, 0.0610000, 0.0110000, 0.0790000, 1005.4265747, 0.0000000, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
6.5339999, -0.2874023, -0.0670605, -10.1692533, 0.0886654, -0.1005896, -0.0299104, -22.5749969, 2.2500000, 45.8250046, 5.1526718, 7.4045801, 2.0534351, -40.9500008, -12.9000006, 48.7500038, 5.5148277, 42.3644218, -71.0704422, -12.4000006, 0.1150000, 5.0869446, 0.00, 11.00, -3.8459003, 1.9663831, -4.7068977, -0.0840000, 0.0780000, 0.0460000, 1005.4265137, -0.0005059, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
