================================ Starting Log Version 1 =================================
Current Time: 2021-11-15 21:45:6
Time (ms), Acc x (m/s^2), Acc y (m/s^2), Acc z (m/s^2), Gyr (rad/s) x, Gyr (rad/s) y, Gyr (rad/s) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, rawGyr (deg/s) x, rawGyr (deg/s) y, rawGyr (deg/s) z, rawMag (uT) x, rawMag (uT) y, rawMag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, N_GPS, E_GPS, D_GPS, VN_GPS, VE_GPS, VD_GPS, Pressure (hPa), Alt_baro, Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux Mode, N_est, E_est, D_est, u_est, v_est, w_est, q1_est, q2_est, q3_est, q4_est, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg)
6.6700001, -0.6993458, -0.3592530, -9.7285690, 0.0201845, 0.0070613, -0.0634847, -18.6749992, 3.0000000, 47.3250046, 1.2290076, 1.2366412, 3.9770992, -37.0500031, -12.1500006, 50.2500038, 4.7327476, 42.3644638, -71.0704956, -19.0330009, 0.0470000, 5.9911375, 0.00, 10.00, -0.6181530, 0.2611623, -0.2555508, 0.0430000, -0.0190000, -0.0230000, 1005.7156372, -0.0976059, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
6.7709999, -0.6993458, -0.1676514, -9.9680710, 0.0177864, 0.0085268, -0.0407021, -18.6749992, 3.4499998, 46.1250000, 1.0916030, 1.1526718, 2.6717558, -37.0500031, -11.7000008, 49.0500031, 4.7355680, 42.3644638, -71.0704956, -18.9050007, 0.0600000, 5.9911375, 0.00, 10.00, -0.6181530, 0.2611623, -0.2555508, 0.0140000, -0.0590000, -0.0430000, 1005.7159424, -0.0950772, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
6.8720002, -0.7951465, -0.5364844, -9.6519289, -0.0283116, 0.0149219, 0.0175199, -19.8749962, 2.6999998, 45.3750000, -1.5496184, 0.7862595, -0.6641222, -38.2500000, -12.4500008, 48.3000031, 4.7355680, 42.3644638, -71.0704880, -18.8610001, 0.0210000, 5.9911375, 0.00, 10.00, -0.6181530, 0.2611623, -0.2555508, -0.0210000, 0.0020000, -0.0190000, 1005.7147827, -0.1046861, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
6.9730000, -0.4790039, -0.0862207, -10.0063915, -0.0027312, 0.0834028, -0.0156547, -19.5749969, 3.1500006, 45.9749985, -0.0839695, -3.1374047, 1.2366412, -37.9500008, -12.0000000, 48.9000015, 4.7459850, 42.3644638, -71.0704880, -18.8230000, 0.1340000, 5.9911375, 0.00, 10.00, -0.6181530, 0.2611623, -0.2555508, 0.1170000, -0.0660000, 0.0100000, 1005.7160645, -0.0940657, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
7.0739999, -0.5316944, -0.2155517, -9.9297514, -0.0057956, 0.0087933, -0.0509610, -18.6749992, 2.6999998, 45.8250046, -0.2595420, 1.1374046, 3.2595420, -37.0500031, -12.4500008, 48.7500038, 4.7459850, 42.3644638, -71.0704880, -18.7320004, 0.0920000, 5.9911375, 0.00, 10.00, -0.7352995, 0.6027454, -0.6013798, 0.0630000, -0.0670000, -0.0270000, 1005.7215576, -0.0485501, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
7.1750002, -0.5221143, -0.3640430, -10.2985849, 0.2927756, -0.1638744, -0.0504280, -18.8249969, 2.1000004, 46.4250031, 16.8473282, 11.0305347, 3.2290077, -37.2000008, -13.0500002, 49.3500023, 4.7575378, 42.3644638, -71.0704880, -18.7700005, 0.0360000, 5.9911375, 0.00, 10.00, -0.6181530, 0.2611623, -0.2555508, -0.0320000, -0.0160000, -0.1120000, 1005.7229614, -0.0369183, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
7.2760000, -0.7520362, -0.4646338, -9.9441214, 0.5139395, -0.4330015, 0.2540053, -16.2749977, 4.5000000, 46.8750000, 29.5190830, 26.4503822, -14.2137403, -34.6500015, -10.6500006, 49.8000031, 4.7575378, 42.3644638, -71.0704880, -18.8260002, 0.0820000, 5.9911375, 0.00, 10.00, -0.6181530, 0.2611623, -0.2555508, 0.0300000, -0.0760000, -0.0790000, 1005.7323608, 0.0409641, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
7.3769999, -1.0394385, -0.5843847, -10.2411041, 0.5734939, -0.5514441, 0.0476302, -16.5749969, 5.6999998, 46.5750046, 32.9312973, 33.2366409, -2.3893130, -34.9500008, -9.4500008, 49.5000038, 4.7671080, 42.3644638, -71.0704880, -18.8440018, 0.0450000, 5.9911375, 0.00, 10.00, -0.6181530, 0.2611623, -0.2555508, -0.0020000, 0.0450000, -0.0030000, 1005.7335205, 0.0505730, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
7.4780002, -2.1315675, -1.4178517, -9.8004198, 0.8398231, -0.8509479, -0.0379043, -13.8749962, 7.9500003, 47.6250000, 48.1908379, 50.3969460, 2.5114503, -32.2500000, -7.2000003, 50.5500031, 4.7671080, 42.3644638, -71.0704880, -18.8240013, 0.0710000, 5.9911375, 0.00, 10.00, -0.6181530, 0.2611623, -0.2555508, 0.0040000, -0.0710000, -0.1720000, 1005.7346191, 0.0596761, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
7.5790000, -2.7925930, -2.0022364, -8.7370310, 0.7464281, -0.4652435, -0.2357527, -9.3749981, 13.2000008, 48.0750046, 42.8396950, 28.2977104, 13.8473282, -27.7500019, -1.9500000, 51.0000038, 4.7671080, 42.3644638, -71.0704880, -18.8380013, 0.0480000, 5.9911375, 0.00, 10.00, -0.6181530, 0.2611623, -0.2555508, -0.0140000, -0.0460000, -0.1580000, 1005.7346191, 0.0596761, 0, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
