================================ Starting Log =================================
Current Time: 2015-10-18 0:0:1.400
Time (ms), Scaled. Acc x (mg), Scaled. Acc y (mg), Scaled. Acc z (mg), Gyr (DPS) x, Gyr (DPS) y, Gyr (DPS) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, Pressure (hPa), Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux ModeN, E, D, u, v, w, q1, q2, q3, q4, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg), 
4737,  00030.27,  00081.05,  01018.55,  00000.47,  00000.37, -00002.82, -00019.95, -00037.80,  00061.50,  00021.13, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
4763,  00026.86,  00070.80,  01020.51, -00000.03, -00002.50,  00000.18, -00019.80, -00038.40,  00062.40,  00021.13, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
4803,  00019.53,  00078.61,  01025.88,  00003.53,  00003.38,  00000.21, -00021.60, -00039.30,  00061.50,  00020.94, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
4849,  00020.02,  00093.75,  01002.93,  00002.12,  00001.46, -00001.23, -00020.70, -00038.55,  00059.85,  00020.94, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
4883,  00020.02,  00081.54,  00999.51, -00000.75,  00000.99,  00001.57, -00021.30, -00038.40,  00061.20,  00021.03, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
4923,  00020.02,  00064.45,  01018.55, -00002.42, -00001.29, -00000.40, -00019.95, -00038.25,  00062.25,  00021.03, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
4963,  00016.11,  00088.87,  01007.81,  00000.79,  00000.41,  00001.47, -00020.10, -00038.40,  00061.65,  00020.94, 0, 0, 0, 0, 0, 99.99, 0, stuff, 1.80, 90.00, 94.50, 90.90, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 1.80, 90.00, 94.50, 90.90
5003,  00022.95,  00069.82,  01020.02,  00000.98,  00003.66, -00000.37, -00020.70, -00037.80,  00061.05,  00020.79, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
5048,  00011.72,  00072.27,  01010.74,  00001.50,  00001.57, -00000.76, -00021.15, -00038.55,  00062.55,  00020.84, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
5083,  00025.88,  00084.47,  01007.81, -00000.31,  00000.26,  00000.61, -00019.50, -00038.55,  00061.80,  00021.18, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
