================================ Starting Log =================================
Current Time: 2021-5-2 18:53:16.800
Time (ms), Scaled. Acc x (mg), Scaled. Acc y (mg), Scaled. Acc z (mg), Gyr (DPS) x, Gyr (DPS) y, Gyr (DPS) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, Pressure (hPa), Throttle Val (0-180), Aileron Servo (deg), Elevator Servo (deg), Rudder Servo (deg), Auto Mode (deg), Aux Mode
755,  00248.54, -01768.07,  02226.07, -00058.44, -00040.97,  00007.37,  00012.15, -00064.65,  00094.65,  00025.54, 422735784, -711562839, 57909, 12932, 33661828, 1.75, 11, 992.51, 75.00, 83.00, 78.00, 90.00, 0, 2
783,  00549.80, -00071.29, -00833.01, -00026.00, -00062.13,  00005.82,  00008.10, -00066.45,  00093.90,  00025.59, 422735784, -711562839, 57909, 12932, 33661828, 1.75, 11, -1.00, 74.00, 84.00, 77.00, 90.00, 0, 2
838,  00450.20, -01076.66, -00332.52,  00013.96, -00053.06,  00032.19,  00007.50, -00067.50,  00093.75,  00025.68, 422735880, -711562911, 57907, 12703, 33303652, 1.75, 11, -1.00, 72.00, 84.00, 77.00, 90.00, 0, 2
863,  00299.32, -01861.33,  02363.28, -00012.99, -00055.15,  00057.23,  00007.50, -00065.55,  00093.30,  00025.68, 422735880, -711562911, 57907, 12703, 33303652, 1.75, 11, -1.00, 72.00, 84.00, 77.00, 90.00, 0, 2
904,  00496.58,  00719.24,  01561.04,  00016.77, -00058.62,  00043.74,  00005.40, -00067.20,  00092.70,  00025.78, 422735880, -711562911, 57907, 12703, 33303652, 1.75, 11, -1.00, 72.00, 84.00, 74.00, 90.00, 0, 2
962,  00687.01, -01058.59,  01938.48, -00046.06, -00063.15,  00059.92,  00006.15, -00067.20,  00092.40,  00025.44, 422735976, -711562993, 58034, 12551, 32890904, 1.75, 11, 992.43, 72.00, 90.00, 74.00, 90.00, 0, 2
989, -00512.21,  01079.59,  00527.83, -00014.40, -00048.11,  00052.74,  00004.95, -00068.40,  00090.45,  00025.44, 422735976, -711562993, 58034, 12551, 32890904, 1.75, 11, -1.00, 72.00, 85.00, 75.00, 90.00, 0, 2
1044,  00263.67, -01650.39,  00706.54, -00027.73, -00036.83,  00052.14,  00006.60, -00067.65,  00091.65,  00025.73, 422736062, -711563069, 58282, 11890, 32592575, 1.75, 11, -1.00, 72.00, 90.00, 74.00, 90.00, 0, 2
1071,  00401.86,  00340.82,  02376.95, -00029.18, -00034.84,  00054.68,  00007.35, -00068.40,  00092.70,  00025.73, 422736062, -711563069, 58282, 11890, 32592575, 1.75, 11, -1.00, 72.00, 91.00, 74.00, 90.00, 0, 2
1125,  00089.84,  00101.56,  01871.58, -00020.65, -00044.31,  00045.56,  00008.40, -00067.80,  00091.50,  00025.73, 422736140, -711563152, 58541, 11326, 32135773, 1.75, 11, 992.49, 72.00, 90.00, 75.00, 90.00, 0, 2
