================================ Starting Log =================================
Current Time: 0-0-0 0:0:0.000
Time (ms), Scaled. Acc x (mg), Scaled. Acc y (mg), Scaled. Acc z (mg), Gyr (DPS) x, Gyr (DPS) y, Gyr (DPS) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, Throttle Val (0-180), Aileron Servo (deg), Elevator Servo (deg), Rudder Servo (deg), Auto Mode (deg), Aux Mode
5810, -00011.23,  00038.09,  01017.58, -00002.84,  00003.02,  00001.19, -00006.90, -00025.95,  00099.60,  00019.45, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
5861,  00002.93,  00023.93,  01033.69, -00000.27,  00000.11,  00000.19, -00005.70, -00028.95,  00100.35,  00019.45, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
5912, -00003.91,  00027.34,  01004.88,  00001.78,  00000.43,  00000.27, -00006.75, -00029.25,  00100.95,  00019.64, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
5963, -00001.46,  00021.48,  01017.58, -00000.60,  00000.56, -00000.27, -00005.55, -00028.50,  00099.75,  00019.74, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
6014, -00011.23,  00030.27,  01016.11, -00000.74,  00001.85, -00000.59, -00004.95, -00027.90,  00100.35,  00019.79, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
6066, -00008.30,  00022.46,  01007.32,  00002.63,  00000.05,  00001.38, -00006.00, -00026.25,  00099.45,  00019.88, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
6117,  00006.84,  00023.44,  01012.21,  00001.62,  00004.46,  00000.28, -00006.30, -00027.75,  00100.50,  00019.64, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 90.00, 0, 2
6168, -00008.79,  00024.41,  01020.51,  00000.58, -00001.54,  00000.68, -00006.00, -00027.00,  00099.45,  00019.88, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
6219, -00013.18,  00023.44,  01017.09,  00000.50,  00000.09,  00002.76, -00005.55, -00028.50,  00100.50,  00019.88, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
6270, -00013.18,  00022.95,  01024.41,  00000.92,  00000.10,  00000.50, -00006.90, -00025.95,  00099.90,  00019.64, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
6322, -00006.35,  00030.76,  01031.25, -00000.58,  00001.67, -00001.69, -00005.10, -00028.80,  00099.45,  00019.74, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
6373, -00003.91,  00026.37,  01015.62,  00000.73,  00002.66,  00000.61, -00007.35, -00026.70,  00100.35,  00019.64, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
6424, -00008.30,  00018.07,  01021.48,  00001.44, -00000.31, -00000.34, -00006.15, -00026.70,  00098.85,  00019.79, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
6475, -00001.46,  00015.14,  01018.55,  00001.79,  00001.69,  00003.37, -00005.10, -00028.05,  00099.75,  00019.64, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
6526,  00012.70,  00028.32,  01062.50,  00000.06,  00003.05,  00003.10, -00006.30, -00027.75,  00100.20,  00019.36, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
6578, -00000.98,  00004.39,  01023.93, -00001.14,  00001.12,  00001.38, -00006.15, -00026.70,  00100.35,  00019.64, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
6629, -00016.11,  00019.04,  01009.28, -00001.15,  00000.42,  00002.26, -00005.70, -00027.45,  00100.80,  00019.79, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
6680,  00006.35,  00026.37,  01025.88, -00000.47,  00001.79,  00002.50, -00006.60, -00027.15,  00099.60,  00019.64, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
6731, -00014.65,  00017.09,  01019.04,  00001.34,  00003.43,  00001.21, -00004.80, -00027.00,  00099.75,  00019.64, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
6782, -00009.77,  00029.79,  01021.48, -00000.47,  00003.15,  00001.11, -00006.90, -00025.95,  00099.90,  00019.55, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
6834, -00013.67,  00020.02,  01023.93, -00001.63,  00001.84,  00001.41, -00006.60, -00026.70,  00100.35,  00019.74, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
6885,  00000.98,  00031.25,  01039.55,  00001.51,  00000.73, -00002.27, -00005.55, -00027.00,  00100.20,  00019.64, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
6936, -00015.62,  00030.76,  01021.48, -00000.22,  00001.30,  00004.04, -00006.30, -00027.75,  00100.50,  00019.55, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
6987, -00011.23,  00022.46,  01024.90,  00002.20,  00001.69, -00001.81, -00006.90, -00027.45,  00101.10,  00019.64, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 90.00, 0, 2
7038, -00000.98,  00024.41,  01020.02, -00001.25,  00003.02,  00001.40, -00006.15, -00027.45,  00099.90,  00019.55, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
7090, -00006.35,  00027.34,  01023.44, -00000.09,  00001.30,  00000.12, -00007.50, -00027.30,  00100.20,  00019.79, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
7141, -00005.86,  00027.34,  01006.84,  00000.40,  00001.60,  00000.08, -00005.70, -00026.70,  00100.35,  00019.55, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 90.00, 0, 2
7192, -00014.65,  00022.95,  01022.46,  00000.68,  00003.48,  00000.83, -00006.75, -00027.30,  00102.45,  00019.88, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
7243, -00004.88,  00022.95,  01012.70, -00000.69,  00001.94,  00000.29, -00005.40, -00027.45,  00099.90,  00019.88, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
