================================ Starting Log =================================
Current Time: 2021-4-20 2:16:7.800
Time (ms), Scaled. Acc x (mg), Scaled. Acc y (mg), Scaled. Acc z (mg), Gyr (DPS) x, Gyr (DPS) y, Gyr (DPS) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, Throttle Val (0-180), Aileron Servo (deg), Elevator Servo (deg), Rudder Servo (deg), Auto Mode (deg), Aux Mode
1905,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00020.94, 434106696, -720618290, 346670, 273, 7040714, 3.05, 9, 0.00, 94.00, 90.00, 90.00, 0, 2
1952,  00079.59,  00034.18,  00983.40,  00011.11,  00008.79,  00002.30, -00004.35, -00032.55,  00102.75,  00021.75, 434106703, -720618278, 346410, 282, 7040714, 3.05, 9, 0.00, 94.00, 90.00, 90.00, 0, 2
2003, -00022.95,  00123.05,  01000.49, -00001.33,  00023.97,  00006.75, -00002.70, -00031.80,  00102.45,  00021.90, 434106703, -720618278, 346410, 282, 7040714, 3.05, 9, 0.00, 93.00, 90.00, 90.00, 0, 2
2054, -00029.30,  00039.06,  01009.77, -00018.41,  00015.23, -00007.35, -00002.40, -00031.80,  00102.00,  00022.04, 434106703, -720618278, 346410, 282, 7040714, 3.05, 9, 0.00, 94.00, 90.00, 90.00, 0, 2
2105, -00035.64,  00006.35,  01074.71, -00003.25,  00003.37, -00003.39, -00001.95, -00033.30,  00100.50,  00022.09, 434106703, -720618278, 346410, 282, 7040714, 3.05, 9, 0.00, 94.00, 90.00, 90.00, 0, 2
2156, -00003.91,  00013.18,  01024.90,  00004.39, -00001.77, -00006.34, -00002.40, -00033.30,  00101.70,  00022.18, 434106718, -720618255, 345770, 235, 7040714, 3.05, 9, 0.00, 93.00, 90.00, 90.00, 0, 2
2207, -00019.53,  00038.09,  00996.58,  00008.87,  00001.73, -00003.16, -00002.40, -00033.75,  00101.70,  00021.85, 434106718, -720618255, 345770, 235, 7040714, 3.05, 9, 0.00, 94.00, 90.00, 90.00, 0, 2
2258, -00021.97,  00069.34,  00997.07,  00011.62,  00002.27, -00002.85, -00001.95, -00033.00,  00102.00,  00021.99, 434106726, -720618243, 345538, 299, 7040714, 3.05, 9, 0.00, 94.00, 90.00, 90.00, 0, 2
2309, -00044.43,  00125.00,  01019.53, -00004.50,  00005.02,  00001.42, -00002.10, -00031.65,  00099.90,  00021.99, 434106726, -720618243, 345538, 299, 7040714, 3.05, 9, 0.00, 94.00, 90.00, 90.00, 0, 2
2360, -00037.60,  00111.33,  01035.16, -00008.79,  00000.98,  00005.02, -00001.20, -00033.00,  00102.75,  00021.90, 434106732, -720618231, 345269, 328, 7386466, 3.05, 9, 0.00, 94.00, 90.00, 90.00, 0, 2
