================================ Starting Log =================================
Current Time: 2015-10-18 0:0:1.400
Time (ms), Scaled. Acc x (mg), Scaled. Acc y (mg), Scaled. Acc z (mg), Gyr (DPS) x, Gyr (DPS) y, Gyr (DPS) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, Pressure (hPa), Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux ModeN, E, D, u, v, w, q1, q2, q3, q4, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg), 
6764, -00009.77,  00006.84,  01024.41,  00000.35,  00001.71,  00002.27,  00004.80, -00027.75,  00055.05,  00023.86, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
6792, -00023.93,  00008.79,  01015.14,  00001.06,  00001.53, -00001.33,  00003.75, -00027.15,  00055.20,  00023.62, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 85.50, 90.90, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
6838, -00021.00,  00007.32,  01017.58, -00001.15,  00000.73,  00002.86,  00003.30, -00025.95,  00054.00,  00023.81, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
6872, -00010.25,  00013.67,  01020.51,  00000.66,  00003.18,  00000.65,  00005.10, -00027.30,  00055.05,  00023.96, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
6913, -00007.81,  00015.14,  01013.18, -00001.91,  00003.76,  00001.73,  00004.20, -00027.15,  00055.20,  00023.86, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
6959,  00004.39,  00002.44,  01013.67, -00000.16,  00000.69,  00000.60,  00004.20, -00025.65,  00054.45,  00023.81, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
6992,  00011.72,  00004.88,  01020.51, -00001.05,  00002.31,  00001.11,  00004.35, -00027.30,  00054.60,  00023.86, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
7038, -00004.88,  00003.42,  01009.28, -00000.58, -00000.08, -00000.34,  00003.90, -00027.75,  00056.10,  00023.81, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
7072, -00000.98,  00008.30,  01009.77, -00000.11,  00001.15, -00001.27,  00004.20, -00025.95,  00054.45,  00023.67, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
7112, -00003.91,  00005.86,  01014.65, -00000.65,  00000.13, -00000.02,  00003.75, -00026.70,  00055.50,  00023.81, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 89.10, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 89.10, 94.50, 90.00
