================================ Starting Log =================================
Current Time: 2015-10-18 0:0:23.500
Time (ms), Scaled. Acc x (mg), Scaled. Acc y (mg), Scaled. Acc z (mg), Gyr (DPS) x, Gyr (DPS) y, Gyr (DPS) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, Pressure (hPa), Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux ModeN, E, D, u, v, w, q1, q2, q3, q4, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg), 
454,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00020.94, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.90, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.90, 90.00, 94.50, 90.00
482, -00011.23,  00012.70,  01016.11,  00003.50,  00002.69,  00000.56, -00001.80, -00010.95,  00066.60,  00024.29, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.90, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.90, 90.00, 94.50, 90.00
521, -00020.02,  00023.93,  01011.72, -00001.01,  00000.05, -00001.36, -00002.10, -00009.15,  00065.85,  00024.10, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
567, -00008.30,  00012.70,  01011.72, -00000.63,  00002.60,  00002.44, -00003.00, -00009.15,  00067.65,  00024.34, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
601, -00009.77,  00012.70,  01020.51, -00001.28,  00000.88, -00001.11, -00002.10, -00009.90,  00066.90,  00024.29, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 93.60, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 93.60, 90.00
648, -00012.70,  00023.44,  01002.93,  00001.18,  00000.77,  00000.98, -00002.10, -00007.65,  00066.60,  00024.39, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.90, 83.70, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.90, 83.70, 94.50, 90.00
683, -00019.53,  00019.53,  01022.46,  00000.56,  00002.61, -00001.25, -00003.00, -00007.95,  00066.15,  00024.20, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.90, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.90, 90.00, 94.50, 90.00
729, -00000.49,  00010.25,  01012.70, -00000.71, -00000.34,  00001.36, -00002.55, -00009.15,  00066.60,  00024.39, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
762, -00006.84,  00019.04,  01015.62, -00001.15, -00001.54,  00001.64, -00002.70, -00009.75,  00066.30,  00024.34, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.90, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.90, 90.00, 94.50, 90.00
802, -00008.79,  00021.48,  00995.12, -00000.24, -00001.10,  00000.03, -00001.35, -00009.90,  00066.15,  00024.39, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.90, 90.00, 93.60, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.90, 90.00, 93.60, 90.00
