================================ Starting Log =================================
Current Time: 2015-10-18 0:0:1.400
Time (ms), Scaled. Acc x (mg), Scaled. Acc y (mg), Scaled. Acc z (mg), Gyr (DPS) x, Gyr (DPS) y, Gyr (DPS) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, Pressure (hPa), Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux ModeN, E, D, u, v, w, q1, q2, q3, q4, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg), 
16751, -00008.79,  00018.07,  01011.72, -00002.14,  00003.25,  00001.63,  00003.15, -00014.25,  00056.85,  00024.39, 0, 0, 0, 0, 0, 99.99, 0, stuff, 7.20, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 7.20, 90.00, 94.50, 90.00
16777,  00004.39,  00023.93,  01013.67, -00000.73, -00000.73,  00001.95,  00003.60, -00013.80,  00056.55,  00024.29, 0, 0, 0, 0, 0, 99.99, 0, stuff, 7.20, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 7.20, 90.00, 94.50, 90.00
16817,  00000.00,  00009.77,  01008.79, -00001.32,  00001.27, -00000.34,  00000.90, -00013.65,  00058.95,  00024.48, 0, 0, 0, 0, 0, 99.99, 0, stuff, 6.30, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 6.30, 90.00, 94.50, 90.00
16863, -00003.42,  00014.65,  01012.70, -00001.56, -00000.48,  00002.40,  00002.55, -00014.40,  00058.20,  00024.34, 0, 0, 0, 0, 0, 99.99, 0, stuff, 6.30, 88.20, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 6.30, 88.20, 94.50, 90.00
16897,  00003.42,  00012.21,  01009.77,  00000.42,  00001.45, -00000.75,  00003.75, -00012.90,  00057.90,  00024.20, 0, 0, 0, 0, 0, 99.99, 0, stuff, 6.30, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 6.30, 90.00, 94.50, 90.00
16943, -00014.16,  00022.95,  01019.04,  00000.24,  00003.84, -00000.85,  00002.55, -00013.20,  00057.45,  00024.20, 0, 0, 0, 0, 0, 99.99, 0, stuff, 7.20, 90.00, 94.50, 90.90, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 7.20, 90.00, 94.50, 90.90
16976, -00011.23,  00021.48,  01018.55,  00000.06, -00001.41,  00001.95,  00001.80, -00012.15,  00057.45,  00024.29, 0, 0, 0, 0, 0, 99.99, 0, stuff, 7.20, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 7.20, 90.00, 94.50, 90.00
17016, -00007.32,  00026.37,  01020.02, -00001.31,  00001.92,  00000.39,  00003.00, -00012.15,  00058.20,  00024.29, 0, 0, 0, 0, 0, 99.99, 0, stuff, 6.30, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 6.30, 90.00, 94.50, 90.00
17063,  00003.42,  00027.83,  01008.30,  00001.94, -00000.01,  00000.03,  00002.70, -00012.30,  00057.30,  00024.34, 0, 0, 0, 0, 0, 99.99, 0, stuff, 6.30, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 6.30, 90.00, 94.50, 90.00
17096, -00012.70,  00028.81,  01017.09, -00002.12,  00000.21, -00000.20,  00002.55, -00013.95,  00058.20,  00024.10, 0, 0, 0, 0, 0, 99.99, 0, stuff, 6.30, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 6.30, 90.00, 94.50, 90.00
17142,  00001.95,  00022.46,  01005.86, -00001.24,  00000.01, -00000.10,  00002.40, -00012.75,  00057.60,  00024.39, 0, 0, 0, 0, 0, 99.99, 0, stuff, 6.30, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 6.30, 90.00, 94.50, 90.00
17176, -00006.84,  00011.23,  01010.25,  00000.15,  00000.59,  00001.97,  00003.60, -00012.30,  00057.30,  00024.63, 0, 0, 0, 0, 0, 99.99, 0, stuff, 6.30, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 6.30, 90.00, 94.50, 90.00
17216,  00001.95,  00024.41,  01007.32, -00001.79,  00001.69,  00000.77,  00002.55, -00012.45,  00056.25,  00024.53, 0, 0, 0, 0, 0, 99.99, 0, stuff, 7.20, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 7.20, 90.00, 94.50, 90.00
17262,  00003.42,  00016.60,  01011.72, -00000.08,  00000.92,  00001.04,  00002.70, -00013.50,  00058.05,  00024.39, 0, 0, 0, 0, 0, 99.99, 0, stuff, 6.30, 90.00, 94.50, 89.10, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 6.30, 90.00, 94.50, 89.10
17296, -00000.49,  00017.58,  01010.25, -00000.25,  00002.85, -00001.84,  00003.00, -00013.95,  00057.45,  00024.15, 0, 0, 0, 0, 0, 99.99, 0, stuff, 6.30, 90.00, 93.60, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 6.30, 90.00, 93.60, 90.00
17342,  00000.98,  00014.16,  01019.04,  00000.73,  00003.32,  00002.92,  00002.10, -00013.65,  00057.90,  00024.63, 0, 0, 0, 0, 0, 99.99, 0, stuff, 6.30, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 6.30, 90.00, 94.50, 90.00
17376, -00007.32,  00021.48,  01006.35, -00000.59,  00001.69,  00000.67,  00002.70, -00013.50,  00057.60,  00024.29, 0, 0, 0, 0, 0, 99.99, 0, stuff, 7.20, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 7.20, 90.00, 94.50, 90.00
17416,  00002.44,  00025.39,  01025.39, -00001.98,  00002.95, -00000.52,  00003.15, -00011.55,  00057.60,  00024.48, 0, 0, 0, 0, 0, 99.99, 0, stuff, 7.20, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 7.20, 90.00, 94.50, 90.00
17462, -00004.88,  00028.32,  01022.95, -00001.05,  00002.79,  00002.12,  00001.20, -00013.05,  00056.55,  00024.29, 0, 0, 0, 0, 0, 99.99, 0, stuff, 6.30, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 6.30, 90.00, 94.50, 90.00
