================================ Starting Log =================================
Current Time: 2021-5-19 0:9:11.100
Time (ms), Scaled. Acc x (mg), Scaled. Acc y (mg), Scaled. Acc z (mg), Gyr (DPS) x, Gyr (DPS) y, Gyr (DPS) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, Pressure (hPa), Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux ModeN, E, D, u, v, w, q1, q2, q3, q4, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg), 
1415,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00020.94, 423064345, -711631889, 32653, 325, 25802449, 1.94, 10, stuff, 180.00, 90.00, 84.60, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
1441, -00034.67, -00010.74,  01027.83, -00002.34, -00008.64, -00002.53,  00015.90, -00003.00,  00061.80,  00024.10, 423064345, -711631889, 32653, 325, 25802449, 1.94, 10, stuff, 179.10, 89.10, 89.10, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
1481, -00038.57, -00009.77,  00938.96, -00004.18, -00009.95, -00016.88,  00016.50, -00003.90,  00063.45,  00024.00, 423064345, -711631889, 32695, 366, 25802449, 1.94, 10, stuff, 179.10, 90.00, 90.00, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
1521, -00048.83,  00019.04,  00899.41,  00005.89, -00004.11, -00020.89,  00016.35, -00003.30,  00063.30,  00024.10, 423064339, -711631894, 32695, 366, 25802449, 1.94, 10, stuff, 179.10, 90.00, 90.00, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
1561, -00052.25, -00034.18,  00903.81,  00012.66, -00002.32, -00028.84,  00015.90, -00003.30,  00063.00,  00024.10, 423064339, -711631894, 32695, 366, 25802449, 1.94, 10, stuff, 180.00, 87.30, 91.80, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
1608, -00078.61,  00002.44,  01052.73,  00014.95, -00001.90, -00036.76,  00016.35, -00002.55,  00062.25,  00024.20, 423064342, -711631903, 32640, 585, 26665824, 1.94, 10, stuff, 179.10, 86.40, 90.90, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
1641, -00080.08,  00076.66,  01077.15,  00020.27, -00000.05, -00031.90,  00015.90, -00003.75,  00061.80,  00024.10, 423064342, -711631903, 32640, 585, 26665824, 1.94, 10, stuff, 180.00, 87.30, 90.90, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
1681, -00107.42,  00036.62,  01062.01,  00016.55,  00000.84, -00028.01,  00018.30, -00001.05,  00062.25,  00024.29, 423064336, -711631905, 32617, 439, 25985616, 1.94, 10, stuff, 179.10, 87.30, 90.90, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
1721, -00128.42,  00119.14,  01099.61,  00011.31,  00005.76, -00022.83,  00018.00, -00002.25,  00061.80,  00023.96, 423064336, -711631905, 32617, 439, 25985616, 1.94, 10, stuff, 180.00, 90.00, 90.00, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
1761, -00121.58,  00162.11,  01166.02,  00020.39, -00001.01, -00005.36,  00018.75, -00001.80,  00062.25,  00024.15, 423064336, -711631905, 32617, 439, 25985616, 1.94, 10, stuff, 180.00, 90.00, 90.00, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
1808, -00146.00,  00049.32,  01087.40,  00013.67, -00001.75, -00003.21,  00019.95, -00001.05,  00061.50,  00024.10, 423064344, -711631908, 32366, 411, 25985616, 1.94, 10, stuff, 179.10, 90.00, 90.00, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
1841, -00079.59,  00027.83,  01093.26,  00017.59, -00002.92,  00000.81,  00018.30,  00000.30,  00059.55,  00024.20, 423064344, -711631908, 32366, 411, 25985616, 1.94, 10, stuff, 180.00, 90.00, 90.00, 90.90, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
1887, -00134.28,  00103.52,  00988.77,  00018.68,  00002.03,  00007.51,  00018.00,  00000.30,  00059.55,  00024.00, 423064343, -711631912, 32451, 486, 26679697, 3.82, 9, stuff, 179.10, 89.10, 89.10, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
1922, -00125.49,  00162.60,  00986.33,  00016.92, -00000.79,  00009.73,  00019.20,  00000.75,  00059.85,  00024.15, 423064343, -711631912, 32451, 486, 26679697, 3.82, 9, stuff, 179.10, 90.00, 90.00, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
1963, -00169.92,  00110.35,  00979.00,  00013.63, -00002.78,  00012.44,  00019.20, -00000.30,  00059.85,  00024.29, 423064344, -711631913, 32412, 390, 26679697, 3.82, 9, stuff, 180.00, 89.10, 89.10, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
2002, -00059.57,  00080.57,  00957.03,  00007.11, -00002.42,  00021.31,  00017.10,  00001.50,  00058.05,  00023.86, 423064344, -711631913, 32412, 390, 26679697, 3.82, 9, stuff, 179.10, 90.00, 90.00, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
2042, -00130.37,  00160.16,  00967.77, -00000.01,  00009.66,  00024.89,  00015.90,  00000.30,  00059.10,  00024.10, 423064344, -711631913, 32412, 390, 26679697, 3.82, 9, stuff, 180.00, 90.00, 90.00, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
2088, -00144.53,  00262.70,  00960.94, -00002.18,  00015.80,  00024.91,  00016.20,  00000.15,  00059.70,  00024.00, 423064351, -711631914, 32365, 423, 28213091, 3.82, 9, stuff, 180.00, 90.00, 90.00, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
2122, -00030.76,  00248.54,  00888.67,  00002.58,  00010.87,  00025.44,  00014.55,  00000.90,  00060.45,  00024.15, 423064351, -711631914, 32365, 423, 28213091, 3.82, 9, stuff, 180.00, 90.00, 90.00, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
2162, -00130.86,  00226.56,  00867.19, -00008.08,  00011.87,  00019.30,  00016.20,  00001.20,  00060.15,  00024.10, 423064347, -711631916, 32411, 325, 28213091, 3.82, 9, stuff, 180.00, 89.10, 89.10, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
2202, -00146.48,  00293.95,  00941.41, -00016.76,  00008.78,  00012.28,  00016.35, -00000.75,  00060.75,  00024.10, 423064347, -711631916, 32411, 325, 28213091, 3.82, 9, stuff, 180.00, 90.00, 90.00, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
2242, -00055.18,  00283.69,  00897.46, -00016.30, -00006.77,  00002.29,  00016.50,  00000.15,  00060.15,  00024.20, 423064347, -711631916, 32411, 325, 28213091, 3.82, 9, stuff, 180.00, 90.00, 90.00, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
2289, -00021.48,  00322.27,  00968.26, -00011.27, -00000.92,  00001.99,  00014.40,  00000.30,  00060.30,  00024.10, 423064337, -711631920, 32560, 403, 28213091, 3.82, 9, stuff, 180.00, 89.10, 89.10, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
2322, -00016.60,  00225.59,  00984.86, -00010.66,  00006.56, -00000.66,  00016.35, -00000.30,  00062.25,  00024.10, 423064337, -711631920, 32560, 403, 28213091, 3.82, 9, stuff, 180.00, 90.00, 86.40, 90.90, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
2362,  00065.43,  00119.14,  00998.05, -00017.31,  00002.06, -00006.29,  00016.35,  00000.30,  00060.30,  00024.00, 423064337, -711631920, 32560, 403, 28213091, 3.82, 9, stuff, 180.00, 90.00, 86.40, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
