================================ Starting Log =================================
Current Time: 2015-10-18 0:0:1.400
Time (ms), Scaled. Acc x (mg), Scaled. Acc y (mg), Scaled. Acc z (mg), Gyr (DPS) x, Gyr (DPS) y, Gyr (DPS) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, Pressure (hPa), Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux ModeN, E, D, u, v, w, q1, q2, q3, q4, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg), 
20459, -00048.83,  00086.43,  01006.84,  00000.69,  00001.48,  00001.27,  00030.45, -00017.25,  00072.90,  00023.43, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
20486, -00040.04,  00080.08,  01018.55, -00000.20,  00000.72,  00000.15,  00031.05, -00018.45,  00072.60,  00023.67, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
20526, -00058.59,  00082.52,  01010.74, -00002.53,  00000.80, -00002.10,  00031.20, -00017.25,  00071.25,  00023.96, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
20567, -00052.25,  00076.17,  01011.72,  00000.79,  00002.62, -00001.37,  00031.05, -00018.45,  00071.10,  00023.67, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
20606, -00060.06,  00078.61,  01012.21, -00000.12,  00003.02,  00000.38,  00030.60, -00018.45,  00072.60,  00023.76, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.90, 90.00, 94.50, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
20653, -00056.64,  00076.66,  01010.25, -00000.41, -00001.56,  00001.47,  00031.20, -00018.00,  00070.95,  00023.67, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.90, 89.10, 93.60, 90.90, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
20686, -00061.04,  00082.03,  01022.46,  00000.78, -00000.36, -00002.60,  00030.60, -00018.90,  00070.80,  00023.33, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
20726, -00050.29,  00066.41,  01013.18, -00000.70,  00001.36,  00000.44,  00029.85, -00018.45,  00071.55,  00023.57, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 89.10, 94.50, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
20766, -00060.06,  00079.59,  01016.60,  00000.88,  00001.23,  00000.37,  00031.20, -00018.75,  00071.25,  00023.62, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 89.10, 93.60, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
20806, -00060.06,  00087.40,  01007.81,  00000.34,  00001.46,  00001.79,  00030.15, -00018.15,  00071.55,  00023.67, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
20852, -00058.59,  00076.66,  01003.91, -00000.19,  00001.73,  00003.93,  00030.45, -00018.30,  00072.00,  00023.57, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
20886, -00056.15,  00087.89,  01009.28,  00001.49,  00002.36, -00000.40,  00029.55, -00018.75,  00070.20,  00023.76, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 88.20, 93.60, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
20926, -00049.32,  00082.03,  01021.48, -00000.40,  00001.67,  00001.85,  00031.05, -00019.65,  00071.10,  00023.76, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
20966, -00057.13,  00071.78,  01006.35,  00000.05,  00000.43,  00001.36,  00032.25, -00018.45,  00071.10,  00023.67, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.90, 90.00, 94.50, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
