================================ Starting Log =================================
Current Time: 2021-10-20 18:24:21
Time (ms), Scaled. Acc x (mg), Scaled. Acc y (mg), Scaled. Acc z (mg), Gyr (DPS) x, Gyr (DPS) y, Gyr (DPS) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, Pressure (hPa), Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux Mode,N, E, D, u, v, w, q1, q2, q3, q4, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg)
5266,  00000.00,  00000.09, -00009.81, -00000.97,  00001.84,  00001.94,  00015.00,  00002.40,  00046.05,  00027.45, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.77, 0, 0, 0, 0, 0, 0,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00, -00000.00, -00000.00, -00000.00, -00000.00,  00001.00, 0, 0, 0, 0
5304,  00000.02, -00000.04, -00009.85,  00001.28,  00001.94,  00001.40,  00015.60,  00001.50,  00046.95,  00027.45, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.77, 0, 0, 0, 0, 0, 0,  00000.00,  00000.00, -00000.00,  00000.00,  00000.00, -00000.00,  00000.00, -00000.00, -00000.00,  00001.00, 0, 0, 0, 0
5343, -00000.05,  00000.03, -00009.83,  00000.04,  00000.55,  00001.55,  00014.70,  00002.55,  00046.20,  00027.45, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.77, 0, 0, 0, 0, 0, 0,  00000.00,  00000.00, -00000.00,  00000.01,  00000.00, -00000.00, -00000.00, -00000.01, -00000.01,  00001.00, 0, 0, 0, 0
5407, -00000.03, -00000.04, -00009.80, -00000.13,  00000.49,  00000.66,  00014.55,  00002.70,  00044.55,  00027.45, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.76, 0, 0, 0, 0, 0, 0,  00000.00,  00000.00, -00000.00,  00000.01,  00000.00, -00000.01, -00000.00, -00000.01, -00000.01,  00001.00, 0, 0, 0, 0
5446,  00000.09,  00000.18, -00009.72, -00001.30,  00001.76, -00001.95,  00014.10,  00001.20,  00046.05,  00027.45, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.76, 0, 0, 0, 0, 0, 0,  00000.00,  00000.00, -00000.00,  00000.02,  00000.01, -00000.00, -00000.00, -00000.01, -00000.01,  00001.00, 0, 0, 0, 0
5509, -00000.03, -00000.10, -00009.83, -00002.60,  00001.15,  00001.78,  00015.60,  00001.80,  00046.65,  00027.45, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.77, 0, 0, 0, 0, 0, 0,  00000.00,  00000.00, -00000.00,  00000.03,  00000.00, -00000.00, -00000.00, -00000.01, -00000.01,  00001.00, 0, 0, 0, 0
5547,  00000.04,  00000.09, -00009.81,  00000.35, -00000.23, -00000.82,  00014.55,  00001.65,  00048.00,  00027.45, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.77, 0, 0, 0, 0, 0, 0,  00000.00,  00000.00, -00000.00,  00000.04,  00000.01, -00000.00, -00000.00, -00000.01, -00000.01,  00001.00, 0, 0, 0, 0
5612,  00000.02,  00000.01, -00009.82,  00000.93,  00000.56, -00001.03,  00013.80,  00003.15,  00046.50,  00027.45, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.76, 0, 0, 0, 0, 0, 0,  00000.01,  00000.00, -00000.00,  00000.06,  00000.01, -00000.00, -00000.00, -00000.01, -00000.01,  00001.00, 0, 0, 0, 0
5649,  00000.04,  00000.08, -00009.87,  00001.40, -00000.53, -00000.67,  00013.95,  00002.55,  00046.65,  00027.45, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.76, 0, 0, 0, 0, 0, 0,  00000.01,  00000.00, -00000.00,  00000.07,  00000.01, -00000.01, -00000.00, -00000.01, -00000.01,  00001.00, 0, 0, 0, 0
5712,  00000.01,  00000.08, -00009.79,  00000.62,  00002.66,  00000.30,  00015.00,  00001.20,  00045.30,  00027.45, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.76, 0, 0, 0, 0, 0, 0,  00000.01,  00000.00, -00000.00,  00000.09,  00000.01, -00000.01, -00000.00, -00000.02, -00000.01,  00001.00, 0, 0, 0, 0
