================================ Starting Log =================================
Current Time: 0-0-0 0:0:0.000
Time (ms), Scaled. Acc x (mg), Scaled. Acc y (mg), Scaled. Acc z (mg), Gyr (DPS) x, Gyr (DPS) y, Gyr (DPS) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, Pressure (hPa), Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux Mode,N, E, D, u, v, w, q1, q2, q3, q4, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg)
3014, -00072.27,  00042.48,  00999.02,  00000.88,  00001.53,  00002.76, -00015.06, -00004.98,  00030.28,  00022.76, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 43.49, -112.39, -8341.46, 80.23, -136.35, 44.21, -8.39, 0.78, -31.39, -1.45, 0.00, 0.00, 0.00, 0.00
3035, -00053.22,  00033.69,  00983.40,  00001.20,  00003.79,  00001.79, -00015.66, -00004.83,  00030.43,  00022.52, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, -0.03, 0.05, -8341.39, -1.03, -0.73, -5.29, -0.07, 0.12, -0.00, 0.87, 0.00, 0.00, 0.00, 0.00
3087, -00059.08,  00102.05,  00967.29,  00001.91,  00000.47,  00001.93, -00014.31, -00004.98,  00031.03,  00022.61, 0, 0, 0, 0, 0, 99.99, 0, 1026.24, 0.00, 0.00, 0.00, 0.00, 0, 0, -0.12, 0.02, -0.08, 7.85, 13.35, 57.59, -0.03, 0.08, -0.04, 0.83, 0.00, 0.00, 0.00, 0.00
3148, -00050.78,  00109.37,  00967.29,  00038.71, -00003.08, -00000.67, -00014.61, -00005.43,  00030.58,  00022.61, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.01, -0.01, -8341.39, 1.85, 4.17, 17.29, -0.00, 0.19, 0.04, 0.85, 0.00, 0.00, 0.00, 0.00
3186, -00057.62,  00092.29,  00857.91, -00005.78,  00002.79, -00001.20, -00014.61, -00005.43,  00030.58,  00022.90, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.08, 0.14, -8341.39, -68.85, -108.00, -98.77, 0.07, 0.18, 0.27, 0.81, 0.00, 0.00, 0.00, 0.00
3248, -00060.55,  00039.55,  00930.66, -00010.46,  00002.01,  00000.55, -00015.81, -00002.73,  00031.78,  00022.76, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.04, 0.04, -8341.39, -63.76, -40.15, -79.76, 0.11, 0.19, 0.36, 0.85, 0.00, 0.00, 0.00, 0.00
3287, -00078.13,  00002.44,  00998.54, -00004.03,  00004.72, -00000.99, -00015.96, -00004.83,  00030.43,  00022.81, 0, 0, 0, 0, 0, 99.99, 0, 1026.24, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.02, -0.01, -0.06, -0.27, 0.05, -46.49, -0.01, 0.15, -0.01, 0.99, 0.00, 0.00, 0.00, 0.00
3348, -00050.78,  00061.52,  00933.59, -00002.46, -00000.94, -00000.21, -00015.81, -00005.73,  00030.58,  00022.71, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.05, 0.15, -8341.39, -104.23, -126.02, -199.51, 0.03, 0.15, 0.06, 0.83, 0.00, 0.00, 0.00, 0.00
3386, -00055.18,  00003.91,  00963.87, -00000.81,  00003.11,  00001.92, -00014.61, -00004.23,  00031.03,  00022.76, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, -0.02, 0.06, -8341.39, 27.86, 1.83, 43.95, -0.08, 0.14, -0.05, 0.80, 0.00, 0.00, 0.00, 0.00
3448, -00053.71,  00059.08,  01001.46,  00000.99,  00003.35,  00001.64, -00016.71, -00005.13,  00031.18,  00022.90, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, -0.01, 0.09, -8341.39, 2.66, 3.12, -131.07, -0.07, 0.18, 0.08, 0.87, 0.00, 0.00, 0.00, 0.00
3487, -00037.11,  00053.71,  001000.00, -00000.98,  00000.47,  00002.46, -00014.61, -00003.93,  00031.03,  00022.61, 0, 0, 0, 0, 0, 99.99, 0, 1026.24, 0.00, 0.00, 0.00, 0.00, 0, 0, -0.02, 0.12, -0.04, 2.05, 3.23, -244.57, 0.04, 0.17, 0.27, 0.75, 0.00, 0.00, 0.00, 0.00
3548, -00064.45,  00009.77,  00982.42,  00000.84,  00004.56,  00002.85, -00015.06, -00004.23,  00031.03,  00022.57, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.00, 0.05, -8341.39, -4.52, -0.78, -18.03, -0.07, 0.13, 0.02, 0.84, 0.00, 0.00, 0.00, 0.00
3586, -00076.17,  00033.69,  00991.21,  00000.84,  00004.96, -00000.46, -00015.81, -00005.43,  00029.83,  00022.81, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.03, -0.01, -8341.39, -3.11, -1.45, -36.28, -0.01, 0.16, 0.00, 0.99, 0.00, 0.00, 0.00, 0.00
3648, -00065.43,  00035.64,  00998.54, -00001.11, -00000.63,  00003.53, -00015.66, -00004.08,  00030.13,  00022.71, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, -0.22, -0.04, -8341.39, 2.84, 1.04, 500.69, -0.20, 0.24, -0.79, 0.74, 0.00, 0.00, 0.00, 0.00
3686, -00054.20,  00041.02,  00981.93, -00000.94,  00002.76,  00001.42, -00014.46, -00004.83,  00030.43,  00022.76, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, -0.05, 0.08, -8341.39, -5.18, -3.94, -25.98, -0.08, 0.17, 0.01, 0.84, 0.00, 0.00, 0.00, 0.00
3749, -00060.55,  00033.20,  00995.12, -00000.26,  00003.25,  00000.97, -00015.81, -00006.18,  00030.58,  00022.90, 0, 0, 0, 0, 0, 99.99, 0, 1026.24, 0.00, 0.00, 0.00, 0.00, 0, 0, -0.01, 0.09, -0.05, -4.46, -2.40, -90.74, -0.09, 0.18, 0.03, 0.91, 0.00, 0.00, 0.00, 0.00
3786, -00066.89,  00021.00,  00986.82, -00001.94,  00002.18,  00001.68, -00014.61, -00004.98,  00030.28,  00022.90, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, -0.02, 0.10, -8341.39, -3.60, -1.18, -21.88, -0.07, 0.20, 0.01, 0.81, 0.00, 0.00, 0.00, 0.00
3848, -00056.64,  00060.55,  001000.00,  00001.02,  00002.40, -00000.15, -00015.21, -00004.08,  00030.43,  00022.95, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.08, 0.02, -8341.39, 1.31, 1.48, -157.96, -0.01, 0.19, -0.01, 0.99, 0.00, 0.00, 0.00, 0.00
3886, -00064.45,  00026.86,  01003.42, -00000.62,  00001.06,  00000.60, -00015.06, -00005.43,  00031.03,  00022.90, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, -0.00, 0.25, -8341.39, 13.68, 5.82, -233.88, -0.06, 0.21, 0.05, 0.84, 0.00, 0.00, 0.00, 0.00
3948, -00060.06,  00043.46,  00987.79, -00001.68,  00002.43,  00001.66, -00014.61, -00005.73,  00030.58,  00022.95, 0, 0, 0, 0, 0, 99.99, 0, 1026.24, 0.00, 0.00, 0.00, 0.00, 0, 0, -0.04, 0.10, -0.04, -6.10, -4.37, -49.78, -0.07, 0.20, 0.04, 0.82, 0.00, 0.00, 0.00, 0.00
3986, -00050.29,  00043.95,  00990.23, -00001.25,  00002.73,  00002.76, -00015.06, -00004.68,  00030.58,  00022.95, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, -0.02, 0.07, -8341.39, -8.19, -7.00, -82.36, -0.04, 0.19, 0.11, 0.78, 0.00, 0.00, 0.00, 0.00
4048, -00064.45,  00035.16,  00996.58,  00002.64,  00001.30,  00000.82, -00015.51, -00003.93,  00031.33,  00022.71, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.01, 0.04, -8341.39, -1.76, -1.18, -64.63, -0.04, 0.11, 0.02, 0.97, 0.00, 0.00, 0.00, 0.00
4086, -00062.01,  00052.25,  00993.16,  00006.39,  00000.94,  00001.68, -00015.21, -00004.38,  00031.18,  00023.09, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, -0.01, 0.01, -8341.39, 0.11, 0.01, 1.13, -0.02, 0.11, 0.00, 0.98, 0.00, 0.00, 0.00, 0.00
4149, -00058.11,  00044.92,  01016.60,  00005.64,  00003.43,  00001.50, -00015.66, -00002.88,  00031.63,  00022.95, 0, 0, 0, 0, 0, 99.99, 0, 1026.24, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.03, 0.03, -0.06, 19.90, 15.01, -103.76, -0.04, 0.17, 0.08, 0.92, 0.00, 0.00, 0.00, 0.00
4186, -00061.04,  00006.35,  00955.08,  00003.45,  00002.31, -00000.63, -00015.51, -00004.23,  00030.28,  00022.76, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, -0.06, -0.06, -8341.39, 95.95, 10.48, 134.89, 0.08, 0.15, 0.19, 0.84, 0.00, 0.00, 0.00, 0.00
