================================ Starting Log =================================
Current Time: 0-0-0 0:0:0
Time (ms), Scaled. Acc x (mg), Scaled. Acc y (mg), Scaled. Acc z (mg), Gyr (DPS) x, Gyr (DPS) y, Gyr (DPS) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, Pressure (hPa), Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux Mode,N, E, D, u, v, w, q1, q2, q3, q4, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg)
2973, -00000.60,  00000.47, -00011.86,  00100.94, -00000.94,  00014.39, -00026.85, -00024.30,  00058.05,  00026.50, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0,  00000.00,  00000.00,  00000.00, -00000.03,  00000.02, -00000.11,  00000.04, -00000.00, -00000.01,  00001.00, 0, 0, 0, 0
2989, -00001.41, -00000.39, -00007.17,  00103.23, -00006.53,  00019.63, -00028.20, -00018.90,  00058.20,  00026.53, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0, -00000.00,  00000.00, -00000.01, -00000.10,  00000.05,  00000.03,  00000.09,  00000.00, -00000.02,  00001.00, 0, 0, 0, 0
3051, -00001.52,  00000.10, -00010.68,  00033.33,  00012.69,  00018.37, -00027.45, -00017.70,  00058.65,  00026.53, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0, -00000.01,  00000.00, -00000.00, -00000.18,  00000.14, -00000.03,  00000.11, -00000.00, -00000.03,  00000.99, 0, 0, 0, 0
3212, -00001.10, -00000.94, -00009.26,  00054.98,  00004.90,  00006.83, -00028.05, -00016.80,  00058.05,  00026.53, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0, -00000.02,  00000.01, -00000.00, -00000.24,  00000.20, -00000.01,  00000.13, -00000.01, -00000.03,  00000.99, 0, 0, 0, 0
3249, -00000.92, -00001.48, -00008.43, -00196.18, -00036.58,  00004.27, -00027.15, -00013.80,  00058.80,  00026.55, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0, -00000.05,  00000.04,  00000.00, -00000.35,  00000.34,  00000.13, -00000.09,  00000.04, -00000.03,  00000.99, 0, 0, 0, 0
3274,  00000.05,  00002.43, -00011.06, -00001.05, -00008.36, -00001.23, -00026.85, -00021.30,  00058.05,  00026.55, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0, -00000.06,  00000.06,  00000.01, -00000.39,  00000.37,  00000.05, -00000.09,  00000.04, -00000.03,  00000.99, 0, 0, 0, 0
3339,  00000.92, -00001.58, -00008.63,  00114.22,  00029.85,  00056.26, -00030.60, -00021.90,  00057.90,  00026.55, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0, -00000.08,  00000.08,  00000.01, -00000.38,  00000.20,  00000.10, -00000.04,  00000.03, -00000.06,  00001.00, 0, 0, 0, 0
3376, -00001.22, -00001.11, -00008.86, -00055.09, -00016.96,  00046.33, -00028.35, -00018.30,  00058.35,  00026.55, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0, -00000.10,  00000.09,  00000.01, -00000.47,  00000.10,  00000.15, -00000.07,  00000.03, -00000.08,  00000.99, 0, 0, 0, 0
3440, -00001.33, -00001.07, -00010.44, -00012.16,  00014.64,  00087.90, -00028.35, -00021.00,  00058.05,  00026.56, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0, -00000.12,  00000.10,  00000.02, -00000.56, -00000.03,  00000.11, -00000.08,  00000.02, -00000.12,  00000.99, 0, 0, 0, 0
3478, -00000.88, -00000.77, -00008.49, -00025.48, -00022.09,  00065.82, -00028.35, -00023.55,  00057.30,  00026.56, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0, -00000.15,  00000.11,  00000.03, -00000.62, -00000.15,  00000.17, -00000.09,  00000.03, -00000.15,  00000.98, 0, 0, 0, 0
3542, -00000.81, -00000.34, -00010.27, -00006.46, -00010.18,  00025.64, -00029.40, -00024.45,  00056.70,  00026.56, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0, -00000.18,  00000.11,  00000.04, -00000.68, -00000.25,  00000.14, -00000.09,  00000.03, -00000.16,  00000.98, 0, 0, 0, 0
3580, -00000.94, -00000.68, -00009.47,  00025.87, -00005.99,  00019.49, -00030.15, -00024.90,  00057.00,  00026.56, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0, -00000.22,  00000.11,  00000.05, -00000.74, -00000.38,  00000.15, -00000.08,  00000.03, -00000.17,  00000.98, 0, 0, 0, 0
3645,  00000.05, -00000.17, -00009.87,  00002.05, -00033.73,  00024.01, -00029.40, -00024.90,  00057.00,  00026.56, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0, -00000.26,  00000.11,  00000.06, -00000.76, -00000.47,  00000.14, -00000.07,  00000.05, -00000.18,  00000.98, 0, 0, 0, 0
3682, -00000.42, -00000.03, -00010.45,  00100.47, -00040.80,  00052.27, -00031.05, -00024.45,  00057.00,  00026.56, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0, -00000.30,  00000.10,  00000.07, -00000.81, -00000.55,  00000.10, -00000.03,  00000.05, -00000.21,  00000.98, 0, 0, 0, 0
3746,  00000.58, -00001.36, -00010.04,  00011.37, -00013.95,  00021.77, -00031.95, -00023.25,  00059.10,  00026.58, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0, -00000.35,  00000.09,  00000.09, -00000.83, -00000.66,  00000.08, -00000.02,  00000.06, -00000.22,  00000.97, 0, 0, 0, 0
