================================ Starting Log =================================
Current Time: 0-0-0 0:0:0
Time (ms), Scaled. Acc x (mg), Scaled. Acc y (mg), Scaled. Acc z (mg), Gyr (DPS) x, Gyr (DPS) y, Gyr (DPS) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, Pressure (hPa), Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux Mode,N, E, D, u, v, w, q1, q2, q3, q4, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg)
2961,  00000.45,  00000.72,  00010.48,  00002.50,  00066.39,  00001.98, -00000.30, -00032.55, -00038.25,  00026.78, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0,  00000.00,  00000.00,  00000.00,  00000.02,  00000.04,  00001.03,  00000.00, -00000.03, -00000.00,  00001.00, 0, 0, 0, 0
2976,  00000.88,  00000.68,  00009.65, -00015.51,  00040.99,  00003.07, -00001.95, -00031.50, -00038.70,  00026.78, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0, -00000.00,  00000.00,  00000.05,  00000.10,  00000.07,  00002.03, -00000.01, -00000.05, -00000.00,  00001.00, 0, 0, 0, 0
3040,  00001.21,  00000.30,  00010.23, -00034.95,  00055.96,  00005.60, -00006.30, -00030.30, -00038.70,  00026.79, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0, -00000.01,  00000.01,  00000.16,  00000.21,  00000.08,  00003.04, -00000.02, -00000.07, -00000.01,  00001.00, 0, 0, 0, 0
3199,  00001.54,  00000.25,  00010.22,  00012.85,  00027.21, -00003.31, -00006.60, -00030.15, -00039.60,  00026.79, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0, -00000.02,  00000.02,  00000.31,  00000.36,  00000.07,  00004.06, -00000.02, -00000.09, -00000.01,  00001.00, 0, 0, 0, 0
3224,  00001.98,  00000.60,  00010.59,  00005.98, -00002.70, -00005.92, -00008.70, -00029.55, -00037.95,  00026.80, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0, -00000.07,  00000.04,  00000.85,  00000.85,  00000.12,  00006.73, -00000.01, -00000.09, -00000.00,  00001.00, 0, 0, 0, 0
3274,  00001.88,  00000.56,  00009.96, -00019.28, -00012.37,  00000.02, -00007.95, -00031.50, -00039.75,  00026.80, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0, -00000.08,  00000.06,  00001.19,  00001.03,  00000.13,  00007.73, -00000.02, -00000.08, -00000.00,  00001.00, 0, 0, 0, 0
3325,  00001.64,  00000.34,  00010.20, -00013.50, -00019.66,  00001.69, -00007.95, -00028.80, -00039.45,  00026.80, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0, -00000.09,  00000.08,  00001.59,  00001.20,  00000.13,  00008.74, -00000.02, -00000.07, -00000.00,  00001.00, 0, 0, 0, 0
3363,  00001.76,  00000.24,  00010.15, -00004.86, -00012.26,  00002.84, -00004.50, -00030.45, -00039.60,  00026.80, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0, -00000.10,  00000.10,  00002.04,  00001.36,  00000.12,  00009.76, -00000.03, -00000.07, -00000.01,  00001.00, 0, 0, 0, 0
3427,  00001.56,  00000.23,  00010.12,  00002.60, -00008.24,  00001.85, -00006.75, -00028.80, -00039.45,  00026.81, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0, -00000.10,  00000.14,  00002.54,  00001.51,  00000.11,  00010.77, -00000.02, -00000.07, -00000.01,  00001.00, 0, 0, 0, 0
3465,  00001.38,  00000.28,  00010.23,  00002.65, -00014.13,  00000.15, -00006.60, -00030.45, -00040.05,  00026.81, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0, -00000.09,  00000.17,  00003.09,  00001.64,  00000.10,  00011.78, -00000.02, -00000.06, -00000.01,  00001.00, 0, 0, 0, 0
3530,  00001.03,  00000.39,  00010.20, -00000.26, -00024.30,  00005.08, -00003.60, -00030.30, -00039.45,  00026.81, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0, -00000.08,  00000.20,  00003.70,  00001.76,  00000.10,  00012.80, -00000.02, -00000.05, -00000.01,  00001.00, 0, 0, 0, 0
3567,  00000.72,  00000.21,  00011.32,  00015.66, -00089.50,  00003.40, -00002.55, -00030.15, -00039.15,  00026.81, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0, -00000.06,  00000.23,  00004.36,  00001.84,  00000.09,  00013.87, -00000.02, -00000.01, -00000.01,  00001.00, 0, 0, 0, 0
3631,  00000.14,  00000.63,  00010.56,  00043.87, -00092.24, -00005.16, -00000.30, -00030.75, -00038.25,  00026.82, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0,  00000.02,  00000.26,  00005.07,  00001.86,  00000.11,  00014.91,  00000.01,  00000.03, -00000.01,  00001.00, 0, 0, 0, 0
3669, -00000.94,  00000.68,  00011.15,  00023.54, -00093.96,  00003.18,  00004.80, -00031.05, -00036.00,  00026.82, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0,  00000.16,  00000.25,  00005.82,  00001.78,  00000.14,  00015.98,  00000.02,  00000.07, -00000.02,  00001.00, 0, 0, 0, 0
3734, -00001.30,  00000.66,  000010.00,  00006.49, -00142.51,  00005.76,  00010.20, -00031.95, -00033.90,  00026.82, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0,  00000.36,  00000.23,  00006.61,  00001.65,  00000.19,  00016.98,  00000.02,  00000.13, -00000.02,  00000.99, 0, 0, 0, 0
3771, -00002.93,  00000.72,  00011.42, -00020.30, -00132.36,  00005.08,  00014.40, -00032.25, -00031.05,  00026.82, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0,  00000.67,  00000.20,  00007.43,  00001.37,  00000.25,  00018.05,  00000.01,  00000.19, -00000.02,  00000.98, 0, 0, 0, 0
3836, -00004.18,  00001.47,  00008.74,  00052.30, -00225.68,  00013.36,  00022.35, -00032.25, -00026.55,  00026.83, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0,  00001.08,  00000.18,  00008.25,  00000.97,  00000.33,  00018.96,  00000.03,  00000.29, -00000.03,  00000.96, 0, 0, 0, 0
3873, -00009.13,  00000.25,  00007.58,  00011.60, -00183.16,  00006.03,  00027.75, -00032.70, -00018.75,  00026.83, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0,  00001.65,  00000.11,  00009.04,  00000.23,  00000.37,  00019.76,  00000.04,  00000.36, -00000.03,  00000.93, 0, 0, 0, 0
3937, -00005.71,  00002.49,  00005.63, -00012.31, -00250.14, -00025.10,  00031.05, -00033.45, -00011.55,  00026.83, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0,  00002.33,  00000.03,  00009.77, -00000.40,  00000.52,  00020.41,  00000.04,  00000.46, -00000.01,  00000.89, 0, 0, 0, 0
3975, -00008.72,  00000.55,  00006.41, -00008.44, -00122.64, -00007.70,  00035.25, -00033.00, -00003.30,  00026.83, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0,  00003.17, -00000.03,  00010.38, -00001.26,  00000.58,  00021.03,  00000.04,  00000.51, -00000.01,  00000.86, 0, 0, 0, 0
4040, -00007.16,  00001.36,  00003.69,  00021.79, -00216.24,  00025.89,  00037.05, -00031.95,  00003.90,  00026.83, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0,  00004.08, -00000.09,  00010.95, -00002.06,  00000.68,  00021.45,  00000.04,  00000.59, -00000.02,  00000.81, 0, 0, 0, 0
4077, -00010.65,  00000.57,  00001.64,  00017.04, -00195.04,  00000.89,  00037.20, -00031.05,  00012.90,  00026.83, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0,  00005.09, -00000.16,  00011.39, -00003.08,  00000.74,  00021.69,  00000.05,  00000.66, -00000.02,  00000.75, 0, 0, 0, 0
4141, -00007.78,  00002.05,  00000.89,  00026.09, -00228.08,  00015.93,  00036.60, -00032.70,  00021.00,  00026.83, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.83, 0, 0, 0, 0, 0, 0,  00006.16, -00000.24,  00011.69, -00003.97,  00000.86,  00021.80,  00000.06,  00000.73, -00000.03,  00000.68, 0, 0, 0, 0
4179, -00009.63,  00000.37, -00003.19,  00097.98, -00143.61,  00006.53,  00031.05, -00029.40,  00031.65,  00026.83, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.83, 0, 0, 0, 0, 0, 0,  00007.28, -00000.34,  00011.82, -00004.96,  00000.90,  00021.61,  00000.08,  00000.77, -00000.06,  00000.63, 0, 0, 0, 0
4242, -00009.36,  00000.61, -00003.08, -00004.22, -00158.41,  00020.23,  00027.45, -00028.20,  00038.85,  00026.84, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.83, 0, 0, 0, 0, 0, 0,  00008.40, -00000.52,  00011.86, -00005.93,  00000.94,  00021.35,  00000.08,  00000.81, -00000.06,  00000.58, 0, 0, 0, 0
4281, -00008.12, -00000.35, -00004.75,  00051.29, -00134.21,  00005.82,  00024.00, -00025.80,  00043.95,  00026.84, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.83, 0, 0, 0, 0, 0, 0,  00009.51, -00000.70,  00011.79, -00006.81,  00000.92,  00020.95,  00000.09,  00000.84, -00000.07,  00000.53, 0, 0, 0, 0
4345, -00007.62,  00000.30, -00004.91, -00021.70, -00088.47,  00000.11,  00020.10, -00025.95,  00046.50,  00026.84, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.83, 0, 0, 0, 0, 0, 0,  00010.60, -00000.92,  00011.64, -00007.65,  00000.93,  00020.48,  00000.09,  00000.86, -00000.06,  00000.49, 0, 0, 0, 0
4384, -00007.21,  00000.15, -00005.71,  00002.26, -00095.73, -00013.02,  00016.50, -00026.40,  00050.25,  00026.84, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.83, 0, 0, 0, 0, 0, 0,  00011.69, -00001.12,  00011.45, -00008.45,  00000.92,  00019.94,  00000.10,  00000.88, -00000.06,  00000.46, 0, 0, 0, 0
4447, -00007.63, -00000.42, -00007.33, -00021.52, -00128.38,  00007.87,  00012.00, -00026.55,  00052.65,  00026.84, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0,  00012.75, -00001.32,  00011.21, -00009.25,  00000.90,  00019.28,  00000.09,  00000.91, -00000.04,  00000.41, 0, 0, 0, 0
4485, -00006.13, -00000.11, -00005.77,  00012.52, -00149.21, -00017.07,  00006.90, -00028.95,  00055.20,  00026.84, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.84, 0, 0, 0, 0, 0, 0,  00013.78, -00001.49,  00010.92, -00009.93,  00000.89,  00018.65,  00000.10,  00000.93, -00000.04,  00000.35, 0, 0, 0, 0
4550, -00005.38,  00000.35, -00009.62,  00007.39, -00124.79, -00003.05,  00002.10, -00028.65,  00056.70,  00026.84, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.85, 0, 0, 0, 0, 0, 0,  00014.77, -00001.67,  00010.53, -00010.54,  00000.91,  00017.78,  00000.11,  00000.95, -00000.04,  00000.30, 0, 0, 0, 0
4587, -00003.86, -00000.25, -00008.45,  00047.53, -00093.73, -00002.21, -00004.35, -00026.55,  00059.55,  00026.84, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.85, 0, 0, 0, 0, 0, 0,  00015.72, -00001.84,  00010.09, -00011.02,  00000.89,  00016.94,  00000.12,  00000.96, -00000.05,  00000.25, 0, 0, 0, 0
4652, -00003.28, -00000.17, -00012.39,  00012.95, -00091.37,  00011.55, -00010.35, -00024.75,  00059.55,  00026.85, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.85, 0, 0, 0, 0, 0, 0,  00016.61, -00002.05,  00009.62, -00011.43,  00000.86,  00015.88,  00000.11,  00000.97, -00000.06,  00000.21, 0, 0, 0, 0
4689, -00003.07, -00000.54, -00010.11, -00007.62, -00033.31, -00006.52, -00012.60, -00025.65,  00059.40,  00026.85, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.85, 0, 0, 0, 0, 0, 0,  00017.46, -00002.25,  00009.14, -00011.80,  00000.81,  00014.91,  00000.12,  00000.97, -00000.05,  00000.20, 0, 0, 0, 0
4754, -00002.28, -00000.95, -00008.69,  00012.94, -00085.86,  00013.96, -00014.70, -00025.50,  00059.85,  00026.85, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.85, 0, 0, 0, 0, 0, 0,  00018.30, -00002.44,  00008.68, -00012.12,  00000.73,  00014.01,  00000.11,  00000.98, -00000.05,  00000.16, 0, 0, 0, 0
4791, -00004.33,  00002.17, -00009.95, -00030.73, -00018.53,  00011.00, -00018.00, -00026.25,  00059.85,  00026.85, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.85, 0, 0, 0, 0, 0, 0,  00019.10, -00002.63,  00008.21, -00012.51,  00000.81,  00013.03,  00000.11,  00000.98, -00000.04,  00000.16, 0, 0, 0, 0
4856, -00001.90,  00000.20, -00009.23,  00015.99, -00018.34,  00002.86, -00017.10, -00028.05,  00058.80,  00026.86, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.85, 0, 0, 0, 0, 0, 0,  00019.90, -00002.79,  00007.79, -00012.77,  00000.80,  00012.09,  00000.10,  00000.98, -00000.05,  00000.15, 0, 0, 0, 0
4893, -00002.32,  00000.63, -00010.62,  00015.71, -00040.62,  00009.80, -00019.80, -00028.20,  00059.40,  00026.86, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.85, 0, 0, 0, 0, 0, 0,  00020.69, -00002.95,  00007.39, -00013.04,  00000.80,  00011.07,  00000.10,  00000.98, -00000.05,  00000.13, 0, 0, 0, 0
4958, -00001.03, -00000.13, -00009.60,  00013.30, -00019.49,  00007.28, -00021.75, -00028.95,  00058.95,  00026.86, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.86, 0, 0, 0, 0, 0, 0,  00021.47, -00003.10,  00007.03, -00013.22,  00000.76,  00010.10,  00000.10,  00000.99, -00000.06,  00000.12, 0, 0, 0, 0
4995, -00001.28, -00000.02, -00010.39,  00009.10, -00016.74,  00006.97, -00022.80, -00027.00,  00061.05,  00026.86, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.86, 0, 0, 0, 0, 0, 0,  00022.24, -00003.26,  00006.70, -00013.41,  00000.71,  00009.09,  00000.10,  00000.99, -00000.06,  00000.12, 0, 0, 0, 0
5059, -00000.86, -00000.12, -00009.26,  00015.08, -00028.21,  00007.01, -00022.50, -00027.45,  00058.95,  00026.87, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.86, 0, 0, 0, 0, 0, 0,  00023.00, -00003.41,  00006.41, -00013.58,  00000.66,  00008.13,  00000.09,  00000.99, -00000.07,  00000.10, 0, 0, 0, 0
5097, -00000.89,  00000.57, -00010.25, -00009.96, -00034.45,  00004.08, -00025.35, -00026.70,  00061.20,  00026.87, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.86, 0, 0, 0, 0, 0, 0,  00023.75, -00003.56,  00006.16, -00013.73,  00000.63,  00007.13,  00000.09,  00000.99, -00000.06,  00000.09, 0, 0, 0, 0
5161, -00000.67,  00000.17, -00008.21,  00008.95, -00057.75,  00010.24, -00026.40, -00024.00,  00059.10,  00026.87, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.86, 0, 0, 0, 0, 0, 0,  00024.49, -00003.69,  00005.93, -00013.86,  00000.59,  00006.22,  00000.09,  00000.99, -00000.06,  00000.06, 0, 0, 0, 0
5199, -00000.10, -00000.12, -00008.98,  00044.46, -00166.76,  00053.47, -00031.95, -00025.05,  00058.05,  00026.87, 42.37, -71.07, 55.59, 0.00, 0.00, 0.00, 0.00, 1008.86, 0, 0, 0, 0, 0, 0,  00025.22, -00003.83,  00005.71, -00013.93,  00000.52,  00005.27,  00000.07,  00000.99, -00000.08, -00000.01, 0, 0, 0, 0
