================================ Starting Log =================================
Current Time: 0-0-0 0:0:0.000
Time (ms), Scaled. Acc x (mg), Scaled. Acc y (mg), Scaled. Acc z (mg), Gyr (DPS) x, Gyr (DPS) y, Gyr (DPS) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, Pressure (hPa), Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux Mode,N, E, D, u, v, w, q1, q2, q3, q4, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg)
3013, -00311.04, -00043.95,  00887.21,  00027.74, -00032.82, -00034.34, -00023.76, -00016.23,  00029.08,  00022.52, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, -26.59, 20.44, -8341.69, -273.33, -694.83, -486.53, -12.84, 17.08, 24.09, -20.32, 0.00, 0.00, 0.00, 0.00
3034, -00042.48,  00095.21,  01056.64,  00082.53, -00080.80, -00100.97, -00024.51, -00015.48,  00028.78,  00022.71, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.00, -0.00, -8341.39, 0.06, -0.14, 0.20, -0.12, 0.28, 0.06, 0.72, 0.00, 0.00, 0.00, 0.00
3087, -00003.42,  00158.69,  01038.09,  00127.02, -00017.07,  00032.81, -00026.16, -00013.98,  00030.58,  00022.90, 0, 0, 0, 0, 0, 99.99, 0, 1026.28, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.00, 0.00, -0.07, 0.39, 2.57, -10.20, -0.09, 0.29, 0.05, 0.74, 0.00, 0.00, 0.00, 0.00
3148,  00007.81,  00128.42,  00956.05, -00020.20,  00062.94,  00034.56, -00025.56, -00010.08,  00032.38,  00022.95, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, -0.01, 0.01, -8341.39, -0.41, -3.99, -11.81, -0.03, 0.27, 0.27, 0.76, 0.00, 0.00, 0.00, 0.00
3186,  00053.22,  00126.46,  00771.48,  00016.45,  00009.97,  00035.96, -00023.61, -00010.08,  00032.38,  00022.76, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.01, -0.04, -8341.39, -9.12, 23.76, 15.33, -0.14, 0.29, -0.34, 0.74, 0.00, 0.00, 0.00, 0.00
3247, -00089.84,  00155.27,  00789.55,  00014.38, -00010.01, -00023.89, -00021.96, -00009.33,  00033.13,  00022.81, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.04, 0.02, -8341.39, -8.72, -16.50, -15.99, -0.14, 0.28, -0.31, 0.76, 0.00, 0.00, 0.00, 0.00
3287, -00106.93,  00075.20,  00970.70,  00037.97, -00035.85, -00013.57, -00021.81, -00008.73,  00032.53,  00022.81, 0, 0, 0, 0, 0, 99.99, 0, 1026.28, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.00, -0.01, -0.08, 0.67, 0.60, 4.27, -0.07, 0.27, 0.03, 0.81, 0.00, 0.00, 0.00, 0.00
3348,  00015.14,  00213.38,  01104.98,  00250.26,  00234.97, -00037.83, -00020.61, -00007.23,  00034.78,  00022.76, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, -0.00, 0.01, -8341.39, -1.39, 2.26, -4.74, -0.20, 0.20, -0.47, 0.76, 0.00, 0.00, 0.00, 0.00
3386, -00348.14,  00232.91,  00945.31, -00083.24, -00093.71, -00017.16, -00017.01, -00004.23,  00033.28,  00022.95, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, -0.00, 0.00, -8341.39, -0.11, -0.64, -2.92, -0.03, 0.22, 0.01, 0.80, 0.00, 0.00, 0.00, 0.00
3448, -00051.27,  00119.63,  01093.26, -00098.49, -00053.02,  00012.19, -00022.41, -00007.83,  00033.88,  00022.95, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, -0.00, -0.00, -8341.39, -1.49, -3.73, 5.51, -0.07, 0.28, -0.04, 0.77, 0.00, 0.00, 0.00, 0.00
