================================ Starting Log =================================
Current Time: 2021-9-24 1:55:44.000
Time (ms), Scaled. Acc x (mg), Scaled. Acc y (mg), Scaled. Acc z (mg), Gyr (DPS) x, Gyr (DPS) y, Gyr (DPS) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, Pressure (hPa), Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux Mode,N, E, D, u, v, w, q1, q2, q3, q4, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg)
3081, -00004.88,  00085.94,  00987.79, -00002.07,  00003.97, -00000.06, -00016.86, -00006.56,  00040.26,  00022.90, 434106120, -720617591, 298204, 634, 968342, 5.02, 3, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, -2.61, 3.10, -8341.76, 3287.60, 948.61, 13866.76, -8.29, 2.91, -23.83, 1.26, 0.00, 0.00, 0.00, 0.00
3103, -00005.86,  00100.59,  00987.30,  00000.69,  00004.15,  00000.27, -00017.01, -00007.46,  00039.65,  00022.95, 434106120, -720617591, 298204, 634, 968342, 5.02, 3, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.05, 0.15, -8341.78, -39.09, -650.89, -118.72, 0.06, 0.16, 1.20, 1.28, 0.00, 0.00, 0.00, 0.00
3169, -00004.39,  00089.36,  00978.52, -00001.04,  00003.37,  00001.45, -00016.86, -00007.31,  00038.31,  00022.90, 434106151, -720617518, 298184, 460, 968342, 5.02, 3, 978.73, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.08, 0.23, -0.10, -28.32, -547.15, -332.02, 0.18, 0.12, 1.06, 0.89, 0.00, 0.00, 0.00, 0.00
3207, -00005.37,  00084.47,  00981.45,  00001.23,  00003.91, -00000.92, -00016.71, -00008.21,  00040.40,  00022.81, 434106151, -720617518, 298184, 460, 968342, 5.02, 3, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, -0.01, 0.05, -8341.78, -30.22, -468.81, 0.06, -0.04, 0.18, 0.80, 1.32, 0.00, 0.00, 0.00, 0.00
3258, -00015.14,  00081.05,  01000.98,  00000.01,  00001.48,  00002.40, -00017.01, -00006.71,  00039.96,  00022.90, 434106151, -720617518, 298184, 460, 968342, 5.02, 3, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.18, 0.40, -8341.78, -81.52, -430.36, -915.75, 0.07, 0.15, 1.26, 1.30, 0.00, 0.00, 0.00, 0.00
3321, -00000.49,  00083.50,  00985.84, -00000.48,  00002.62,  00002.08, -00017.76, -00007.01,  00039.96,  00022.71, 434106677, -720618805, 295633, 491, 18985218, 4.75, 4, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.11, 0.36, -8341.78, -5.50, -601.05, -660.77, 0.24, 0.16, 1.32, 1.10, 0.00, 0.00, 0.00, 0.00
3361, -00007.32,  00089.36,  00994.63, -00002.10,  00004.37,  00000.07, -00017.46, -00006.26,  00039.65,  00022.95, 434106677, -720618805, 295633, 491, 18985218, 4.75, 4, 978.73, 0.00, 0.00, 0.00, 0.00, 0, 0, -0.01, 0.06, -0.10, -41.18, -494.24, -90.21, 0.02, 0.20, 1.00, 0.63, 0.00, 0.00, 0.00, 0.00
3423, -00016.60,  00086.43,  00981.45,  00000.01,  00002.83,  00001.08, -00016.26, -00007.46,  00039.96,  00023.09, 434106552, -720618362, 293432, 409, 18985218, 4.75, 4, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.09, 0.21, -8341.78, -93.06, -477.48, -348.22, 0.01, 0.20, 0.77, 1.16, 0.00, 0.00, 0.00, 0.00
3462, -00011.23,  00101.07,  00993.65,  00000.07,  00003.88, -00000.69, -00017.31, -00006.86,  00040.26,  00023.09, 434106552, -720618362, 293432, 409, 18985218, 4.75, 4, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, -0.04, 0.05, -8341.78, -45.99, -409.56, -48.32, -0.09, 0.20, 0.69, 1.12, 0.00, 0.00, 0.00, 0.00
3526, -00008.79,  00092.77,  00983.40, -00002.02,  00003.53,  00003.34, -00016.41, -00008.06,  00039.81,  00022.81, 434106836, -720619339, 296454, 70, 18985218, 4.75, 4, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.05, 0.09, -8341.78, -10.02, -97.38, -160.93, 0.06, 0.10, 0.41, 1.06, 0.00, 0.00, 0.00, 0.00
