================================ Starting Log =================================
Current Time: 2015-10-18 0:0:22.500
Time (ms), Scaled. Acc x (mg), Scaled. Acc y (mg), Scaled. Acc z (mg), Gyr (DPS) x, Gyr (DPS) y, Gyr (DPS) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, Pressure (hPa), Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux Mode,N, E, D, u, v, w, q1, q2, q3, q4, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg)
23057, -00031.74,  00028.81,  00978.03, -00000.29,  00002.65,  00003.18, -00010.71,  00003.27,  00029.83,  00023.86, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, -0.06, -0.17, -8341.72, 4407.40, 668.58, 7596.13, -11.70, -0.13, -13.45, -8.79, 0.00, 0.00, 0.00, 0.00
23066, -00026.37,  00035.16,  00990.72,  00000.52,  00000.07,  00000.43, -00010.71,  00003.27,  00029.83,  00023.62, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, -0.23, 0.04, -8341.39, 42.79, 57.13, 379.81, 0.04, 0.06, -0.06, 0.84, 0.00, 0.00, 0.00, 0.00
23130, -00034.18,  00023.93,  00982.91,  00001.37,  00002.59,  00002.47, -00012.66,  00005.07,  00029.08,  00023.57, 0, 0, 0, 0, 0, 99.99, 0, 1026.01, 0.00, 0.00, 0.00, 0.00, 0, 0, -0.03, 0.02, -0.07, 19.87, 13.81, 62.79, 0.02, 0.07, -0.07, 0.81, 0.00, 0.00, 0.00, 0.00
23168, -00034.18,  00032.71,  00991.70,  00001.65,  00003.61,  00000.49, -00012.06,  00004.92,  00030.13,  00023.76, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, -0.01, -0.00, -8341.39, 2.53, 2.27, 22.08, 0.05, 0.09, -0.01, 0.99, 0.00, 0.00, 0.00, 0.00
23229, -00035.64,  00029.79,  00986.33, -00000.88,  00004.05, -00002.14, -00010.86,  00004.92,  00030.88,  00023.81, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.03, -0.03, -8341.39, -6.94, -5.73, -33.05, 0.11, 0.10, -0.01, 0.86, 0.00, 0.00, 0.00, 0.00
23268, -00027.83,  00044.43,  00985.84, -00000.13,  00002.96, -00000.31, -00010.41,  00004.62,  00029.68,  00023.67, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.04, -0.02, -8341.39, -1.52, -2.49, -11.62, 0.08, 0.09, 0.01, 0.98, 0.00, 0.00, 0.00, 0.00
23330, -00032.23,  00036.62,  00982.91,  00000.30,  00002.66,  00000.34, -00011.46,  00002.82,  00029.83,  00023.76, 0, 0, 0, 0, 0, 99.99, 0, 1026.01, 0.00, 0.00, 0.00, 0.00, 0, 0, -0.03, -0.00, -0.07, 17.85, 19.98, 81.22, 0.01, 0.07, -0.03, 0.96, 0.00, 0.00, 0.00, 0.00
23368, -00037.60,  00040.04,  00997.56, -00000.10,  00002.65,  00002.77, -00012.51,  00003.12,  00030.13,  00023.81, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, -0.02, 0.06, -8341.39, -1.69, -1.65, -91.17, 0.02, 0.15, 0.10, 0.79, 0.00, 0.00, 0.00, 0.00
23429, -00034.67,  00034.18,  00990.23,  00000.65,  00002.81, -00000.87, -00011.31,  00004.17,  00030.88,  00023.81, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.05, -0.05, -8341.39, -0.78, -0.84, -6.38, 0.11, 0.13, 0.01, 0.90, 0.00, 0.00, 0.00, 0.00
23468, -00019.53,  00025.39,  00984.86,  00000.37,  00003.62, -00000.73, -00012.21,  00004.32,  00029.08,  00023.43, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.02, -0.03, -8341.39, 13.68, 17.48, 50.35, 0.10, 0.09, 0.00, 0.92, 0.00, 0.00, 0.00, 0.00
23530, -00032.71,  00022.46,  00990.23, -00000.05,  00003.54,  00001.79, -00012.51,  00004.17,  00029.68,  00023.62, 0, 0, 0, 0, 0, 99.99, 0, 1026.01, 0.00, 0.00, 0.00, 0.00, 0, 0, -0.02, 0.03, -0.06, -0.17, -0.18, -1.09, -0.01, 0.11, -0.01, 0.86, 0.00, 0.00, 0.00, 0.00
23568, -00035.16,  00026.86,  00987.30,  00000.77, -00000.02,  00003.00, -00012.66,  00004.32,  00029.83,  00023.43, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, -0.05, 0.02, -8341.39, 23.33, 17.83, 111.27, 0.03, 0.11, -0.14, 0.75, 0.00, 0.00, 0.00, 0.00
23629, -00024.41,  00034.67,  00998.05,  00000.99,  00000.79,  00000.66, -00011.01,  00004.02,  00030.28,  00023.76, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, -0.06, 0.06, -8341.39, -0.99, -1.47, -80.70, 0.02, 0.06, 0.02, 0.90, 0.00, 0.00, 0.00, 0.00
23668, -00036.62,  00043.46,  00989.75,  00002.29,  00001.37, -00000.74, -00011.61,  00004.62,  00029.38,  00023.86, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.05, -0.09, -8341.39, 11.70, 13.87, 111.62, 0.11, 0.17, 0.05, 0.88, 0.00, 0.00, 0.00, 0.00
23730, -00031.25,  00026.86,  00991.70, -00000.63,  00003.16,  00000.12, -00010.86,  00004.62,  00029.68,  00023.67, 0, 0, 0, 0, 0, 99.99, 0, 1026.01, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.00, 0.01, -0.05, -1.93, -1.69, -14.58, 0.04, 0.10, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
23768, -00035.64,  00033.20,  01000.49, -00002.00,  00003.74, -00000.93, -00010.41,  00003.87,  00030.88,  00023.76, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.04, -0.00, -8341.39, 1.73, 2.02, -85.13, 0.08, 0.11, -0.03, 0.95, 0.00, 0.00, 0.00, 0.00
23829, -00036.62,  00033.20,  00997.56,  00000.47,  00005.50,  00000.50, -00010.71,  00005.52,  00031.03,  00023.81, 0, 0, 0, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.01, 0.01, -8341.39, -0.96, -0.79, -44.79, 0.05, 0.13, 0.01, 0.99, 0.00, 0.00, 0.00, 0.00
