================================ Starting Log =================================
Current Time: 2015-10-18 0:0:1.400
Time (ms), Scaled. Acc x (mg), Scaled. Acc y (mg), Scaled. Acc z (mg), Gyr (DPS) x, Gyr (DPS) y, Gyr (DPS) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, Pressure (hPa), Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux ModeN, E, D, u, v, w, q1, q2, q3, q4, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg), 
881, -00013.67,  00025.88,  01003.91,  00000.68,  00002.05, -00001.00,  00000.30, -00013.05,  00088.35,  00024.10, 0, 0, 0, 0, 0, 99.99, 0, stuff, 180.00, 180.00, 180.00, 180.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
925, -00001.95,  00019.04,  01004.39, -00002.37,  00002.80, -00000.02,  00002.10, -00012.45,  00088.95,  00023.96, 0, 0, 0, 0, 0, 99.99, 0, stuff, 180.00, 180.00, 180.00, 180.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
960, -00008.79,  00019.04,  01013.67, -00001.93,  00003.55,  00000.65,  00000.30, -00012.30,  00089.10,  00023.81, 0, 0, 0, 0, 0, 99.99, 0, stuff, 180.00, 180.00, 180.00, 180.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
1000, -00015.62,  00030.76,  01000.49, -00002.23,  00000.83,  00000.68,  00001.35, -00013.20,  00088.95,  00023.76, 0, 0, 0, 0, 0, 99.99, 0, stuff, 180.00, 180.00, 180.00, 180.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
1045, -00012.70,  00029.30,  00998.54,  00000.08,  00003.85, -00000.18,  00000.75, -00012.30,  00089.55,  00023.86, 0, 0, 0, 0, 0, 99.99, 0, stuff, 180.00, 180.00, 180.00, 180.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
1080, -00011.72,  00021.97,  01010.25, -00001.00,  00002.12,  00001.02,  00000.60, -00014.40,  00087.75,  00024.10, 0, 0, 0, 0, 0, 99.99, 0, stuff, 180.00, 180.00, 180.00, 180.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
1126, -00011.23,  00024.41,  001000.00, -00000.05, -00000.22, -00000.80, -00000.90, -00012.45,  00089.70,  00024.10, 0, 0, 0, 0, 0, 99.99, 0, stuff, 180.00, 180.00, 180.00, 180.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
1160, -00017.58,  00031.74,  01005.37,  00000.53,  00002.37,  00000.51,  00000.60, -00012.45,  00089.40,  00024.10, 0, 0, 0, 0, 0, 99.99, 0, stuff, 180.00, 180.00, 180.00, 180.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
1200, -00010.74,  00021.97,  01012.70, -00000.33,  00001.05,  00000.79,  00002.40, -00012.00,  00088.80,  00024.10, 0, 0, 0, 0, 0, 99.99, 0, stuff, 180.00, 180.00, 180.00, 180.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
1246, -00001.95,  00018.55,  01009.77, -00001.40,  00005.53,  00001.20,  00000.00, -00013.05,  00090.30,  00024.20, 0, 0, 0, 0, 0, 99.99, 0, stuff, 180.00, 180.00, 180.00, 180.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
