================================ Starting Log =================================
Current Time: 2021-9-24 1:42:33.700
Time (ms), Scaled. Acc x (mg), Scaled. Acc y (mg), Scaled. Acc z (mg), Gyr (DPS) x, Gyr (DPS) y, Gyr (DPS) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, Pressure (hPa), Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux Mode,N, E, D, u, v, w, q1, q2, q3, q4, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg)
3082,  00004.88,  00057.13,  00996.58, -00000.29,  00004.55, -00003.42,  00012.66,  00003.41,  00062.80,  00023.43, 434108093, -720622504, 430106, 237, 11609588, 12.44, 5, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 17.11, 13.29, -8341.81, 968.33, 2.32, 3788.24, -6.66, 1.58, -18.72, 3.45, 0.00, 0.00, 0.00, 0.00
3101, -00002.93,  00060.06,  00993.16,  00000.50,  00001.50,  00001.46,  00012.36,  00004.61,  00063.40,  00023.09, 434108093, -720622504, 430106, 237, 11609588, 12.44, 5, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.37, 0.18, -8341.78, -13.79, -267.77, -309.75, 0.07, 0.05, 0.39, 1.46, 0.00, 0.00, 0.00, 0.00
3156,  00005.37,  00051.27,  00983.89, -00000.85,  00001.68,  00001.10,  00012.36,  00004.31,  00061.45,  00023.48, 434108093, -720622504, 430106, 237, 11609588, 12.44, 5, 978.76, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.14, 0.03, -0.09, 24.94, -238.28, 25.25, 0.15, -0.19, 0.17, 1.12, 0.00, 0.00, 0.00, 0.00
3219, -00003.91,  00060.06,  00987.30,  00000.87,  00002.08,  00001.71,  00011.76,  00004.46,  00062.50,  00023.24, 434107997, -720622312, 421348, 211, 11609588, 12.43, 5, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.13, 0.10, -8341.78, -17.78, -265.20, -262.01, 0.10, 0.11, 0.44, 1.38, 0.00, 0.00, 0.00, 0.00
3257, -00001.95,  00055.18,  00989.75,  00001.14,  00003.33,  00003.48,  00012.36,  00004.61,  00063.40,  00023.33, 434107997, -720622312, 421348, 211, 11609588, 12.43, 5, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.07, 0.08, -8341.78, -9.73, -252.62, -232.26, 0.13, 0.03, 0.73, 1.49, 0.00, 0.00, 0.00, 0.00
3322, -00011.72,  00060.06,  00986.33, -00000.13,  00004.28,  00000.49,  00013.41,  00004.46,  00063.55,  00023.57, 434107975, -720622152, 414590, 263, 11609588, 12.43, 5, 978.76, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.03, 0.03, -0.07, -53.97, -274.57, -54.30, 0.08, 0.02, 0.54, 1.11, 0.00, 0.00, 0.00, 0.00
3359, -00005.86,  00074.71,  00991.70,  00000.01,  00003.53, -00001.18,  00011.16,  00003.86,  00062.95,  00023.29, 434107975, -720622152, 414590, 263, 11609588, 12.43, 5, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, -0.08, -0.01, -8341.78, -20.15, -258.14, 54.99, -0.14, 0.04, 0.43, 1.14, 0.00, 0.00, 0.00, 0.00
3422, -00010.25,  00049.80,  00995.12, -00000.61,  00004.13, -00000.15,  00012.81,  00003.86,  00062.20,  00023.33, 434107984, -720622035, 410164, 183, 11609588, 12.43, 5, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, -0.01, 0.01, -8341.78, -37.15, -180.20, -5.76, -0.04, 0.03, 0.34, 1.03, 0.00, 0.00, 0.00, 0.00
3461, -00006.35,  00065.43,  00996.09,  00002.46,  00005.63,  00001.56,  00012.66,  00005.96,  00062.80,  00023.48, 434107984, -720622035, 410164, 183, 11609588, 12.43, 5, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.03, 0.02, -8341.78, -18.11, -184.15, -42.06, 0.08, 0.04, 0.47, 1.31, 0.00, 0.00, 0.00, 0.00
3525,  00006.35,  00054.69,  00987.79,  00000.00,  00003.98,  00000.68,  00013.41,  00003.71,  00061.75,  00023.43, 434107981, -720621836, 405429, 136, 11609588, 12.43, 5, 978.76, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.02, 0.02, -0.07, 16.51, -143.66, -28.58, 0.05, 0.01, 0.27, 1.00, 0.00, 0.00, 0.00, 0.00
