================================ Starting Log =================================
Current Time: 2021-9-24 1:47:30.700
Time (ms), Scaled. Acc x (mg), Scaled. Acc y (mg), Scaled. Acc z (mg), Gyr (DPS) x, Gyr (DPS) y, Gyr (DPS) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, Pressure (hPa), Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux Mode,N, E, D, u, v, w, q1, q2, q3, q4, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg)
3066,  00049.32,  00036.62,  00989.26, -00000.62, -00001.02,  00007.59,  00008.76,  00003.86,  00063.40,  00022.76, 434107600, -720619143, 332077, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 6.30, 9.00, -8341.80, -2021.21, 516.01, 12204.48, 1.77, -0.20, 8.89, 3.33, 0.00, 0.00, 0.00, 0.00
3090,  00021.97,  00052.73,  01001.95,  00003.91,  00005.40, -00001.13,  00009.96,  00004.61,  00062.95,  00022.52, 434107600, -720619143, 332077, 0, 0, 99.99, 0, 978.74, 0.00, 0.00, 0.00, 0.00, 0, 0, -0.08, -0.01, -0.08, -1.30, 1.76, -42.86, -0.16, 0.00, -0.04, 1.11, 0.00, 0.00, 0.00, 0.00
3140,  00025.88,  00022.95,  00972.66, -00000.79,  00005.20,  00003.92,  00009.21,  00005.06,  00062.65,  00022.61, 434107600, -720619143, 332077, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.05, -0.02, -8341.78, -101.54, 91.02, 178.99, -0.11, -0.14, -0.46, 1.43, 0.00, 0.00, 0.00, 0.00
3203,  00017.09,  00044.43,  00980.96, -00007.29,  00006.48,  00003.03,  00010.41,  00003.86,  00062.95,  00022.61, 434107600, -720619143, 332077, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.02, -0.02, -8341.78, -13.77, 36.93, 103.24, -0.17, -0.16, -0.18, 1.23, 0.00, 0.00, 0.00, 0.00
3242,  00020.51,  00026.86,  01009.77,  00000.82,  00000.97,  00003.51,  00009.36,  00004.46,  00064.75,  00022.52, 434107600, -720619143, 332077, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.04, 0.05, -8341.78, -16.50, 21.33, -84.54, 0.01, 0.13, 0.12, 1.52, 0.00, 0.00, 0.00, 0.00
3306,  00001.46,  00041.02,  00988.28,  00001.55,  00005.65,  00002.79,  00009.81,  00003.41,  00064.75,  00022.57, 434107600, -720619143, 332077, 0, 0, 99.99, 0, 978.74, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.03, 0.02, -0.06, 0.30, -22.00, -84.17, 0.09, 0.18, 0.16, 1.18, 0.00, 0.00, 0.00, 0.00
3344,  00022.46,  00036.13,  00984.86, -00002.05,  00000.15,  00004.58,  00009.66,  00003.11,  00062.65,  00022.81, 434107600, -720619143, 332077, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.08, -0.03, -8341.78, -41.78, 66.79, 237.43, -0.24, -0.03, -0.45, 1.52, 0.00, 0.00, 0.00, 0.00
3407,  00011.23,  00044.43,  00982.42,  00005.04, -00003.07,  00006.95,  00008.76,  00003.56,  00063.40,  00022.76, 434107600, -720619143, 332077, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.03, 0.02, -8341.78, 4.39, -17.19, -48.88, -0.16, 0.13, 0.11, 1.46, 0.00, 0.00, 0.00, 0.00
3446,  00029.79,  00051.27,  00999.51,  00002.29,  00004.40,  00012.98,  00007.86,  00003.41,  00064.00,  00022.71, 434107600, -720619143, 332077, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.02, 0.03, -8341.78, -0.55, 0.19, -50.55, 0.04, 0.13, 0.29, 1.51, 0.00, 0.00, 0.00, 0.00
3510,  00012.21,  00062.50,  00976.56, -00000.55,  00003.97,  00013.79,  00010.56,  00003.41,  00064.30,  00022.61, 434107600, -720619143, 332077, 0, 0, 99.99, 0, 978.74, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.01, 0.14, -0.07, 20.24, -110.65, -320.74, 0.39, -0.12, 2.16, 1.58, 0.00, 0.00, 0.00, 0.00
3548,  00028.32,  00053.22,  00982.42, -00000.07,  00000.49,  00017.05,  00008.01,  00001.61,  00062.95,  00022.90, 434107600, -720619143, 332077, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.02, 0.02, -8341.78, 1.96, -3.72, -17.22, -0.03, 0.00, 0.15, 1.55, 0.00, 0.00, 0.00, 0.00
3611,  00004.39,  00027.83,  01000.49, -00001.91, -00003.69,  00027.38,  00008.76,  00001.61,  00063.40,  00022.71, 434107600, -720619143, 332077, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.01, 0.00, -8341.78, -0.05, 0.81, -13.56, -0.07, -0.01, 0.14, 1.55, 0.00, 0.00, 0.00, 0.00
3650,  00034.67,  00044.92,  00992.19, -00003.32,  00004.33,  00027.34,  00007.26,  00003.11,  00063.85,  00022.76, 434107600, -720619143, 332077, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, -0.01, 0.04, -8341.78, 7.44, -9.83, -107.06, 0.25, -0.00, 1.31, 1.56, 0.00, 0.00, 0.00, 0.00
3714,  00030.27,  00047.36,  00978.52, -00008.09, -00001.70,  00038.72,  00006.36,  00002.06,  00063.85,  00022.61, 434107600, -720619143, 332077, 0, 0, 99.99, 0, 978.74, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.01, -0.00, -0.05, -6.24, 9.44, 31.05, -0.23, 0.09, -0.53, 1.54, 0.00, 0.00, 0.00, 0.00
3752,  00032.71,  00036.13,  00998.54, -00003.93,  00004.28,  00033.42,  00006.96,  00002.21,  00064.30,  00022.81, 434107600, -720619143, 332077, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, -0.00, 0.02, -8341.78, 0.01, -0.11, -63.86, 0.13, 0.03, 0.93, 1.57, 0.00, 0.00, 0.00, 0.00
3815,  00051.76,  00053.71,  01018.07, -00005.49, -00000.63,  00050.01,  00005.46,  00000.41,  00065.05,  00022.71, 434107600, -720619143, 332077, 0, 0, 99.99, 0, -1.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0.00, 0.01, -8341.78, -3.69, 4.08, -21.69, -0.03, 0.04, 0.45, 1.57, 0.00, 0.00, 0.00, 0.00
