================================ Starting Log =================================
Current Time: 0-0-0 0:0:0.000
Time (ms), Scaled. Acc x (mg), Scaled. Acc y (mg), Scaled. Acc z (mg), Gyr (DPS) x, Gyr (DPS) y, Gyr (DPS) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, Throttle Val (0-180), Aileron Servo (deg), Elevator Servo (deg), Rudder Servo (deg), Auto Mode (deg), Aux Mode
11314, -00049.32,  00021.97,  01037.60, -00001.69,  00001.91,  00001.63, -00039.15, -00048.75,  00104.70,  00020.46, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
11368, -00028.81,  00018.07,  01018.55, -00002.11,  00000.11,  00000.65, -00039.75, -00048.15,  00103.80,  00020.31, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
11418, -00036.62,  00031.74,  01040.04, -00000.18,  00003.89, -00000.24, -00039.45, -00047.40,  00103.35,  00020.51, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
11469, -00034.18,  00006.84,  01022.46, -00001.84,  00000.89,  00000.36, -00039.15, -00047.25,  00103.20,  00020.41, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
11521, -00036.62,  00013.18,  01018.07,  00000.19,  00001.00,  00000.99, -00042.00, -00048.75,  00102.75,  00020.27, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
11572, -00029.30,  00021.48,  01032.23, -00000.50,  00002.24,  00001.36, -00039.60, -00048.75,  00103.65,  00020.65, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
11623, -00032.71,  00023.93,  01015.62,  00000.35,  00002.37, -00002.16, -00040.80, -00047.55,  00102.75,  00020.46, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
11678, -00021.00,  00029.30,  01024.90, -00000.44,  00000.12, -00001.52, -00040.65, -00047.70,  00102.30,  00020.51, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
11728, -00033.69,  00034.18,  01031.74, -00000.79,  00001.00,  00001.56, -00040.95, -00047.40,  00103.05,  00020.46, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
11780, -00024.90,  00008.79,  01029.30, -00000.15,  00001.26,  00000.40, -00041.55, -00047.55,  00102.75,  00020.46, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
11830, -00029.30,  00021.00,  01015.62, -00001.02,  00001.87,  00000.47, -00039.45, -00048.90,  00104.10,  00020.46, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
11881, -00022.95,  00019.53,  01020.51,  00001.21,  00002.38, -00001.51, -00041.25, -00047.70,  00103.05,  00020.46, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 99.00, 93.00, 90.00, 0, 2
11932, -00019.53,  00035.64,  01023.44,  00000.85,  00003.05,  00003.53, -00040.05, -00047.55,  00103.20,  00020.31, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 99.00, 92.00, 91.00, 0, 2
11987, -00039.06,  00041.50,  01023.93, -00000.95,  00004.01,  00003.35, -00040.95, -00048.15,  00101.85,  00020.46, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
12039, -00034.18,  00024.41,  01019.53,  00000.86,  00002.62,  00001.85, -00040.95, -00047.70,  00103.35,  00020.41, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
12093, -00022.46,  00031.25,  01023.44, -00000.74,  00001.50, -00001.60, -00039.45, -00046.95,  00102.60,  00020.51, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 99.00, 93.00, 90.00, 0, 2
12143, -00029.30,  00021.00,  01030.27,  00001.15,  00002.31,  00002.05, -00039.75, -00048.45,  00102.60,  00020.51, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
12194, -00031.74,  00027.34,  01022.46,  00002.07,  00001.66,  00002.10, -00040.20, -00047.70,  00103.05,  00020.31, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
12246, -00027.34,  00012.21,  01019.04,  00002.09,  00001.33, -00001.79, -00039.60, -00046.50,  00101.70,  00020.41, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
12298, -00036.62,  00021.00,  01022.46, -00000.47,  00000.07,  00000.87, -00039.75, -00047.70,  00104.10,  00020.27, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
12349, -00028.81,  00009.77,  01015.62, -00001.73,  00001.27, -00000.24, -00041.85, -00048.45,  00103.35,  00020.46, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
12402, -00023.44,  00021.48,  01013.18,  00001.27,  00000.21,  00000.34, -00040.95, -00046.65,  00102.60,  00020.51, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
12453, -00030.76,  00017.09,  01013.18, -00000.54,  00001.73, -00001.63, -00040.05, -00048.00,  00103.20,  00020.41, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
12505, -00041.02,  00024.41,  01024.41,  00000.96,  00001.69, -00001.79, -00039.60, -00048.75,  00102.45,  00020.60, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
12558, -00031.74,  00025.88,  01020.51, -00000.82,  00002.97, -00001.15, -00041.40, -00048.15,  00103.20,  00020.41, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
12609, -00034.18,  00040.04,  01020.02,  00002.79,  00001.82, -00001.50, -00039.45, -00049.20,  00102.30,  00020.46, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
12660, -00030.76,  00027.34,  01019.53, -00001.02,  00002.34,  00001.63, -00040.35, -00048.75,  00101.70,  00020.46, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
12711, -00036.62,  00024.90,  01012.70,  00000.39,  00000.84, -00002.95, -00040.35, -00046.50,  00103.65,  00020.41, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
