================================ Starting Log =================================
Current Time: 0-0-0 0:0:0.000
Time (ms), Scaled. Acc x (mg), Scaled. Acc y (mg), Scaled. Acc z (mg), Gyr (DPS) x, Gyr (DPS) y, Gyr (DPS) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, Throttle Val (0-180), Aileron Servo (deg), Elevator Servo (deg), Rudder Servo (deg), Auto Mode (deg), Aux Mode
44679, -00032.71,  00008.79,  01026.86,  00001.18,  00001.34,  00001.38, -00041.40, -00046.95,  00104.85,  00021.22, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
44730, -00035.16,  00030.27,  01018.07, -00000.22,  00001.08,  00002.85, -00040.20, -00047.40,  00104.55,  00021.03, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
44781, -00017.09,  00038.57,  01021.00, -00001.95,  00001.66, -00002.25, -00041.85, -00046.65,  00103.80,  00021.18, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
44832, -00028.32,  00019.53,  01025.39,  00001.49,  00001.82,  00000.11, -00038.85, -00047.55,  00102.00,  00021.03, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
44883, -00038.57,  00029.30,  01020.51, -00001.78,  00001.18, -00000.56, -00038.40, -00048.75,  00103.65,  00020.84, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
44935, -00027.34,  00030.76,  01023.93, -00000.52,  00000.73,  00001.34, -00038.25, -00048.45,  00103.05,  00020.94, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
44986, -00032.23,  00024.41,  01016.60,  00000.50, -00000.46,  00000.53, -00040.05, -00048.00,  00103.65,  00020.99, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
45037, -00037.11,  00028.32,  01010.25, -00001.00,  00000.66,  00001.84, -00039.60, -00047.25,  00103.65,  00020.94, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
45088, -00032.71,  00025.88,  01021.00, -00002.42,  00000.66, -00001.29, -00039.15, -00047.25,  00105.15,  00020.99, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
45139, -00020.51,  00015.62,  01016.11, -00000.29,  00003.67,  00001.99, -00039.60, -00047.55,  00103.65,  00021.03, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
45191, -00018.55,  00028.32,  01017.58,  00001.75,  00001.89, -00003.21, -00041.25, -00046.80,  00103.65,  00021.18, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
45242, -00027.83,  00027.83,  01024.90, -00000.92,  00002.08,  00000.22, -00040.20, -00046.95,  00103.80,  00020.94, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
45293, -00027.34,  00021.97,  01015.62,  00000.40,  00000.00, -00000.24, -00040.95, -00046.95,  00104.10,  00020.79, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
45344, -00042.48,  00022.95,  01009.28,  00001.07,  00003.60,  00000.56, -00040.35, -00046.50,  00102.75,  00020.99, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
45395, -00035.64,  00019.53,  01022.46, -00002.73,  00003.50,  00003.59, -00039.45, -00048.15,  00103.80,  00020.94, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
45447, -00032.23,  00018.55,  01024.90,  00000.44,  00002.66,  00001.05, -00037.95, -00046.50,  00103.95,  00021.03, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
45498, -00040.53,  00021.48,  01016.11, -00000.39,  00001.30,  00002.24, -00038.55, -00047.40,  00103.35,  00021.03, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
45549, -00026.37,  00013.67,  01007.81, -00001.16, -00001.63,  00000.95, -00040.05, -00047.25,  00103.95,  00021.03, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
45600, -00020.02,  00029.79,  01013.67, -00000.24,  00000.04, -00002.54, -00041.40, -00047.70,  00103.35,  00021.18, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
45651, -00025.39,  00029.79,  01021.00, -00000.09,  00002.87,  00002.05, -00039.15, -00046.80,  00103.65,  00021.03, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
45703, -00037.60,  00024.41,  01020.51, -00000.94,  00003.53, -00000.11, -00040.05, -00046.80,  00104.70,  00021.03, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
45754, -00036.13,  00026.86,  01001.95, -00000.54, -00000.27, -00000.09, -00040.05, -00048.00,  00104.40,  00021.18, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
45805, -00024.90,  00020.51,  01018.55, -00001.38, -00000.18,  00002.60, -00039.00, -00046.20,  00103.05,  00021.03, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
45856, -00025.88,  00028.32,  01030.27,  00000.07,  00002.69, -00002.38, -00039.60, -00046.80,  00103.95,  00021.03, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
45907, -00034.18,  00032.23,  01019.04, -00000.86,  00001.70,  00001.69, -00040.95, -00046.65,  00103.35,  00020.84, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
45959, -00026.37,  00015.14,  01027.34,  00000.84,  00003.56, -00000.82, -00039.60, -00047.25,  00103.95,  00021.13, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
46010, -00036.13,  00021.97,  01022.46, -00000.92,  00004.98, -00002.21, -00039.15, -00046.80,  00103.95,  00020.99, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
46061, -00037.11,  00005.86,  01024.41,  00001.09,  00000.36, -00001.73, -00039.60, -00047.55,  00103.65,  00020.94, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
46112, -00021.00,  00029.79,  01019.04,  00000.68,  00002.61, -00000.97, -00039.45, -00047.70,  00103.05,  00021.13, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
46163, -00023.93,  00044.43,  01011.23, -00000.22,  00001.71, -00002.85, -00040.65, -00046.95,  00104.85,  00021.03, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
46215, -00027.83,  00030.76,  01022.95,  00000.03,  00000.44, -00000.61, -00039.00, -00046.95,  00103.35,  00020.99, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
46266, -00034.18,  00028.32,  01012.70,  00000.71,  00001.15, -00000.75, -00040.80, -00046.80,  00104.40,  00020.84, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
46317, -00027.83,  00022.95,  01019.04, -00000.91,  00000.37, -00000.96, -00039.60, -00046.80,  00104.70,  00021.03, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
46368, -00044.92,  00038.09,  01021.97, -00001.11,  00002.63,  00000.93, -00038.55, -00047.40,  00104.55,  00021.03, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
46419, -00039.06,  00033.20,  01017.58,  00001.11, -00000.84,  00001.02, -00040.35, -00047.55,  00104.40,  00020.99, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
46471, -00023.93,  00028.32,  01022.95,  00001.21,  00003.27,  00001.70, -00039.60, -00047.55,  00104.40,  00021.22, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
46522, -00031.25,  00026.86,  01010.74,  00000.21,  00001.66,  00000.30, -00038.40, -00047.55,  00104.40,  00021.03, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
46573, -00024.41,  00035.16,  01017.09, -00000.68,  00002.05, -00000.57, -00039.45, -00046.95,  00103.80,  00021.03, 0, 0, 0, 0, 0, 0.00, 0, 0.00, 99.00, 93.00, 91.00, 0, 2
