================================ Starting Log =================================
Current Time: 0-0-0 0:0:0.000
Time (ms), Scaled. Acc x (mg), Scaled. Acc y (mg), Scaled. Acc z (mg), Gyr (DPS) x, Gyr (DPS) y, Gyr (DPS) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, Throttle Val (0-180), Aileron Servo (deg), Elevator Servo (deg), Rudder Servo (deg), Auto Mode (deg), Aux Mode
648,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00020.94, 0, 0, 0, 0, 0, 0.00, 0, 180.00, 99.00, 93.00, 126.00, 1, 2
756,  00017.58,  00024.41,  00999.02, -00000.46,  00003.20, -00007.16, -00047.40, -00039.90,  00111.30,  00020.60, 0, 0, 0, 0, 0, 99.99, 0, 180.00, 97.76, 94.59, 126.00, 1, 2
807, -00021.97, -00049.80,  01047.85,  00009.56, -00000.42, -00001.88, -00049.80, -00039.15,  00111.30,  00020.70, 0, 0, 0, 0, 0, 99.99, 0, 180.00, 100.48, 92.51, 126.00, 1, 2
859, -00080.57, -00027.34,  00963.38, -00024.16, -00000.05, -00021.39, -00048.00, -00039.30,  00110.10,  00020.60, 0, 0, 0, 0, 0, 99.99, 0, 180.00, 104.90, 83.75, 126.00, 1, 2
909,  00009.28,  00100.10,  00957.52, -00002.22,  00002.01, -00004.55, -00048.45, -00040.50,  00110.85,  00020.84, 0, 0, 0, 0, 0, 99.99, 0, 180.00, 98.32, 99.70, 126.00, 1, 2
960, -00041.50, -00049.80,  01005.86,  00000.70,  00000.88,  00014.44, -00046.65, -00039.15,  00109.80,  00020.99, 0, 0, 0, 0, 0, 99.99, 0, 180.00, 101.91, 89.71, 126.00, 1, 2
1011, -00035.64, -00006.84,  01013.67,  00000.18,  00005.37,  00006.89, -00049.05, -00038.40,  00110.25,  00020.79, 0, 0, 0, 0, 0, 99.99, 0, 180.00, 101.48, 92.58, 126.00, 1, 2
1067, -00000.49,  00012.70,  01004.39,  00000.65,  00000.40, -00001.69, -00047.25, -00039.00,  00110.40,  00020.79, 0, 0, 0, 0, 0, 99.99, 0, 180.00, 99.03, 94.09, 126.00, 1, 2
1118, -00018.55, -00001.46,  00978.52,  00003.18,  00004.15, -00001.65, -00047.40, -00038.70,  00109.50,  00020.70, 0, 0, 0, 0, 0, 99.99, 0, 180.00, 100.34, 93.85, 126.00, 1, 2
1169, -00032.23,  00019.04,  01029.30,  00000.66,  00003.61, -00006.40, -00047.85, -00039.15,  00111.00,  00020.84, 0, 0, 0, 0, 0, 99.99, 0, 180.00, 101.21, 94.50, 126.00, 1, 2
1220, -00019.04, -00011.72,  01039.55,  00000.10, -00000.05,  00002.40, -00047.85, -00038.70,  00110.55,  00020.84, 0, 0, 0, 0, 0, 99.99, 0, 180.00, 100.29, 92.23, 126.00, 1, 2
1271, -00022.95,  00014.65,  01026.86, -00001.08,  00001.47,  00001.85, -00047.85, -00038.70,  00109.80,  00020.94, 0, 0, 0, 0, 0, 99.99, 0, 180.00, 100.58, 93.68, 126.00, 1, 2
1323, -00008.79,  00034.67,  01010.74, -00001.40,  00001.29,  00000.47, -00048.00, -00039.30,  00110.40,  00020.84, 0, 0, 0, 0, 0, 99.99, 0, 180.00, 99.61, 95.00, 126.00, 1, 2
1374, -00022.95,  00012.21,  01035.64, -00001.18,  00003.25,  00000.58, -00048.00, -00040.05,  00110.10,  00020.70, 0, 0, 0, 0, 0, 99.99, 0, 180.00, 100.57, 93.48, 126.00, 1, 2
1425, -00012.70,  00011.72,  01021.48, -00001.14, -00000.85,  00002.75, -00048.00, -00038.55,  00110.10,  00020.60, 0, 0, 0, 0, 0, 99.99, 0, 180.00, 99.88, 93.47, 126.00, 1, 2
1478, -00029.30,  00052.25,  01112.79, -00001.86,  00000.45,  00000.90, -00047.25, -00039.30,  00109.65,  00020.99, 0, 0, 0, 0, 0, 99.99, 0, 180.00, 100.86, 95.76, 126.00, 1, 2
1529, -00015.62, -00003.42,  01017.58,  00000.82, -00002.60, -00000.42, -00048.60, -00038.70,  00109.50,  00020.94, 0, 0, 0, 0, 0, 99.99, 0, 180.00, 100.09, 93.01, 126.00, 1, 2
1583, -00018.55,  00022.95,  00988.28,  00000.56,  00005.70,  00000.78, -00049.05, -00037.65,  00109.05,  00020.94, 0, 0, 0, 0, 0, 99.99, 0, 180.00, 100.33, 94.81, 126.00, 1, 2
1632, -00060.55,  00026.86,  01002.93, -00001.54, -00000.14,  00001.51, -00048.00, -00038.55,  00109.65,  00021.13, 0, 0, 0, 0, 0, 99.99, 0, 180.00, 103.26, 94.43, 126.00, 1, 2
1683, -00028.81, -00008.30,  01025.88,  00001.81,  00001.08, -00000.17, -00048.00, -00039.00,  00108.45,  00020.94, 0, 0, 0, 0, 0, 99.99, 0, 180.00, 100.98, 92.97, 126.00, 1, 2
1734, -00026.37, -00006.35,  01022.46,  00003.49,  00004.37, -00002.95, -00048.75, -00039.00,  00110.40,  00020.60, 0, 0, 0, 0, 0, 99.99, 0, 180.00, 100.82, 93.61, 126.00, 1, 2
