================================ Starting Log =================================
Current Time: 2021-5-18 23:15:53.800
Time (ms), Scaled. Acc x (mg), Scaled. Acc y (mg), Scaled. Acc z (mg), Gyr (DPS) x, Gyr (DPS) y, Gyr (DPS) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, Pressure (hPa), Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux ModeN, E, D, u, v, w, q1, q2, q3, q4, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg), 
470,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00020.94, 423062115, -711633805, 26534, 1644, 25231757, 1.79, 12, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
499,  00245.61, -00072.27,  01100.59,  00017.56,  00007.05, -00008.40,  00001.35, -00014.40,  00074.55,  00025.97, 423062115, -711633805, 26534, 1644, 25231757, 1.79, 12, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
539,  00337.89, -00084.47,  01313.48,  00008.45,  00006.50, -00008.17, -00001.20, -00012.30,  00074.70,  00026.11, 423062115, -711633805, 26534, 1644, 25231757, 1.79, 12, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
579,  00217.77, -00144.04,  01047.36,  00017.78,  00017.77, -00013.33,  00000.75, -00012.30,  00074.40,  00026.06, 423062109, -711633824, 26547, 1636, 24980668, 1.79, 12, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
619,  00218.26, -00068.85,  01333.98, -00008.80, -00007.49, -00021.42,  00000.60, -00011.70,  00074.10,  00026.11, 423062109, -711633824, 26547, 1636, 24980668, 1.79, 12, stuff, 0.00, 90.00, 93.60, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 93.60, 90.00
666,  00127.93, -00093.26,  01107.91,  00028.42,  00009.96, -00015.95,  00000.90, -00011.70,  00073.05,  00026.26, 423062107, -711633839, 26601, 1421, 24959601, 1.79, 12, stuff, 0.00, 90.00, 93.60, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 93.60, 90.00
699,  00102.05, -00211.91,  01091.31,  00050.59,  00018.76, -00011.81,  00000.75, -00010.50,  00074.40,  00026.11, 423062107, -711633839, 26601, 1421, 24959601, 1.79, 12, stuff, 0.00, 90.00, 93.60, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 93.60, 90.00
739,  00131.84, -00139.16,  01065.92,  00031.60,  00021.99, -00012.94,  00003.30, -00009.45,  00073.35,  00026.21, 423062107, -711633839, 26601, 1474, 25236320, 1.79, 12, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
779,  00078.12,  00053.22,  00793.46,  00022.03,  00026.12, -00020.24,  00003.15, -00008.25,  00072.90,  00025.87, 423062106, -711633859, 26653, 1474, 25236320, 1.79, 12, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
819,  00071.29,  00177.73,  00642.58,  00053.69,  00021.39, -00027.50,  00005.70, -00007.20,  00073.05,  00026.06, 423062106, -711633859, 26653, 1474, 25236320, 1.79, 12, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
